pi,ev,pe,evr / pm,2.33771,35.87798,74.65332
0.000012,6788.000000,386.137916,24.007232,30.000000,15.000000,8.000000
0.000012,6788.000000,386.137916,2.004464,10.000000,0.000000,0.000000
0.000012,6788.000000,18.667226,24.007232,10.000000,4.000000,0.000000
0.000012,6788.000000,18.667226,2.004464,5.000000,0.000000,0.000000
