Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
MU,"Micron Technology",+91.05,86.03,1.32,+1.56%,96.96,42.25,+96.55%,04/23/21
MXIM,"Maxim Integrated",+76.35,96.19,3,+3.22%,98.44,50.76,+83.43%,04/23/21
NFLX,"Netflix Inc",+14.85,505.55,-3.23,-0.63%,593.29,393.6,+18.48%,04/23/21
NTES,"Netease Inc Ads",+60.83,112.62,1.27,+1.14%,134.33,64.88,+64.24%,04/23/21
NVDA,"Nvidia Corp",+95.30,610.61,16.6,+2.79%,648.57,280.6,+115.00%,04/23/21
NXPI,"Nxp Semiconductors",+106.89,201.56,5.31,+2.71%,216.43,87.84,+128.84%,04/23/21
OKTA,"Okta Inc Cl A",+75.60,279.3,4.34,+1.58%,294,145.58,+83.74%,04/23/21
ORLY,"O'Reilly Automotive",+41.01,532.61,3.03,+0.57%,539.82,373.14,+42.21%,04/23/21
PAYX,"Paychex Inc",+46.74,99.23,0.95,+0.97%,101.15,60,+48.30%,04/23/21
PCAR,"Paccar Inc",+30.18,93.35,1.14,+1.24%,103.19,64.25,+41.63%,04/23/21
PDD,"Pinduoduo Inc ADR",+107.92,138.61,5.29,+3.97%,212.6,44.8,+181.90%,04/23/21
PEP,"Pepsico Inc",+12.23,145.83,-0.24,-0.16%,148.77,126.53,+11.95%,04/23/21
PTON,"Peloton Interactive Inc",+107.21,101.07,-0.42,-0.41%,171.09,29.64,+238.14%,04/23/21
PYPL,"Paypal Holdings",+100.78,266.03,3.76,+1.43%,309.14,115.4,+130.85%,04/23/21
QCOM,"Qualcomm Inc",+58.91,135.43,2.46,+1.85%,167.94,73.66,+83.48%,04/23/21
REGN,"Regeneron Pharmaceuticals",-10.50,488.64,-1.79,-0.36%,664.64,441,-13.59%,04/23/21
ROST,"Ross Stores Inc",+48.74,128.82,0.98,+0.77%,130.08,79.65,+55.90%,04/23/21
SBUX,"Starbucks Corp",+61.26,117.56,1.64,+1.41%,118.98,70.65,+56.43%,04/23/21
SGEN,"Seagen Inc",-8.05,147.23,3.58,+2.49%,213.94,134.51,+4.51%,04/23/21
SIRI,"Sirius XM Holdings",+12.01,6.38,0.09,+1.35%,8.14,4.95,+18.81%,04/23/21
SNPS,"Synopsys Inc",+53.54,251.45,3.24,+1.31%,300.91,147.98,+65.44%,04/23/21
SPLK,"Splunk Inc",-15.66,133.2,-1.79,-1.33%,225.89,125,+1.15%,04/23/21
SWKS,"Skyworks Solutions",+84.64,190.92,7.5,+4.09%,195.82,92.45,+105.75%,04/23/21
TCOM,"Trip.com Group Ltd",+54.63,38.54,0.21,+0.55%,45.19,22.35,+62.62%,04/23/21
TEAM,"Atlassian Cls A Ord",+42.45,230.82,2.37,+1.04%,262.4,146.06,+54.51%,04/23/21
TMUS,"T-Mobile US",+46.17,133.32,1.59,+1.21%,135.54,85.81,+47.58%,04/23/21
TSLA,"Tesla Inc",+257.01,729.4,9.71,+1.35%,900.4,136.61,+416.84%,04/23/21
TXN,"Texas Instruments",+67.27,188.82,3.02,+1.63%,197.58,105.45,+70.94%,04/23/21
VRSK,"Verisk Analytics Inc",+17.46,188.88,1.62,+0.87%,210.66,146.63,+27.88%,04/23/21
VRSN,"Verisign Inc",+4.87,211.47,-0.9,-0.42%,221.3,184.6,-0.72%,04/23/21
VRTX,"Vertex Pharmaceutic",-15.67,217.9,1.92,+0.89%,306.08,202.57,-18.67%,04/23/21
WBA,"Walgreens Boots Alliance",+35.48,53.02,0.44,+0.84%,57.05,33.36,+21.89%,04/23/21
WDAY,"Workday Inc",+54.56,254.8,1.85,+0.73%,282.77,140.5,+77.44%,04/23/21
XEL,"XCEL Energy Inc",+15.05,71.08,-0.04,-0.06%,76.44,56.07,+10.41%,04/23/21
XLNX,"Xilinx Inc",+44.11,129.66,6.58,+5.35%,154.93,80.45,+48.81%,04/23/21
ZM,"Zoom Video Communications Cl A",+79.12,336.88,8.56,+2.61%,588.84,132.67,+99.23%,04/23/21
