Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
UAL,United Airlines Holdings Inc,50.52,-1.53,-2.94%,52.65,52.73,46.56,21503100,3/5/2021
UBER,Uber Technologies Inc,55.54,2.47,4.65%,54.28,55.83,50.81,31576100,3/5/2021
UDR,United Dominion Realty Trust,42.55,0.21,0.50%,42.66,42.94,41.69,2311100,3/5/2021
UGI,Ugi Corp,40.66,1.56,3.99%,39.48,40.82,39.29,1099100,3/5/2021
UHAL,A M E R C O,596.44,18.44,3.19%,575.01,598.61,574.7,78200,3/5/2021
UHS,Universal Health Services,131.34,4.22,3.32%,128.36,132.19,126.87,619400,3/5/2021
UI,Ubiquiti Networks,319.08,5.87,1.87%,313.93,319.73,297.71,77300,3/5/2021
ULTA,Ulta Beauty Inc,333.37,8.97,2.77%,330,335.06,319.24,1061300,3/5/2021
UMPQ,Umpqua Holdings Corp,18.09,0.39,2.20%,18.2,18.3,17.52,1640000,3/5/2021
UNH,Unitedhealth Group Inc,347.1,13.29,3.98%,335.03,348.29,335.02,4563000,3/5/2021
UNM,Unumprovident Corp,28.79,1.49,5.46%,27.87,28.9,26.96,4778900,3/5/2021
UNP,Union Pacific Corp,209.71,8.63,4.29%,203,210.15,200.64,3187200,3/5/2021
UNVR,Univar Inc,20.55,0.89,4.53%,20.13,20.67,19.86,1182300,3/5/2021
UPS,United Parcel Service,164.4,4.95,3.10%,160.38,165.18,159.08,3671600,3/5/2021
URI,United Rentals,300.96,12.36,4.28%,293.12,302.1,282.2,733300,3/5/2021
USB,U.S. Bancorp,52.47,1.45,2.84%,51.74,52.69,50.4,10621000,3/5/2021
USFD,US Foods Holding,38,0.63,1.69%,37.95,38.18,36.03,2442800,3/5/2021
USM,United States Cellular Corp,32.61,2.23,7.34%,30.82,32.63,30.81,266100,3/5/2021
UTHR,United Therapeutic,164.34,4,2.49%,161.47,164.77,159.02,502100,3/5/2021
V,Visa Inc,215.41,3.91,1.85%,213.73,216.1,209.63,7582000,3/5/2021
VAR,Varian Medical Systems,175.85,0.15,0.09%,175.88,175.99,175.4,769500,3/5/2021
VEEV,Veeva Systems Inc,254.79,-1.34,-0.52%,257.5,258.05,235.74,2240400,3/5/2021
VER,Vereit Inc,37.81,0.17,0.45%,37.96,38.08,36.39,2080300,3/5/2021
VFC,V.F. Corp,78.77,1.07,1.38%,78.63,79.13,76.13,2596000,3/5/2021
VIAC,Viacomcbs Inc Cl B,74.24,2.36,3.28%,71.1,74.76,69.77,14159000,3/5/2021
VIACA,Viacomcbs Inc Cl A,74.23,2.4,3.34%,71.48,74.69,69.94,209800,3/5/2021
VICI,Vici Properties Inc,29.22,0.57,1.99%,29.04,29.23,27.89,11333800,3/5/2021
VIRT,Virtu Financial Cm A,26.98,0.2,0.77%,26.9,27.17,26.18,1416300,3/5/2021
VLO,Valero Energy Corp,79.03,2.66,3.48%,78,79.06,74.82,4664300,3/5/2021
VMC,Vulcan Materials Company,167.42,1.42,0.86%,168.4,169.26,161.22,1071400,3/5/2021
VMI,Valmont Industries,233.56,6.17,2.71%,230.84,233.77,222.62,165400,3/5/2021
VMW,Vmware Inc,143.89,4.82,3.47%,140,144.08,138.58,1569700,3/5/2021
VNO,Vornado Realty Trust,44.8,0.34,0.76%,44.93,45.4,43.26,2878800,3/5/2021
VNT,Vontier Corp,32.02,1.11,3.59%,31.25,32.19,31.1,2089300,3/5/2021
VOYA,VOYA Financial Inc,62.24,0.1,0.16%,62.82,63.24,61.2,1198300,3/5/2021
VRM,Vroom Inc,31.97,0.36,1.14%,32.05,32.5,26.96,10964601,3/5/2021
VRSK,Verisk Analytics Inc,168.12,6.47,4.00%,162.62,168.62,160.99,1922700,3/5/2021
VRSN,Verisign Inc,193.77,3.47,1.82%,190.65,194.93,188.23,678600,3/5/2021
