Symbol,Name,Last,Industry,Exchange,Symbol Country
GETIB.S.EB,Getinge Ab,368.65,N/A,BXE,
FOIB.S.EB,Fenix Outdoor International Ag,1276,N/A,BXE,
FINGB.S.EB,Fingerprint Cards Ab,28.44,N/A,BXE,
FAG.S.EB,Fagerhult Ab,82.8,N/A,BXE,
EVO.S.EB,Evolution Gaming Group Ab,1478.8,N/A,BXE,
ESSIB.S.EB,Essity Ab,274.35,N/A,BXE,
ERICB.S.EB,Telefonaktiebolaget Lm Ericsson,103,N/A,BXE,
EPIB.S.EB,Epiroc Ab,168.65,N/A,BXE,
EPIA.S.EB,Epiroc Ab,193.25,N/A,BXE,
ENQ.S.EB,Enquest Plc,2.606,N/A,BXE,
ELUXB.S.EB,Electrolux Ab,212.05,N/A,BXE,
EKTAB.S.EB,Elekta Ab,110.675,N/A,BXE,
DUNI.S.EB,Duni Ab,113.2,N/A,BXE,
DOM.S.EB,Dometic Group Ab,139.925,N/A,BXE,
COOR.S.EB,Coor Service Management Holding Ab,87.9,N/A,BXE,
COIC.S.EB,Concentric Ab,193,N/A,BXE,
CLASB.S.EB,Clas Ohlson Ab,104.15,N/A,BXE,
CLAB.S.EB,Cloetta Ab,29.54,N/A,BXE,
CATE.S.EB,Catena Ab,562,N/A,BXE,
CAST.S.EB,Castellum Ab,246.6,N/A,BXE,
CALTX.S.EB,Calliditas Therapeutics Ab,128.5,N/A,BXE,
BUFAB.S.EB,Bufab Ab,336.5,N/A,BXE,
BRAV.S.EB,Bravida Holding Ab,137.05,N/A,BXE,
BOOZT.S.EB,Boozt Ab,178.6,N/A,BXE,
BONAB.S.EB,Bonava Ab,90.75,N/A,BXE,
BOL.S.EB,Boliden Ab,296.05,N/A,BXE,
BIOT.S.EB,Biotage Ab,240.4,N/A,BXE,
BIOAB.S.EB,Bioarctic Ab,126.5,N/A,BXE,
BILL.S.EB,Billerudkorsnas Ab,189.5,N/A,BXE,
BILIA.S.EB,Bilia Ab,170.6,N/A,BXE,
BEIJB.S.EB,Beijer Ref Ab,201.7,N/A,BXE,
BEIAB.S.EB,Beijer Alma Ab,211.5,N/A,BXE,
BALDB.S.EB,Fastighets Ab Balder,596.8,N/A,BXE,
AZN.S.EB,Astrazeneca Plc,979.5,N/A,BXE,
AZA.S.EB,Avanza Bank Holding Ab,346.55,N/A,BXE,
AXFO.S.EB,Axfood Ab,222.05,N/A,BXE,
ATRLB.S.EB,Atrium Ljungberg Ab,201.6,N/A,BXE,
ATCOB.S.EB,Atlas Copco Ab,499.9,N/A,BXE,
ATCOA.S.EB,Atlas Copco Ab,590.5,N/A,BXE,
ASSAB.S.EB,Assa Abloy Ab,280.75,N/A,BXE,
ARJOB.S.EB,Arjo Ab,112.25,N/A,BXE,
AOI.S.EB,Africa Oil Corp,10.81,N/A,BXE,
AMBEA.S.EB,Ambea Ab,65.85,N/A,BXE,
ALIV.S.EB,Autoliv Inc,744.8,N/A,BXE,
ALIFB.S.EB,Addlife Ab,343.6,N/A,BXE,
ALFA.S.EB,Alfa Laval Ab,345.55,N/A,BXE,
ADDTB.S.EB,Addtech Ab,180,N/A,BXE,
ACAD.S.EB,Academedia Ab,74.8,N/A,BXE,
ABB.S.EB,Abb Ltd,316.2,N/A,BXE,
Downloaded from Barchart.com as of 09-09-2021 02:50pm CDT,,,,,
