TRATON,8TRA,SEK,DE000TRAT0N7,,5020
AAK,AAK,SEK,SE0011337708,,4510
ABB Ltd,ABB,SEK,CH0012221716,,5020
Addtech B,ADDT B,SEK,SE0014781795,,5020
ÅF Pöyry B,AF B,SEK,SE0005999836,,5010
Alfa Laval,ALFA,SEK,SE0000695876,,5020
Autoliv SDB,ALIV SDB,SEK,SE0000382335,,4010
Ahlstrom-Munksjö Oyj,AM1S,SEK,FI4000048418,,5510
Arion Banki SDB,ARION SDB,SEK,SE0010413567,,3010
Arjo B,ARJO B,SEK,SE0010468116,,2010
ASSA ABLOY B,ASSA B,SEK,SE0007100581,,5010
Atlas Copco A,ATCO A,SEK,SE0011166610,,5020
Atlas Copco B,ATCO B,SEK,SE0011166628,,5020
Atrium Ljungberg B,ATRLJ B,SEK,SE0000191827,,3510
Axfood,AXFO,SEK,SE0006993770,,4520
Avanza Bank Holding,AZA,SEK,SE0012454072,,3010
AstraZeneca,AZN,SEK,GB0009895292,,2010
Fast. Balder B,BALD B,SEK,SE0000455057,,3510
Beijer Ref B,BEIJ B,SEK,SE0011116508,,5020
Betsson B,BETS B,SEK,SE0014186532,,4050
BHG Group,BHG,SEK,SE0010948588,,4040
BillerudKorsnäs,BILL,SEK,SE0000862997,,5510
Boliden,BOL,SEK,SE0012455673,,5510
Bravida Holding,BRAV,SEK,SE0007491303,,5010
Bure Equity,BURE,SEK,SE0000195810,,3020
Castellum,CAST,SEK,SE0000379190,,3510
Catena,CATE,SEK,SE0001664707,,3510
Cint Group,CINT,SEK,SE0015483276,,1010
Dometic Group,DOM,SEK,SE0007691613,,4020
Elekta B,EKTA B,SEK,SE0000163628,,2010
Electrolux A,ELUX A,SEK,SE0000103806,,4020
Electrolux B,ELUX B,SEK,SE0000103814,,4020
Epiroc A,EPI A,SEK,SE0011166933,,5020
Epiroc B,EPI B,SEK,SE0011166941,,5020
Electrolux Professional B,EPRO B,SEK,SE0013747870,,5020
EQT,EQT,SEK,SE0012853455,,3020
Ericsson A,ERIC A,SEK,SE0000108649,,1510
Ericsson B,ERIC B,SEK,SE0000108656,,1510
Essity A,ESSITY A,SEK,SE0009922156,,4520
Essity B,ESSITY B,SEK,SE0009922164,,4520
Evolution Gaming Group,EVO,SEK,SE0012673267,,4050
Fabege,FABG,SEK,SE0011166974,,3510
Fenix Outdoor International B,FOI B,SEK,CH0242214887,,4020
Fastpartner A,FPAR A,SEK,SE0013512506,,3510
Fastpartner D,FPAR D,SEK,SE0013512514,,3510
Fastpartner Pref,FPAR PREF,SEK,SE0011309236,,3510
Getinge B,GETI B,SEK,SE0000202624,,2010
Hexagon B,HEXA B,SEK,SE0000103699,,1010
Hennes & Mauritz B,HM B,SEK,SE0000106270,,4040
Holmen A,HOLM A,SEK,SE0011090000,,5510
Holmen B,HOLM B,SEK,SE0011090018,,5510
HEXPOL B,HPOL B,SEK,SE0007074281,,5510
Hufvudstaden A,HUFV A,SEK,SE0000170375,,3510
Husqvarna A,HUSQ A,SEK,SE0001662222,,4020
Husqvarna B,HUSQ B,SEK,SE0001662230,,4020
ICA Gruppen,ICA,SEK,SE0000652216,,4520
Indutrade,INDT,SEK,SE0001515552,,5020
Industrivärden A,INDU A,SEK,SE0000190126,,3020
Industrivärden C,INDU C,SEK,SE0000107203,,3020
Intrum,INTRUM,SEK,SE0000936478,,3020
Investor A,INVE A,SEK,SE0000107401,,3020
Investor B,INVE B,SEK,SE0000107419,,3020
JM,JM,SEK,SE0000806994,,3510
Kindred Group,KIND SDB,SEK,SE0007871645,,4050
Kinnevik A,KINV A,SEK,SE0014684510,,3020
Kinnevik B,KINV B,SEK,SE0014684528,,3020
Kungsleden,KLED,SEK,SE0000549412,,3510
Klövern A,KLOV A,SEK,SE0006593901,,3510
Klövern B,KLOV B,SEK,SE0006593919,,3510
Klövern pref,KLOV PREF,SEK,SE0006593927,,3510
Latour B,LATO B,SEK,SE0010100958,,3020
Lifco B,LIFCO B,SEK,SE0006370730,,5020
Loomis,LOOMIS,SEK,SE0014504817,,5020
Lundin Mining Corporation,LUMI,SEK,CA5503721063,,5510
Lundbergföretagen B,LUND B,SEK,SE0000108847,,3510
Lundin Energy,LUNE,SEK,SE0000825820,,6010
Medicover B,MCOV B,SEK,SE0009778848,,2010
Mycronic,MYCR,SEK,SE0000375115,,1010
NCC A,NCC A,SEK,SE0000118952,,5010
NCC B,NCC B,SEK,SE0000117970,,5010
Nordea Bank Abp,NDA SE,SEK,FI4000297767,,3010
Nordic Entertainment Group A,NENT A,SEK,SE0012324226,,1510
Nordic Entertainment Group B,NENT B,SEK,SE0012116390,,1510
NIBE Industrier B,NIBE B,SEK,SE0008321293,,5010
Nobia,NOBI,SEK,SE0000949331,,4020
Nolato B,NOLA B,SEK,SE0000109811,,5020
Nyfosa,NYF,SEK,SE0011426428,,3510
Peab B,PEAB B,SEK,SE0000106205,,5010
Platzer Fastigheter Holding B,PLAZ B,SEK,SE0004977692,,3510
Pandox B,PNDX B,SEK,SE0007100359,,3510
Ratos A,RATO A,SEK,SE0000191090,,3020
Ratos B,RATO B,SEK,SE0000111940,,3020
Resurs Holding,RESURS,SEK,SE0007665823,,3020
SAAB B,SAAB B,SEK,SE0000112385,,5020
Sagax A,SAGA A,SEK,SE0004635878,,3510
Sagax B,SAGA B,SEK,SE0005127818,,3510
Sagax D,SAGA D,SEK,SE0009161052,,3510
Sandvik,SAND,SEK,SE0000667891,,5020
Nordnet,SAVE,SEK,SE0015192067,,3020
Samhällsbyggnadsbo. i Norden B,SBB B,SEK,SE0009554454,,3510
Samhällsbyggnadsbo. i Norden D,SBB D,SEK,SE0011844091,,3510
SCA A,SCA A,SEK,SE0000171886,,5510
SCA B,SCA B,SEK,SE0000112724,,5510
SEB A,SEB A,SEK,SE0000148884,,3010
SEB C,SEB C,SEK,SE0000120784,,3010
SECTRA B,SECT B,SEK,SE0014609061,,2010
Securitas B,SECU B,SEK,SE0000163594,,5020
Sv. Handelsbanken A,SHB A,SEK,SE0007100599,,3010
Sv. Handelsbanken B,SHB B,SEK,SE0007100607,,3010
Sinch,SINCH,SEK,SE0007439112,,1010
Skanska B,SKA B,SEK,SE0000113250,,5010
SKF A,SKF A,SEK,SE0000108201,,5510
SKF B,SKF B,SEK,SE0000108227,,5510
Swedish Orphan Biovitrum,SOBI,SEK,SE0000872095,,2010
SSAB A,SSAB A,SEK,SE0000171100,,5510
SSAB B,SSAB B,SEK,SE0000120669,,5510
Stora Enso A,STE A,SEK,FI0009007603,,5510
Stora Enso R,STE R,SEK,FI0009007611,,5510
SWECO A,SWEC A,SEK,SE0014960365,,5010
SWECO B,SWEC B,SEK,SE0014960373,,5010
Swedbank A,SWED A,SEK,SE0000242455,,3010
Swedish Match,SWMA,SEK,SE0000310336,,4510
Tele2 A,TEL2 A,SEK,SE0005190220,,1510
Tele2 B,TEL2 B,SEK,SE0005190238,,1510
Telia Company,TELIA,SEK,SE0000667925,,1510
Thule Group,THULE,SEK,SE0006422390,,4020
TietoEVRY Oyj,TIETOS,SEK,FI0009000277,,1010
Millicom Int. Cellular SDB,TIGO SDB,SEK,SE0001174970,,1510
Trelleborg B,TREL B,SEK,SE0000114837,,5020
Vitrolife,VITR,SEK,SE0011205202,,2010
Veoneer SDB,VNE SDB,SEK,SE0011115963,,4010
Volvo A,VOLV A,SEK,SE0000115420,,5020
Volvo B,VOLV B,SEK,SE0000115446,,5020
Wallenstam B,WALL B,SEK,SE0007074844,,3510
Wihlborgs Fastigheter,WIHL,SEK,SE0011205194,,3510
AcadeMedia,ACAD,SEK,SE0007897079,,4020
Adapteo,ADAPT,SEK,FI4000383898,,3510
AddLife B,ALIF B,SEK,SE0014401378,,2010
Alimak Group,ALIG,SEK,SE0007158910,,5020
Ambea,AMBEA,SEK,SE0009663826,,2010
Annehem Fastigheter B,ANNE B,SEK,SE0015221684,,3510
Addnode Group B,ANOD B,SEK,SE0000472268,,1010
Africa Oil,AOI,SEK,CA00829Q1019,,6010
AQ Group,AQ,SEK,SE0000772956,,5020
Attendo,ATT,SEK,SE0007666110,,2010
Bactiguard Holding B,BACTI B,SEK,SE0005878741,,2010
Balco Group,BALCO,SEK,SE0010323998,,5010
Beijer Alma B,BEIA B,SEK,SE0011090547,,5510
Bergman & Beving B,BERG B,SEK,SE0000101362,,5020
Besqab,BESQ,SEK,SE0005991411,,4020
Better Collective,BETCO,SEK,DK0060952240,,1010
Bilia A,BILI A,SEK,SE0009921588,,4040
BioArctic B,BIOA B,SEK,SE0010323311,,2010
BioGaia B,BIOG B,SEK,SE0000470395,,2010
Biotage,BIOT,SEK,SE0000454746,,2010
Byggmax Group,BMAX,SEK,SE0003303627,,4040
Bonava A,BONAV A,SEK,SE0008091573,,4020
Bonava B,BONAV B,SEK,SE0008091581,,4020
BONESUPPORT HOLDING,BONEX,SEK,SE0009858152,,2010
Boozt,BOOZT,SEK,SE0009888738,,4040
Brinova Fastigheter B,BRIN B,SEK,SE0008347652,,3510
BTS Group B,BTS B,SEK,SE0000805426,,5020
Bufab,BUFAB,SEK,SE0005677135,,5020
Bulten,BULTEN,SEK,SE0003849223,,4010
Calliditas Therapeutics,CALTX,SEK,SE0010441584,,2010
Camurus,CAMX,SEK,SE0007692850,,2010
Cantargia,CANTA,SEK,SE0006371126,,2010
Catella A,CAT A,SEK,SE0000188500,,3020
Catella B,CAT B,SEK,SE0000188518,,3020
Cavotec,CCC,SEK,CH0136071542,,5020
CellaVision,CEVI,SEK,SE0000683484,,2010
Cloetta B,CLA B,SEK,SE0002626861,,4510
Clas Ohlson B,CLAS B,SEK,SE0000584948,,4040
CELLINK B,CLNK B,SEK,SE0013647385,,2010
Concentric,COIC,SEK,SE0003950864,,5020
Collector,COLL,SEK,SE0007048020,,3010
Coor Service Management Hold.,COOR,SEK,SE0007158829,,5020
Corem Property Group A,CORE A,SEK,SE0010714279,,3510
Corem Property Group B,CORE B,SEK,SE0010714287,,3510
Corem Property Group Pref,CORE PREF,SEK,SE0010714311,,3510
Creades A,CRED A,SEK,SE0004390516,,3020
Catena Media,CTM,SEK,MT0001000109,,4030
CTT Systems,CTT,SEK,SE0000418923,,5020
Diös Fastigheter,DIOS,SEK,SE0001634262,,3510
