Symbol,Name,Wtd Alpha,Last,Change,%Chg,52W High,52W Low,52W %Chg,Time
SNPS,Synopsys Inc,59.6,219.3,-14.49,-6.20%,246.69,104.9,61.74%,15:59 ET
SPLK,Splunk Inc,44.6,187.87,-8.45,-4.30%,225.89,93.92,49.94%,15:59 ET
SWKS,Skyworks Solutions,36.5,137.17,-7.41,-5.13%,158.61,67.9,37.16%,15:59 ET
TCOM,Trip.com Group Ltd,29.8,36.13,-0.44,-1.20%,38.95,20.1,6.10%,15:59 ET
TMUS,T-Mobile US,57.7,121.86,-0.92,-0.75%,127.03,63.5,50.82%,16:01 ET
TSLA,Tesla Inc,376.4,410.84,-10.42,-2.47%,502.49,65.42,507.20%,16:00 ET
TTWO,Take-Two Interacti,25.3,154.85,-5.14,-3.21%,180.61,100,33.32%,15:59 ET
TXN,Texas Instruments,34.9,151.25,-4.97,-3.18%,164.63,93.09,26.96%,16:00 ET
ULTA,Ulta Beauty Inc,16.7,265.62,18.42,7.45%,304.65,124.05,10.77%,15:59 ET
VRSK,Verisk Analytics Inc,38.7,195.06,-1.25,-0.64%,206.43,116.61,42.92%,15:59 ET
VRSN,Verisign Inc,3.6,199.88,-3.58,-1.76%,221.3,148.77,8.65%,15:59 ET
VRTX,Vertex Pharmaceutic,-9,215.37,-7.48,-3.36%,306.08,197.47,7.39%,15:59 ET
WBA,Walgreens Boots Alliance,-24.5,42.37,2.58,6.48%,63.24,33.36,-28.22%,16:00 ET
WDAY,Workday Inc,18.7,213.88,-9.52,-4.26%,248.75,107.75,31.17%,16:00 ET
XEL,XCEL Energy Inc,30,73.92,0.49,0.67%,76.44,46.58,22.87%,16:00 ET
XLNX,Xilinx Inc,40.1,122.38,-7.97,-6.11%,136.5,67.68,27.92%,15:59 ET
ZM,Zoom Video Communications Cl A,405.5,377.8,-35.44,-8.58%,588.84,62.02,451.80%,16:03 ET
