Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
GE,"General Electric Company",9.01,0.29,+3.33%,8.82,9.1,8.75,137307020,"15:42 ET"
GGG,"Graco Inc",67.57,1.22,+1.84%,66.9,67.89,66.62,267941,"15:43 ET"
GH,"Guardant Health Inc",112.31,-0.42,-0.37%,110.3,114.23,108.28,456502,"15:43 ET"
GHC,"Graham Holdings Company",450.77,15.3,+3.51%,438.29,455.98,438.29,18895,"15:42 ET"
GILD,"Gilead Sciences Inc",61,1.95,+3.30%,58.44,61.45,58.18,8231830,"15:43 ET"
GIS,"General Mills",58.6,0.24,+0.41%,58.22,58.69,57.23,4890207,"15:43 ET"
GL,"Globe Life Inc",92.35,0.88,+0.96%,91.83,93.44,91.44,245993,"15:43 ET"
GLIBA,"Gci Liberty Inc Cl A",85.42,1.68,+2.01%,83.31,85.79,82.82,433110,"15:42 ET"
GLOB,"Globant S.A.",188.08,-14.21,-7.02%,199.91,199.91,184.84,224313,"15:43 ET"
GLPI,"Gaming & Leisure",41.29,1.45,+3.64%,39.86,41.4,39.51,1066662,"15:43 ET"
GLW,"Corning Inc",35.98,0.3,+0.84%,35.91,36.21,35.65,2483569,"15:43 ET"
GM,"General Motors Company",40.94,1.98,+5.08%,39.75,41.59,39.15,22205772,"15:43 ET"
GMED,"Globus Medical Inc",57.69,-0.37,-0.64%,57.64,58,55.81,436998,"15:42 ET"
GNRC,"Generac Holdings Inc",217.94,-2.6,-1.18%,221.02,223.48,212.3,780352,"15:43 ET"
GNTX,"Gentex Corp",31.42,0.35,+1.13%,31.34,31.65,31.06,1050609,"15:43 ET"
GO,"Grocery Outlet Holding Corp",42.56,1.35,+3.28%,41.43,42.74,40.29,1058169,"15:43 ET"
GOCO,"Gohealth Inc Cl A",12.91,0.06,+0.47%,12.81,13.04,12.32,484237,"15:38 ET"
GOOG,"Alphabet Cl C",1741.19,-21.81,-1.24%,1731.09,1763,1712.99,2090807,"15:43 ET"
GOOGL,"Alphabet Cl A",1738.71,-22.71,-1.29%,1729.77,1759.38,1707.84,1521508,"15:43 ET"
GPC,"Genuine Parts Company",99.59,1.1,+1.12%,98.73,101.19,98.48,470788,"15:43 ET"
GPK,"Graphic Packaging Holding Company",14.64,0.13,+0.90%,14.57,14.89,14.55,2407010,"15:43 ET"
