ShortName;ValorSymbol;ValorNumber;ISIN;TitleSegmentDesc;BasketMembershipsSymbols;TradingBaseCurrency;ClosingPrice;ClosingPerformance;ClosingDelta;BidVolume;BidPrice;AskPrice;AskVolume;MidSpread;PreviousClosingPrice;LatestTradeDate;LatestTradeTime;OpeningPrice;DailyHighPrice;DailyLowPrice;ClobVolume;OffBookVolume;SwissAtMidVolume;SwissAtMidRatioOnMarket;SwissAtMidRatioTotal;SwissAtMidTurnover;EbboVolume;TotalTurnover;TotalTurnoverCHF;GeographicalAreaDesc;ListingSegmentDesc;SecTypeDesc
BASLER KB PS;BSKP;923646;CH0009236461;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXBPX|SXPCX|SSIP|SSIRT|SXGE|SXBP|SXPC|SNSPIX|SNSPI|SPIEX|SPIEXX|C8300P|C8300T|C8000P|C8000T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;62.6;-0.95;-0.6;599;62.6;63.4;355;1.2698;63.2;20220110;173049;63.2;63.4;62.6;4316;0;33;0.7498;0.7442;2082.3;85;279943.1;279943.1;Switzerland;Swiss Reporting Standard;Participation certificate
BAXTER INTL;BAX;911702;US0718131099;Foreign Shares;;CHF;84;0;0;0;-Market;84;18;;84;20210901;;;;;0;0;0;;;0;0;0;0;United States;International Reporting Standard;Registered share
BB BIOTECH N;BION;3838999;CH0038389992;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|IGSP|IGSTR|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SLIFE|SLIFEX|SBIOM|SPIEX|SPIEXX|SBIOMX|SMIMC|SMIM|SMIEXC|SMIEXP|C8700P|C8700T|C8000P|C8000T|SXSLIX|SXSLI|SMIMDP|SDIVI|SDIVIC|SPIVP|SPISZ|SPIMTP|SPIVPE|SPISPE|SPITPE|SPIVPC|SPISPC|SPIMTC|SPIVPD|SPISPD|SPITPD|ESCGIP|ESCGIT;CHF;72.25;-2.23;-1.65;42;73;+Market;235;0;73.9;20220110;173049;73.1;73.6;71.65;176944;0;2549;1.4253;1.4052;184890.81;1899;13139197.16;13139197.16;Switzerland;Standard for Investment Companies;Registered share
BB BIOTECH N 2. LINIE;BIOEE;2765979;CH0027659793;Swiss Shares;;CHF;48.8;0;0;0;;;0;;48.8;20160311;;;;;0;0;0;;;0;0;0;0;Switzerland;Standard for Investment Companies;Registered share
BC GENEVE N;BCGE;35049471;CH0350494719;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8300P|C8300T|C8000P|C8000T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT;CHF;160.5;-1.53;-2.5;2;160;163;159;1.8576;163;20220110;173049;162.5;162.5;160.5;527;0;0;0;0;0;0;85239;85239;Switzerland;Swiss Reporting Standard;Registered share
BC JURA N;BCJ;35066567;CH0350665672;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8300P|C8300T|C8000P|C8000T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;50.5;-3.81;-2;125;50.5;52.5;228;3.8835;52.5;20220110;173049;50.5;50.5;50.5;64;0;0;0;0;0;0;3232;3232;Switzerland;Swiss Reporting Standard;Registered share
BC VAUD N;BCVN;53175175;CH0531751755;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8300P|C8300T|C8000P|C8000T|SXSLIX|SXSLI|SPIVP|SPILP|SPIMTP|SPIVPE|SPILPE|SPITPE|SPIVPC|SPILPC|SPIMTC|SPIVPD|SPILPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIEVC|SPIEMTC|SPIELC|SPIELP|SPIEVP;CHF;72.4;1.12;0.8;3;72.5;72.8;30;0.4129;71.6;20220110;173049;72;72.6;71.1;60217;0;6296;10.3249;9.3586;454438.55;762;4854388.35;4854388.35;Switzerland;Swiss Reporting Standard;Registered share
BEKB / BCBE N;BEKN;969160;CH0009691608;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8300P|C8300T|C8000P|C8000T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;209;0;0;143;208;+Market;10;0;209;20220110;173049;208;210;208;2323;0;72;2.8777;2.7972;15048;179;538272;538272;Switzerland;Swiss Reporting Standard;Registered share
BELIMO N;BEAN;110109816;CH1101098163;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2300P|C2300T|SXSLIX|SXSLI|SDIVI|SDIVIC|SPISZ|SPIMP|SPIRP|SPIQP|SPIMTP|SPISPE|SPIMPE|SPIRPE|SPIQPE|SPITPE|SPISPC|SPIMPC|SPIRPC|SPIQPC|SPIMTC|SPISPD|SPIMPD|SPIRPD|SPIQPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIESZ|SPIEQC|SPIEMTC|SPIERC|SPIEMC|SPIEQP|SPIESC|SPIEMP|SPIERP;CHF;518;-7.5;-42;4;530;537;25;1.3121;560;20220110;173049;552;560;516;18805;0;2256;11.9119;10.644;1178382;134;11148529;11148529;Switzerland;International Reporting Standard;Registered share
BELL FOOD GROUP N;BELL;31596632;CH0315966322;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C3000P|C3000T|C3500P|C3500T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;287.5;0.88;2.5;10;285;290;5675;1.7391;285;20220110;173049;288;290;285;2955;0;331;11.1485;10.0303;95381.25;14;951884.25;951884.25;Switzerland;Swiss Reporting Standard;Registered share
BELLEVUE GROUP N;BBN;2842210;CH0028422100;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8700P|C8700T|C8000P|C8000T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;41.9;-0.24;-0.1;60;41.8;42.5;918;1.6607;42;20220110;173049;42.3;42.5;41.9;9720;0;144;1.4815;1.4599;6070.65;0;416281.25;416281.25;Switzerland;International Reporting Standard;Registered share
BK LINTH N;LINN;130775;CH0001307757;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8300P|C8300T|C8000P|C8000T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT;CHF;478;-3.24;-16;19;476;510;1;6.8966;494;20220110;173049;496;500;478;109;0;0;0;0;0;0;53992;53992;Switzerland;Swiss Reporting Standard;Registered share
BKW N;BKW;13029366;CH0130293662;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C7500T|C7500P|C7000P|C7000T|SXSLIX|SXSLI|SDIVI|SDIVIC|SPIGE|SPIGT;CHF;113.2;-2.92;-3.4;311;+Market;116.8;85;;116.6;20220110;173049;117.4;117.4;113.2;43115;0;1274;2.905;2.823;145480.9;741;5160267.3;5160267.3;Switzerland;International Reporting Standard;Registered share
Blackstone Resources N;BLS;46002711;CH0460027110;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C1000P|C1000T|C1700P|C1700T|SXSLIX|SXSLI;CHF;2.62;-0.76;-0.02;499;2.62;2.7;47;3.0075;2.64;20220110;173049;2.68;2.7;2.62;14383;0;50;0.3476;0.3464;133.5;0;38206.12;38206.12;Switzerland;International Reporting Standard;Registered share
BOBST GRP N;BOBNN;1268465;CH0012684657;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;78.65;-6.65;-5.6;10;78.65;82;140;4.1706;84.25;20220110;173049;84.3;84.3;78.05;15430;0;933;6.0019;5.6621;77144.29;115;1327785.04;1327785.04;Switzerland;Swiss Reporting Standard;Registered share
BOSSARD N;BOSN;23862714;CH0238627142;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2300P|C2300T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT;CHF;296;-4.05;-12.5;5;+Market;+Market;65;;308.5;20220110;173049;310;311;295;20384;601;1207;5.9028;5.4233;362899;64;6712068.5;6712068.5;Switzerland;Swiss Reporting Standard;Registered share
BUCHER N;BUCN;243217;CH0002432174;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|SPIVP|SPISZ|SPILP|SPIQP|SPIMTP|SPIVPE|SPISPE|SPILPE|SPIQPE|SPITPE|SPIVPC|SPISPC|SPILPC|SPIQPC|SPIMTC|SPIVPD|SPISPD|SPILPD|SPIQPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIEVC|SPIESZ|SPIEQC|SPIEMTC|SPIEQP|SPIESC|SPIEVP;CHF;448.2;-2.65;-12.2;25;+Market;465;22;;460.4;20220110;173049;458;459.2;448;8390;0;2407;28.5697;22.2212;1093035.9;35;4899246.9;4899246.9;Switzerland;Swiss Reporting Standard;Registered share
BURCKHARDT N;BCHN;2553602;CH0025536027;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIGE|SPIGT;CHF;425.5;-0.93;-4;95;+Market;430;5956;;429.5;20220110;173049;436;438.5;421;3937;0;185;4.6871;4.4773;79014.5;10;1767929;1767929;Switzerland;Swiss Reporting Standard;Registered share
BURKHALTER N;BRKN;21225580;CH0212255803;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2300P|C2300T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT;CHF;62;-0.96;-0.6;894;62;62;5;0;62.6;20220110;173049;62.6;63.3;62;2585;0;0;0;0;0;100;167811.5;167811.5;Switzerland;Swiss Reporting Standard;Registered share
BVZ HOL N;BVZN;820735;CH0008207356;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT;CHF;700;-2.78;-20;19;690;740;40;6.993;720;20220110;173049;730;735;700;157;0;0;0;0;0;0;114425;114425;Switzerland;Swiss Reporting Standard;Registered share
BYSTRONIC AG;BYS;24401750;CH0244017502;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;1268;-3.5;-46;2;1260;1330;10;5.4054;1314;20220110;173049;1322;1322;1260;793;0;524;66.0782;39.7874;669399;0;1682631;1682631;Switzerland;Swiss Reporting Standard;Registered share
CADELPLATA N;CADN;455617;ARP290071876;Foreign Shares;;CHF;0.17;0;0;9800;0.0685;0.18;3135;89.7384;0.17;20211223;;;;;0;0;0;;;0;0;0;0;Argentina;International Reporting Standard;Registered share
CALIDA N;CALN;12663946;CH0126639464;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C3000P|C3000T|C3700P|C3700T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;48.7;-5.62;-2.9;320;48.5;52;1370;6.9652;51.6;20220110;173049;52;52;48.6;13957;0;142;1.0155;1.0053;7215.5;26;698423.6;698423.6;Switzerland;International Reporting Standard;Registered share
CASSIOPEA N;SKIN;28252872;IT0005108359;Foreign Shares;SSIP|SSIRT;CHF;33;1.54;0.5;100;32.6;34.5;2000;5.6632;32.5;20220110;173049;33;33;31.6;1571;0;0;0;0;0;0;51348.4;51348.4;Italy;International Reporting Standard;Registered share
CASTLE ALT N;CASN;509275;CH0005092751;Swiss Shares;IGSP|IGSTR|SSIP|SSIRT;CHF;1.7;0;0;19912;1.7;16.5;1000;162.6374;1.7;20220107;;;;;0;0;0;;;0;0;0;0;Switzerland;Standard for Investment Companies;Registered share
CASTLE PRIVATE N;CPEN;4885474;CH0048854746;Swiss Shares;IGSP|IGSTR|SSIP|SSIRT;CHF;9.6;0;0;2000;9.6;9.8;102;2.0619;9.6;20220105;;;;;0;0;0;;;0;0;0;0;Switzerland;Standard for Investment Companies;Registered share
CATERPILLAR;CAT;916546;US1491231015;Foreign Shares;;CHF;189;0;0;0;;-Market;0;;189;20211220;;;;;0;0;0;;;0;0;0;0;United States;International Reporting Standard;Registered share
CEMBRA MONEY BANK N;CMBN;22517316;CH0225173167;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|SMIMC|SMIM|SMIEXC|SMIEXP|C8300P|C8300T|C8000P|C8000T|SXSLIX|SXSLI|SMIMDP|SSUSTX|SSUST|SPIVP|SPISZ|SPILP|SPIMTP|SPIVPE|SPISPE|SPILPE|SPITPE|SPIVPC|SPISPC|SPILPC|SPIMTC|SPIVPD|SPISPD|SPILPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIEVC|SPIESZ|SPIEMTC|SPIELC|SPIESC|SPIELP|SPIEVP;CHF;64.9;-2.84;-1.9;100;+Market;65.55;200;;66.8;20220110;173049;66.7;66.7;64.6;136894;0;6906;4.962;4.7274;455879.96;2285;9570342.81;9570342.81;Switzerland;International Reporting Standard;Registered share
CFRAO  C 11/23;CFRAO;55960154;CH0559601544;Swiss Shares;;CHF;0.92;-6.12;-0.06;146192;0.9;0.98;900;8.5106;0.98;20220110;171451.267;0.96;0.96;0.9;133256;0;0;0;0;0;0;126592.46;126592.46;Switzerland;Standard for Derivatives;Shareholder's warrant
CI COM SA;CIE;162581;CH0001625810;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXBSX|SXBPX|SSIP|SSIRT|SXGE|SXBS|SXBP|SNSPIX|SNSPI|SPIEX|SPIEXX|C8700P|C8700T|C8000P|C8000T|SXSLIX|SXSLI;CHF;2.46;-1.6;-0.04;890;2.46;3.5;4000;34.8993;2.5;20220110;90108;2.46;2.46;2.46;10;0;0;0;0;0;0;24.6;24.6;Switzerland;Swiss Reporting Standard;Bearer share
CICOR TECH N;CICN;870219;CH0008702190;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;50;-1.19;-0.6;200;47.2;52;435;9.6774;50.6;20220110;173049;50;50.4;50;2250;0;42;1.8667;1.8325;2121;0;115227.4;115227.4;Switzerland;Swiss Reporting Standard;Registered share
CICOR TECH N ANR;CICN1;115416153;CH1154161538;Swiss Shares;;CHF;0.01;0;0;7769;+Market;+Market;429397;;0.01;20220106;;;;;0;0;0;;;0;0;0;0;Switzerland;Standard for Derivatives;Subscription right
CIE FIN TR I;CFT;1434511;CH0014345117;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXBSX|SXBPX|SSIP|SSIRT|SXGE|SXBS|SXBP|SNSPIX|SNSPI|SPIEX|SPIEXX|C8700P|C8700T|C8000P|C8000T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;106;-2.3;-2.5;130;104.5;108.5;91;3.7559;108.5;20220110;173049;106.5;108.5;106;265;0;0;0;0;0;0;28120;28120;Switzerland;International Reporting Standard;Bearer share
CLARIANT N;CLN;1214263;CH0012142631;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|SMIMC|SMIM|SMIEXC|SMIEXP|C1000P|C1000T|C1300P|C1300T|SXSLIX|SXSLI|SMIMDP|SSUSTX|SSUST|SLCEUR|SLIEUR|SLIUSD|SLCUSD|SPISZ|SPIRP|SPIRV|SPIMTP|SPISPE|SPIRPE|SPIRVE|SPITPE|SPISPC|SPIRPC|SPIRVC|SPIMTC|SPISPD|SPIRPD|SPIRVD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIESZ|SPIEMTC|SPIERC|SPIERV|SPIESC|SPIERP|SPIERD;CHF;19.075;-1.78;-0.345;1029;18.8;+Market;110;0;19.42;20220110;173057.036;19.485;19.485;18.975;997859;0;23625;2.3606;2.3062;452059.94;2929;19570667.75;19570667.75;Switzerland;International Reporting Standard;Registered share
COLTENE N;CLTN;2534325;CH0025343259;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SLIFE|SLIFEX|SBIOM|SPIEX|SPIEXX|SBIOMX|C4000P|C4000T|C4500P|C4500T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT;CHF;107.4;-3.59;-4;400;104;109.8;10;5.4256;111.4;20220110;173049;112.8;112.8;106.6;5180;0;104;1.9965;1.9575;11243.1;29;580118.9;580118.9;Switzerland;Swiss Reporting Standard;Registered share
COMET N;COTN;36082699;CH0360826991;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;294;-6.07;-19;129;+Market;+Market;18;;313;20220110;173049;313.5;313.5;290.5;30145;0;1447;4.7581;4.542;430154;266;9480335;9480335;Switzerland;International Reporting Standard;Registered share
COSMO PHARM N;COPN;32590356;NL0011832936;Foreign Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SLIFE|SLIFEX|SPIEX|SPIEXX|C4000P|C4000T|C4500P|C4500T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT;CHF;60.7;-2.41;-1.5;33;61;60.8;200;-0.3284;62.2;20220110;173049;62.4;62.4;60;18178;0;123;0.6546;0.6503;7443;613;1149712.1;1149712.1;Netherlands;International Reporting Standard;Registered share
CPH N;CPHN;162471;CH0001624714;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C1000P|C1000T|C1700P|C1700T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT;CHF;60.2;-0.99;-0.6;251;60.2;69;15;13.6223;60.8;20220110;173049;61;61;60.2;691;0;0;0;0;0;0;42036.8;42036.8;Switzerland;Swiss Reporting Standard;Registered share
CREALOGIX N;CLXN;1111570;CH0011115703;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C9500P|C9500T|C9000P|C9000T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;123;-0.81;-1;50;120;124;149;3.2787;124;20220110;173049;123;123;123;1156;0;0;0;0;0;0;142188;142188;Switzerland;Swiss Reporting Standard;Registered share
CS GROUP N;CSGN;1213853;CH0012138530;Swiss Shares;SMIC|SPIX|SLCI|SOCI|SLCIX|SOCIX|SXRSX|SSIP|SSIRT|SMI|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SMIEUR|SMIEXC|SMIEXP|C8700P|C8700T|C8000P|C8000T|SLI|SLIC|SMIDVP|SLIDP|SMCEUR|SLCEUR|SLIEUR|SMIUSD|SMCUSD|SLIUSD|SLCUSD|SPIVP|SPIRV|SPIMTP|SPIVPE|SPIRVE|SPITPE|SPIVPC|SPIRVC|SPIMTC|SPIVPD|SPIRVD|SPITPD|ESCGIP|ESCGIT|SPI20|SPI2C|ESCGLP|ESCGLT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIGE|SPIGT|SPIEMTP|SPIEVC|SPIEMTC|SPIERV|SPIERD|SPIEVP;CHF;9.402;1.27;0.118;712;+Market;+Market;5376;;9.284;20220110;173049.109;9.4;9.516;9.358;13452285;25000;840750;6.2112;5.8379;7934089.67;83663;135783944.74;135783944.74;Switzerland;International Reporting Standard;Registered share
DAETWYLER I;DAE;3048677;CH0030486770;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXBSX|SXBPX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXBS|SXBP|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIESZ|SPIEMTC|SPIERC|SPIEMC|SPIELC|SPIESC|SPIEMP|SPIERP|SPIELP;CHF;373.5;-5.8;-23;91;+Market;375;20;;396.5;20220110;173049;398;398.5;369.5;13394;0;8314;61.2585;37.9878;3201295.25;178;8341921.75;8341921.75;Switzerland;Swiss Reporting Standard;Bearer share
DATACOLOR N;DCN;853104;CH0008531045;Swiss Shares;SSIP|SSIRT;CHF;740;2.07;15;48;725;740;112;2.0478;725;20220110;94319.599;740;740;740;3;0;0;0;0;0;0;2220;2220;Switzerland;Swiss Reporting Standard;Registered share
DKSH N;DKSH;12667353;CH0126673539;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|SDIVI|SDIVIC|SPIVP|SPISZ|SPIMP|SPIRP|SPIRV|SPILP|SPIMTP|SPIVPE|SPISPE|SPIMPE|SPIRPE|SPIRVE|SPILPE|SPITPE|SPIVPC|SPISPC|SPIMPC|SPIRPC|SPIRVC|SPILPC|SPIMTC|SPIVPD|SPISPD|SPIMPD|SPIRPD|SPIRVD|SPILPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIEVC|SPIESZ|SPIEMTC|SPIERC|SPIELC|SPIERV|SPIESC|SPIERP|SPIERD|SPIELP|SPIEVP;CHF;72.6;-2.62;-1.95;99;72;75;1158;4.0816;74.55;20220110;173142.785;75;75;72.2;60229;0;8481;13.8985;12.2025;616295.63;792;5057799.88;5057799.88;Switzerland;International Reporting Standard;Registered share
dormakaba N;DOKA;1179595;CH0011795959;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|SDIVI|SDIVIC|SPISZ|SPIMP|SPIRP|SPIRV|SPIQP|SPIMTP|SPISPE|SPIMPE|SPIRPE|SPIRVE|SPIQPE|SPITPE|SPISPC|SPIMPC|SPIRPC|SPIRVC|SPIQPC|SPIMTC|SPISPD|SPIMPD|SPIRPD|SPIRVD|SPIQPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIESZ|SPIEQC|SPIEMTC|SPIERC|SPIEMC|SPIERV|SPIEQP|SPIESC|SPIEMP|SPIERP|SPIERD;CHF;569.5;-3.31;-19.5;8;570;573;15;0.5249;589;20220110;173049;584;587.5;566.5;7718;0;918;11.6453;10.4306;529408.5;165;5057197;5057197;Switzerland;Swiss Reporting Standard;Registered share
DOTTIKON ES N;DESN;58258171;CH0582581713;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C1000P|C1000T|C1300P|C1300T|SXSLIX|SXSLI;CHF;256;-7.25;-20;18;+Market;260;65;;276;20220110;173745.98;280;280;254;8138;0;130;1.5883;1.5634;34732;47;2188308;2188308;Switzerland;Swiss Reporting Standard;Registered share
