ShortName;ValorSymbol;ValorNumber;ISIN;TitleSegmentDesc;BasketMembershipsSymbols;TradingBaseCurrency;ClosingPrice;ClosingPerformance;ClosingDelta;BidVolume;BidPrice;AskPrice;AskVolume;MidSpread;PreviousClosingPrice;LatestTradeDate;LatestTradeTime;OpeningPrice;DailyHighPrice;DailyLowPrice;ClobVolume;OffBookVolume;SwissAtMidVolume;SwissAtMidRatioOnMarket;SwissAtMidRatioTotal;SwissAtMidTurnover;EbboVolume;TotalTurnover;TotalTurnoverCHF;GeographicalAreaDesc;ListingSegmentDesc;SecTypeDesc
AIRESIS N;AIRE;1094762;CH0010947627;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C3000P|C3000T|C3700P|C3700T|SXSLIX|SXSLI;CHF;0.7;-3.45;-0.025;10000;0.66;0.73;5664;10.0719;0.725;20220110;173049;0.685;0.7;0.685;3220;0;0;0;0;0;0;2230.15;2230.15;Switzerland;International Reporting Standard;Registered share
ALCON N;ALC;43249246;CH0432492467;Swiss Shares;SMIC|SPIX|SLCI|SOCI|SLCIX|SOCIX|SXRSX|SSIP|SSIRT|SMI|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SMIEUR|SLIFE|SLIFEX|SMIEXC|SMIEXP|C4000P|C4000T|C4500P|C4500T|SLI|SLIC|SMIDVP|SLIDP|SMCEUR|SLCEUR|SLIEUR|SMIUSD|SMCUSD|SLIUSD|SLCUSD|ESCGIP|ESCGIT|SPI20|SPI2C|ESCGLP|ESCGLT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;71.36;-4.16;-3.1;250;+Market;+Market;454;;74.46;20220110;173308.675;74.18;74.38;71.08;1232099;0;168578;13.6439;12.0058;12104593.3;3461;100772298.88;100772298.88;Switzerland;International Reporting Standard;Registered share
ALLREAL N;ALLN;883756;CH0008837566;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8700P|C8700T|C8000P|C8000T|SXSLIX|SXSLI|REAL|REALX|SREAL|SREALX|CHRE|CHREX|CHRES|CHRESX|SPIVP|SPISZ|SPILP|SPIMTP|SPIVPE|SPISPE|SPILPE|SPITPE|SPIVPC|SPISPC|SPILPC|SPIMTC|SPIVPD|SPISPD|SPILPD|SPITPD|ESCGIP|ESCGIT|RESAL|RESALX|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIEVC|SPIESZ|SPIEQC|SPIEMTC|SPIELC|SPIEQP|SPIESC|SPIELP|SPIEVP;CHF;200;-1.23;-2.5;40;200;+Market;30;0;202.5;20220110;173545.15;203.5;203.5;199.8;23783;0;2243;9.3818;8.5771;451400;125;5251071.5;5251071.5;Switzerland;Standard for Real Estate Companies;Registered share
ALPINE SELECT N;ALPN;1919955;CH0019199550;Swiss Shares;IGSP|IGSTR|SSIP|SSIRT;CHF;15.5;1.31;0.2;1000;15.3;15.5;4146;1.2987;15.3;20220110;161053.556;15.5;15.6;15.5;75004;0;0;0;0;0;0;1162562.4;1162562.4;Switzerland;Swiss Reporting Standard;Registered share
ALPINE SELECT N 2. LINIE;ALPNE;55039512;CH0550395120;Swiss Shares;;CHF;15;0;0;0;;-Market;0;;15;20211018;;;;;0;0;0;;;0;0;0;0;Switzerland;Swiss Reporting Standard;Registered share
ALSO N;ALSN;2459027;CH0024590272;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C9500P|C9500T|C9000P|C9000T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;268.5;-3.76;-10.5;97;+Market;+Market;333;;279;20220110;173126.12;279;279;267.5;20588;0;1737;8.3465;7.7036;474395;223;6159324;6159324;Switzerland;International Reporting Standard;Registered share
ALUFLEXPACK N;AFP;45322689;CH0453226893;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;23.8;-4.42;-1.1;316;23.2;26.7;1000;14.0281;24.9;20220110;173049;25.3;25.3;23.6;10543;0;247;2.3216;2.269;6043.85;96;263118.05;263118.05;Switzerland;International Reporting Standard;Registered share
AMS;AMS;24924656;AT0000A18XM4;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXBSX|SXBPX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXBS|SXBP|SNSPIX|SNSPI|SPIEX|SPIEXX|SMIMC|SMIM|SMIEXC|SMIEXP|C9500P|C9500T|C9000P|C9000T|SLI|SLIC|SMIMDP|SLIDP|SLCEUR|SLIEUR|SLIUSD|SLCUSD|SPIVP|SPISZ|SPIRV|SPIQP|SPIMTP|SPIVPE|SPISPE|SPIRVE|SPIQPE|SPITPE|SPIVPC|SPISPC|SPIRVC|SPIQPC|SPIMTC|SPIVPD|SPISPD|SPIRVD|SPIQPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIEVC|SPIESZ|SPIEQC|SPIEMTC|SPIERV|SPIEQP|SPIESC|SPIERD|SPIEVP;CHF;15.71;-3.94;-0.645;1394;+Market;+Market;1298;;16.355;20220110;173049;16;16.175;15.565;3596711;83068;208112;5.7271;5.3022;3279881.15;37129;61924624.18;61924624.18;Austria;International Reporting Standard;Bearer share
ANGLO PLC;AAM;3186826;GB00B1XZS820;Foreign Shares;;CHF;33.2;1.84;0.6;0;;85;45;;32.6;20211230;;;;;0;0;0;;;0;0;0;0;United Kingdom;International Reporting Standard;Registered share
APG SGA N;APGN;1910702;CH0019107025;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C5000P|C5000T|C5500P|C5500T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT;CHF;190.8;-0.63;-1.2;70;187.4;196;19;4.4862;192;20220110;173049;196;196;187.6;800;0;574;71.75;41.7758;110274.6;0;262844.4;262844.4;Switzerland;Swiss Reporting Standard;Registered share
