pb,pi,ev,pe,evr / pm,0.409,113.71026
10000.000000,0.000012,10.000000,191544.043507,106290.500179,266.000000,136.000000
10000.000000,0.000012,10.000000,191544.043507,1.001626,135.000000,50.000000
10000.000000,0.000012,10.000000,13.765743,106290.500179,135.000000,80.000000
10000.000000,0.000012,10.000000,13.765743,1.001626,64.000000,26.000000
10000.000000,0.000012,434.000000,191544.043507,106290.500179,135.000000,81.000000
10000.000000,0.000012,434.000000,191544.043507,1.001626,53.000000,26.000000
10000.000000,0.000012,434.000000,13.765743,106290.500179,68.000000,50.000000
10000.000000,0.000012,434.000000,13.765743,1.001626,19.000000,12.000000
