pi,ev,pe,evr / pm,0.12417,63.14308,100.65803,166.0682,299.51803
0.000010,3.000000,250.865677,172.311000,302.000000,200.000000,151.000000,101.000000,49.000000
0.000010,3.000000,250.865677,3.945800,185.000000,108.000000,78.000000,53.000000,21.000000
0.000010,3.000000,250.865677,2.060000,122.000000,62.000000,41.000000,31.000000,9.000000
0.000010,3.000000,250.865677,1.058600,60.000000,28.000000,16.000000,11.000000,0.000000
0.000010,3.000000,16.023827,172.311000,153.000000,96.000000,75.000000,51.000000,24.000000
0.000010,3.000000,16.023827,3.945800,127.000000,72.000000,53.000000,35.000000,13.000000
0.000010,3.000000,16.023827,2.060000,88.000000,42.000000,29.000000,23.000000,0.000000
0.000010,3.000000,16.023827,1.058600,49.000000,22.000000,14.000000,9.000000,0.000000
0.000010,3.000000,9.588482,172.311000,77.000000,50.000000,44.000000,29.000000,11.000000
0.000010,3.000000,9.588482,3.945800,67.000000,40.000000,34.000000,23.000000,8.000000
0.000010,3.000000,9.588482,2.060000,49.000000,24.000000,20.000000,16.000000,0.000000
0.000010,3.000000,9.588482,1.058600,30.000000,15.000000,12.000000,9.000000,0.000000
0.000010,43238.000000,250.865677,172.311000,101.000000,64.000000,46.000000,31.000000,14.000000
0.000010,43238.000000,250.865677,3.945800,53.000000,27.000000,18.000000,13.000000,0.000000
0.000010,43238.000000,250.865677,2.060000,33.000000,13.000000,9.000000,8.000000,0.000000
0.000010,43238.000000,250.865677,1.058600,17.000000,0.000000,0.000000,0.000000,0.000000
0.000010,43238.000000,16.023827,172.311000,36.000000,19.000000,14.000000,9.000000,0.000000
0.000010,43238.000000,16.023827,3.945800,30.000000,14.000000,11.000000,7.000000,0.000000
0.000010,43238.000000,16.023827,2.060000,19.000000,0.000000,0.000000,0.000000,0.000000
0.000010,43238.000000,16.023827,1.058600,10.000000,0.000000,0.000000,0.000000,0.000000
0.000010,43238.000000,9.588482,172.311000,10.000000,0.000000,0.000000,0.000000,0.000000
0.000010,43238.000000,9.588482,3.945800,9.000000,0.000000,0.000000,0.000000,0.000000
0.000010,43238.000000,9.588482,2.060000,7.000000,0.000000,0.000000,0.000000,0.000000
0.000010,43238.000000,9.588482,1.058600,0.000000,0.000000,0.000000,0.000000,0.000000
0.040137,3.000000,250.865677,172.311000,89.000000,54.000000,41.000000,28.000000,14.000000
0.040137,3.000000,250.865677,3.945800,62.000000,30.000000,22.000000,17.000000,0.000000
0.040137,3.000000,250.865677,2.060000,46.000000,20.000000,14.000000,13.000000,0.000000
0.040137,3.000000,250.865677,1.058600,21.000000,8.000000,0.000000,0.000000,0.000000
0.040137,3.000000,16.023827,172.311000,56.000000,30.000000,22.000000,16.000000,8.000000
0.040137,3.000000,16.023827,3.945800,48.000000,23.000000,15.000000,13.000000,0.000000
0.040137,3.000000,16.023827,2.060000,35.000000,15.000000,9.000000,9.000000,0.000000
0.040137,3.000000,16.023827,1.058600,17.000000,7.000000,0.000000,0.000000,0.000000
0.040137,3.000000,9.588482,172.311000,32.000000,18.000000,14.000000,10.000000,0.000000
0.040137,3.000000,9.588482,3.945800,29.000000,15.000000,11.000000,10.000000,0.000000
0.040137,3.000000,9.588482,2.060000,22.000000,10.000000,7.000000,7.000000,0.000000
0.040137,3.000000,9.588482,1.058600,13.000000,0.000000,0.000000,0.000000,0.000000
0.040137,43238.000000,250.865677,172.311000,21.000000,13.000000,11.000000,8.000000,0.000000
0.040137,43238.000000,250.865677,3.945800,10.000000,0.000000,0.000000,0.000000,0.000000
0.040137,43238.000000,250.865677,2.060000,8.000000,0.000000,0.000000,0.000000,0.000000
0.040137,43238.000000,250.865677,1.058600,0.000000,0.000000,0.000000,0.000000,0.000000
0.040137,43238.000000,16.023827,172.311000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040137,43238.000000,16.023827,3.945800,0.000000,0.000000,0.000000,0.000000,0.000000
0.040137,43238.000000,16.023827,2.060000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040137,43238.000000,16.023827,1.058600,0.000000,0.000000,0.000000,0.000000,0.000000
0.040137,43238.000000,9.588482,172.311000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040137,43238.000000,9.588482,3.945800,0.000000,0.000000,0.000000,0.000000,0.000000
0.040137,43238.000000,9.588482,2.060000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040137,43238.000000,9.588482,1.058600,0.000000,0.000000,0.000000,0.000000,0.000000
