pb,pi,ev,pe,evr / pm,10.79065,25.00291,46.21261,82.93811,148.81134,292.68273,979.21933
2.147782,0.010240,19533.000000,13.626143,3.912968,17.000000,14.000000,12.000000,9.000000,8.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,13.626143,2.731286,14.000000,11.000000,9.000000,7.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,13.626143,1.881021,11.000000,8.000000,7.000000,0.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,13.626143,1.091091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,9.004983,9.923143,12.000000,10.000000,9.000000,7.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,9.004983,5.518429,11.000000,9.000000,8.000000,0.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,9.004983,3.912968,10.000000,8.000000,7.000000,0.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,9.004983,2.731286,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,9.004983,1.881021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.147782,0.010240,19533.000000,9.004983,1.091091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,42.904877,9.923143,13.000000,10.000000,8.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,42.904877,5.518429,12.000000,9.000000,7.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,42.904877,3.912968,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,42.904877,2.731286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,42.904877,1.881021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,42.904877,1.091091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,28.079588,9.923143,13.000000,10.000000,8.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,28.079588,5.518429,12.000000,9.000000,7.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,28.079588,3.912968,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,28.079588,2.731286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,28.079588,1.881021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,28.079588,1.091091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,20.032401,9.923143,11.000000,8.000000,7.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,20.032401,5.518429,10.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,20.032401,3.912968,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,20.032401,2.731286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,20.032401,1.881021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.409830,0.010240,19533.000000,20.032401,1.091091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
