pi,ev,pe,evr / pm,0.202,3.61306,6.39853,11.88505,22.84204,48.06204,129.84579
0.000012,2.000000,30585.787602,3819.404309,318.000000,262.000000,218.000000,175.000000,132.000000,89.000000,45.000000
0.000012,2.000000,30585.787602,8.251379,274.000000,233.000000,190.000000,150.000000,110.000000,72.000000,29.000000
0.000012,2.000000,30585.787602,3.029565,220.000000,182.000000,140.000000,103.000000,69.000000,43.000000,12.000000
0.000012,2.000000,30585.787602,1.153955,167.000000,132.000000,94.000000,65.000000,39.000000,22.000000,0.000000
0.000012,2.000000,30585.787602,0.562418,114.000000,83.000000,56.000000,39.000000,24.000000,14.000000,0.000000
0.000012,2.000000,30585.787602,0.306153,57.000000,35.000000,22.000000,17.000000,8.000000,0.000000,0.000000
0.000012,2.000000,13.947634,3819.404309,260.000000,229.000000,193.000000,158.000000,119.000000,77.000000,39.000000
0.000012,2.000000,13.947634,8.251379,232.000000,206.000000,171.000000,139.000000,103.000000,65.000000,27.000000
0.000012,2.000000,13.947634,3.029565,184.000000,160.000000,126.000000,95.000000,64.000000,38.000000,11.000000
0.000012,2.000000,13.947634,1.153955,144.000000,121.000000,88.000000,63.000000,39.000000,22.000000,0.000000
0.000012,2.000000,13.947634,0.562418,101.000000,79.000000,54.000000,39.000000,24.000000,14.000000,0.000000
0.000012,2.000000,13.947634,0.306153,54.000000,35.000000,22.000000,17.000000,8.000000,0.000000,0.000000
0.000012,2.000000,6.436691,3819.404309,196.000000,178.000000,151.000000,124.000000,94.000000,63.000000,34.000000
0.000012,2.000000,6.436691,8.251379,174.000000,159.000000,133.000000,109.000000,82.000000,53.000000,24.000000
0.000012,2.000000,6.436691,3.029565,143.000000,130.000000,104.000000,80.000000,54.000000,32.000000,11.000000
0.000012,2.000000,6.436691,1.153955,111.000000,99.000000,74.000000,56.000000,35.000000,20.000000,0.000000
0.000012,2.000000,6.436691,0.562418,81.000000,69.000000,48.000000,36.000000,23.000000,13.000000,0.000000
0.000012,2.000000,6.436691,0.306153,46.000000,34.000000,21.000000,17.000000,8.000000,0.000000,0.000000
0.000012,2.000000,4.406631,3819.404309,131.000000,118.000000,101.000000,81.000000,57.000000,38.000000,20.000000
0.000012,2.000000,4.406631,8.251379,114.000000,104.000000,88.000000,71.000000,50.000000,32.000000,14.000000
0.000012,2.000000,4.406631,3.029565,95.000000,87.000000,71.000000,54.000000,34.000000,21.000000,7.000000
0.000012,2.000000,4.406631,1.153955,78.000000,71.000000,55.000000,41.000000,24.000000,14.000000,0.000000
0.000012,2.000000,4.406631,0.562418,56.000000,49.000000,34.000000,25.000000,16.000000,10.000000,0.000000
0.000012,2.000000,4.406631,0.306153,35.000000,28.000000,18.000000,14.000000,8.000000,0.000000,0.000000
0.000012,2.000000,2.844217,3819.404309,66.000000,61.000000,55.000000,44.000000,30.000000,17.000000,7.000000
0.000012,2.000000,2.844217,8.251379,57.000000,54.000000,49.000000,40.000000,28.000000,16.000000,0.000000
0.000012,2.000000,2.844217,3.029565,53.000000,51.000000,46.000000,37.000000,25.000000,14.000000,0.000000
0.000012,2.000000,2.844217,1.153955,43.000000,41.000000,36.000000,28.000000,18.000000,9.000000,0.000000
0.000012,2.000000,2.844217,0.562418,30.000000,28.000000,23.000000,18.000000,12.000000,0.000000,0.000000
0.000012,2.000000,2.844217,0.306153,19.000000,17.000000,13.000000,10.000000,7.000000,0.000000,0.000000
0.000012,78.000000,30585.787602,3819.404309,246.000000,218.000000,183.000000,146.000000,114.000000,77.000000,39.000000
