Symbol,Name,Sector,sss_value,close,appearance_counter
TLV:AZRT,REIT AZORIM - H.F,Real Estate,800098409.68865,1265.0,1.3621
TLV:KARE,KARDAN REAL ESTATE,Real Estate,119563742073.04987,450.0,1.3368
TLV:ISCN,ISRAEL CANADA T.R,Real Estate,5475810883556.154,1228.0,1.3342
TLV:ISTA,ISSTA LINES LTD,Consumer Cyclical,1192611127796393.2,6427.0,1.3141
TLV:TASE,TEL AVIV STOCK EXC,Financial Services,5560672.79767,2030.0,1.2943
TLV:NVMI,NOVA MEASURING INS,Technology,1286285773.04707,32800.0,1.2713
TLV:BVC,BATM ADVANCED COMM,Technology,1256338677.4553,358.8,1.2417
TLV:REKA,REKAH PHARMA IND,Healthcare,49431.35921,2500.0,1.1475
TLV:MSLA,MASLAVI CONSTRUCTI,Real Estate,68974008.89724,1987.0,1.1192
TLV:TIGBUR,TIGBUR - TEMPORARY,Real Estate,66072715.32492,3145.0,1.0881
TLV:PERI,PERION NETWORK LTD,Technology,9878578.95098,5956.0,1.0695
TLV:OBAS,OPTIBASE LTD,Real Estate,562978.4524,3583.0,1.0613
TLV:SHGR,SHAGRIR GROUP VEHI,Industrials,2390.69268,1786.0,1.0227
TLV:CTPL1,I.C.P. ISRAEL CITR,Real Estate,946408754541.8418,28960.0,1.0184
TLV:MLSR,MELISRON,Real Estate,1900728890854.3745,22230.0,0.8537
TLV:HGG,HAGAG GROUP REAL,Real Estate,6296327544369.899,2099.0,0.8333
TLV:SRFT,ZVI SARFATI & SONS,Real Estate,70158572625.66791,2340.0,0.7514
TLV:ADGR,ADGAR INVEST & DEV,Real Estate,33060213044.56733,638.3,0.7271
TLV:OPK,OPKO HEALTH INC,Healthcare,10204835802188.19,1243.0,0.6945
TLV:DELT,DELTA-GALIL IND,Consumer Cyclical,11874604.14961,12500.0,0.6832
TLV:TFRLF,TEFRON,Consumer Cyclical,527099514878.79443,2003.0,0.6075
TLV:MDTR,MEDITERRANEAN TOWE,Real Estate,4090468537.27619,995.4,0.5821
