Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,calculated_roa_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
TLV:XENA,XENIA VENTURE,Financial Services,Israel,11.789759,-1.5205173603464879,39834066.666667,30590533.333333,2463533.333333,72390000.0,62165000.0,161824000.0,62165000.0,161824000.0,72390000.0,39834066.666667,30590533.333333,72390000.0,62165000.0,62165000.0,72390000.0,0.630179,0.630179,0.0019445913762509202,0.77157,0.77157,0.77157,0.6699350000000001,0.016449280609305113,0.77157,0.0002019692983756878,0.646698,0.9700469999999999,9.70047e-06,35270111.636708,0.0,762428.571429,343093.0,0.85875,0.0,0.0,0.0,0.0,0.500714,0.005504541064437663,0.0462,0.0,1.239,312.5,0.003965,0.403876,0.05501490898639325,50730000,62165000,1.225409,1,45618219,4849661055,62165000.0,0.373896,1425.7188,0.373896,1425.7188,0.373896,1425.7188,0.373896,6.364701,0.027436226334593503,1425.7188,377.83691699999997,1.0,2.063596,2.063596,2.1031942855809495e-05,-1397200.0,-1361000.0,306.281137,335181.624197,335181.624197,0.020628839306965983,0.074935,0.088486,0.088486,0.29846500000000004,0.044480725366748214,USD,ILS,1.0,0.30591199999999996,0,0,0,0,312.5,151.6031,335.0,288.45905,8.334268,106.13035,-6.716417999999999,1.754631,29.181935,0.4142432570659103,14.697823000000001,12.42568,0.650407,0.162602,0.0827,0.07577,4.512062,1.308308,12.43568,0.172602,0.08577,1.318308,6.876994,0.011267360720963864,98557200.0,134583600.0,134583600.0,0.48190600000000006,0.69556670154801,2949333.333333,699600.0,699600.0,7126333.333333001,11024200.0,11024200.0,16.341316,0.3337368351012881,None
TLV:RMN,RAM-ON INVESTMENTS,Basic Materials,Israel,0.397924,-1.1252934258514897,927892.2784,18425018.5776,39321418.626667,930890.2159999999,30392663.112,152942845.784,30392663.112,152942845.784,930890.2159999999,927892.2784,18425018.5776,930890.2159999999,30392663.112,30392663.112,930890.2159999999,14.334423999999999,14.334423999999999,0.04423282479093117,0.679322,0.679322,0.679322,23.526322,0.5776546564709535,0.679322,0.00017782208705777698,-4361.99309,1.4352120000000002,1.435212e-05,85190.00028,-10000.0,413066.666667,180380.0,34.29149,111.27418200000001,5.625,78.64420799999999,2.5,90.96380500000001,1.0,0.22525,0.0,6.336,1415.0,0.004478,0.436087,0.05940260529258801,16632800,104349000,6.273688,308,43619928,7159059874,338795.454545,0.264,0.0063880000000000004,5.881394,0.0063880000000000004,5.881394,0.0063880000000000004,1.668348,13.166456,0.05675645514855554,0.0063880000000000004,1.049251,0.0027769943930597975,0.40718200000000004,0.40718200000000004,4.149954039411892e-06,6007764.9797330005,952304.056,7.260592,45.804623,45.804623,2.819057308546855e-06,0.352673,0.390828,0.390828,0.626163,0.09331809236533316,ILS,ILS,0.30591199999999996,0.30591199999999996,28,325,27,76,1415.0,572.2,1854.0,1514.3077,-6.5579600000000005,147.291157,-23.678532999999998,1.315026,5.171369,0.07340859124145399,4.613528,4.049483,0.0,0.0,18.304152,4.473554,1.700232,1.527527,4.059483,0.01,4.483554,1.537527,2.798505,0.004585108742921832,73601020.0048,75394418.907733,75394418.907733,0.423116,0.6107112185616859,21519533.333332997,25546400.0,25546400.0,17610089.403733,20393786.633067,20393786.633067,14.624748,0.2986795623849323,None
TLV:IDIN,I.D.I. INSURANCE,Financial Services,Israel,0.00031099999999999997,-0.7750138909394371,682431242.8080001,62232575.501867004,104728483.7408,663402292.76,74439402.432,517436687.872,74439402.432,517436687.872,663402292.76,682431242.8080001,62232575.501867004,663402292.76,74439402.432,74439402.432,663402292.76,0.071889,0.071889,0.00022183336710252546,2.023535,2.023535,2.023535,0.226883,0.005570782437820045,2.023535,0.0005296887439748142,0.38055500000000003,0.37809699999999996,3.7809699999999995e-06,414202355.305466,419551000.0,350845600.0,419551000.0,0.11220999999999999,0.228908,2.5,0.24864899999999998,2.5,0.23351799999999998,0.0025671529461635863,0.09093,0.0,16.569000000000003,11000.0,0.001506,0.571964,0.07791140697514443,14674900,243336000,16.581782,1500,155591130,49201941149,162224.0,5.4639999999999995,-0.053957000000000005,0.024059999999999998,-0.053957000000000005,0.024059999999999998,-0.053957000000000005,4.104015,20.508368,0.08840513108174833,-0.053957000000000005,0.244604,0.0006473798323947261,0.493062,0.493062,5.025233528447982e-06,40088747.893333,61280597.752,3.881167,2.538995,2.538995,1.5626310058515103e-07,7.276206,6.3186599999999995,6.3186599999999995,2.514695,0.37476909411869025,ILS,ILS,0.30591199999999996,0.30591199999999996,0,0,0,0,11000.0,7510.0,13400.0,11497.35,-4.325779,46.471371999999995,-17.910448000000002,1.185059,2.769751,0.039317155476549515,1.1396469999999999,1.158951,1.152776,437.298046,0.8215870000000001,0.311248,0.861513,1219.514018,1.168951,437.308046,0.321248,1219.524018,610.346484,1.0,1769502321.9296,1845215827.447467,1845215827.447467,0.06034199999999999,0.087095586908671,-491576733.333333,2207547000.0,2207547000.0,1551900488.236267,1592299369.7152,1592299369.7152,4.633408,0.09462756375636999,None
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,Israel,2.8000000000000003e-05,-0.759416375811426,149823297.966933,8712190.2128,50549653.462933004,162817991.056,16897049.32,213118489.39200002,16897049.32,213118489.39200002,162817991.056,149823297.966933,8712190.2128,162817991.056,16897049.32,16897049.32,162817991.056,0.24075300000000002,0.24075300000000002,0.0007429098837100853,1.795595,1.795595,1.795595,0.186324,0.004574915119001344,1.795595,0.0004700222433698733,1.8495439999999999,1.7639470000000002,1.763947e-05,76335403.076414,83401000.0,52658333.333333,83401000.0,0.10378,0.323175,5.625,1.342557,12.03125,0.884337,0.009721855852445926,0.12635,0.0,5.462000000000001,3225.0,0.0016940000000000002,0.413314,0.056300528114575116,10111500,55235000,5.462592,344,128117551,9916892598,160566.860465,360.51099999999997,0.04583,0.881193,0.04583,0.881193,0.04583,270.603548,164.750319,0.7101868635746565,0.04583,2.390802,0.006327602974804074,0.0066359999999999995,0.0066359999999999995,6.763338017283994e-08,15688778.496532999,21821314.784,8.16619,5.871211,5.871211,3.6134519171941856e-07,1.166057,1.073659,1.073659,1.037175,0.15457188056307128,ILS,ILS,0.30591199999999996,0.30591199999999996,0,0,0,0,1.691987,1190.0,3970.0,2718.9092,18.613744,171.00840300000002,-18.765743,1.464029,9.846858000000001,0.13977806919882166,1.886564,1.934577,0.205479,0.176931,1.157585,0.801833,1.801152,1.877262,1.944577,0.18693099999999999,0.811833,1.887262,1.915919,0.0031390678085728104,137465411.6912,144736185.348267,144736185.348267,0.136744,0.19737163064265867,140049533.33333302,156114466.66666698,156114466.66666698,73626043.6064,74811207.8768,74811207.8768,9.260481,0.18912574852940922,None
TLV:CDEV,COHEN DEV&IND BLDG,Energy,Israel,2856242.549646,-0.6805103850664452,11127800.0,6299600.0,11512600.0,13864000.0,13093000.0,36113000.0,13093000.0,36113000.0,13864000.0,11127800.0,6299600.0,13864000.0,13093000.0,13093000.0,13864000.0,9.220494,9.220494,0.02845238117609973,9.983604,9.983604,9.983604,9.219885000000001,0.22638088105640558,9.983604,0.0026133487501337664,10.030854,10.769295,0.00010769295,11108553.918878,9473000.0,10349400.0,9473000.0,0.94439,1.6251959999999999,2.5,2.498945,2.5,2.037223,0.02239597387114578,0.4627,0.0,1.992,6516.0,0.000306,7.34121,1.0,6427430,13093000,2.037051,10000000,127834291,12782447695,1.3093,-0.241552,0.338405,-0.241552,0.338405,-0.241552,0.338405,-0.241552,0.225845,0.0009735468384981901,0.338405,6.067255,0.01605786710354722,-41.331125,2419.484128,0.02465911540855578,8039400.0,9579000.0,15.900974,13.345265,13.345265,8.213377683022202e-07,0.175147,0.198754,0.198754,0.44681800000000005,0.0665900147317766,USD,ILS,1.0,0.30591199999999996,0,0,0,0,0.165028,5572.0,7400.0,6642.217,-1.9002240000000001,16.941851999999997,-11.945946000000001,1.032823,1.2138209999999998,0.017230425759463867,7.168097,6.055859,1.549585,0.525,2.0462830000000003,0.511571,3.7034160000000003,2.6126400000000003,6.065859,0.535,0.521571,2.62264,4.34425,0.007117678423457584,20658733.333332997,19459733.333332997,19459733.333332997,0.692825,1.0,3738666.666667,5199066.666666999,5199066.666666999,2927533.333333,3206266.666667,3206266.666667,48.964676000000004,1.0,None
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,Israel,5.9e-05,-0.6501645911271702,126525284.77653301,8416821.979733,48814112.716267,135121330.4,12756224.488,216427845.408,12756224.488,216427845.408,135121330.4,126525284.77653301,8416821.979733,135121330.4,12756224.488,12756224.488,135121330.4,0.24809499999999998,0.24809499999999998,0.0007655656527605204,3.2518279999999997,3.2518279999999997,3.2518279999999997,0.306763,0.007532119784086909,3.2518279999999997,0.0008512117106658062,1.939482,1.923343,1.923343e-05,57447938.170347,58404000.0,53583866.666667,58404000.0,0.09441000000000001,1.015907,15.46875,0.23712600000000003,2.5,0.671756,0.007384871378236651,0.15652,0.0,3.159,3373.0,0.0009369999999999999,0.379144,0.05164598206562678,13190300,41699000,3.161338,181,109564981,13549768106,230381.21546999997,12.405,0.144821,0.311979,0.144821,0.311979,0.144821,9.381745,30.879634000000003,0.1331124003395303,0.144821,4.055529,0.010733543540955794,0.346612,0.346612,3.5326312791543696e-06,11408824.886933,18199010.792,9.603529,6.0203809999999995,6.0203809999999995,3.705258977524304e-07,0.128163,0.137431,0.137431,0.371716,0.05539744127594919,ILS,ILS,0.30591199999999996,0.30591199999999996,0,0,0,0,3373.0,2647.0,4150.0,3608.9302,-6.5374,27.427276000000003,-18.722892,0.966068,0.967068,0.013727718813855755,14.261216000000001,13.290926999999998,0.85864,1.336918,1.362111,1.3059399999999999,14.113918,13.517438,13.300927,1.346918,1.3159399999999999,13.527438,13.414183,0.021977980297499346,174485964.1952,194534518.9392,194534518.9392,0.085573,0.12351315267203117,483274066.666667,535994600.0,535994600.0,12619298.2768,14683306.934933,14683306.934933,23.66883,0.4833858187890388,None
TLV:MRHL,MERCHAVIA HOLD,Healthcare,Israel,20536.441331,-0.6249335930995126,6673400.0,2891266.666667,-7113400.0,7426000.0,2988000.0,-23200000.0,2988000.0,-23200000.0,7426000.0,6673400.0,2891266.666667,7426000.0,2988000.0,2988000.0,7426000.0,1.9893459999999998,1.9893459999999998,0.006138676591856064,4.9088199999999995,4.9088199999999995,4.9088199999999995,1.933601,0.04747676332096841,4.9088199999999995,0.0012849526695601742,3.3078260000000004,3.3078410000000003,3.3078410000000006e-05,4466038.379728,4466000.0,4006133.333333,4466000.0,0.40237,0.0,0.0,0.0,0.0,0.23992600000000003,0.002637598548125818,0.06782,0.0,0.043,69.8,0.000616,0.419641,0.057162375139793026,68026200,2988000,0.043924,1,14773006,1435892075,2988000.0,-0.157,0.323861,1.145723,0.323861,1.145723,0.323861,0.168681,4.357076,0.018781985719835907,0.323861,5.94088,0.01572339740428276,29.101257,29.101257,0.0002965968020175587,-2214800.0,-2212000.0,1499.220857,66785.74529600001,66785.74529600001,0.0041103458789178895,0.033091,0.031343,0.031343,0.17804,0.0265335913567616,USD,ILS,1.0,0.30591199999999996,0,0,0,0,69.8,40.0,113.9,82.28181500000001,-15.169591,74.5,-38.718174,0.806495,0.807495,0.011462548966147627,31.733023,33.109068,1.101568,0.773624,14.051639000000002,13.555556,9.177959,8.28003,33.119068,0.783624,13.565555999999999,8.29003,20.704549,0.03392261533860167,33325733.333333,37086400.0,37086400.0,0.100569,0.14515786814852236,7714200.0,7797200.0,7797200.0,1053466.666667,1132800.0,1132800.0,27.577348999999998,0.5632090570761664,None
TLV:SPRG,SPRING VENTURES,Financial Services,Israel,16036.652709,-0.5851293083736694,4261292.9776,1381661.745067,1252301.757333,5757263.84,2603311.12,7083086.448,2603311.12,7083086.448,5757263.84,4261292.9776,1381661.745067,5757263.84,2603311.12,2603311.12,5757263.84,1.087823,1.087823,0.0033567783513690627,3.7739239999999996,3.7739239999999996,3.7739239999999996,1.7053,0.041871163953291,3.7739239999999996,0.0009878776810959072,1.456141,1.445738,1.445738e-05,14263204.201681,14467000.0,9508200.0,14467000.0,0.45218,0.044255,1.0,1.129937,2.5,0.791195,0.008697910119305145,0.01,0.0,1.01,1278.0,0.00079,0.434328,0.05916299901514872,8419880,8510000,1.0107030000000001,5,20472482,3209375046,1702000.0,-0.131,1.140951,1.286333,1.140951,1.286333,1.140951,0.223333,4.975815,0.021449175151993058,1.140951,10.931533,0.02893188174092581,16.898169,16.898169,0.00017222427489480086,-1047422.293867,-1050807.72,511.624462,194826.154294,194826.154294,0.011990625796845397,0.083178,0.099467,0.099467,0.316384,0.04715122313984308,ILS,ILS,0.30591199999999996,0.30591199999999996,0,0,0,0,1278.0,684.4,1519.0,985.34406,29.700888,86.732905,-15.865701000000001,1.4224780000000001,8.284628999999999,0.11760192394858994,16.560702,11.269911,2.581244,3.4666669999999997,10.383308999999999,8.212553,24.058419,18.270870000000002,11.279911,3.476667,8.222553,18.28087,14.780389999999999,0.02421639247126391,23139102.103467003,24525332.1344,24525332.1344,0.126148,0.18207772525529536,36352800.0,29103000.0,29103000.0,1814384.466133,2225938.0768,2225938.0768,29.479941999999998,0.602065497175964,None
TLV:AURA,AURA INVESTMENTS,Real Estate,Israel,10491.317576000001,-0.46551125274489186,796984466.666667,21577866.666667003,-152310666.66666698,1090834000.0,54276000.0,-566517000.0,54276000.0,-566517000.0,1090834000.0,796984466.666667,21577866.666667003,1090834000.0,54276000.0,54276000.0,1090834000.0,0.48089399999999993,0.48089399999999993,0.0014839312723699295,4.120166,4.120166,4.120166,0.203377,0.004993626758534254,4.120166,0.001078511393925845,5.023075,5.023054,5.023054e-05,104442120.706456,104443000.0,52553933.333333,104443000.0,0.049760000000000006,0.0,0.0,0.0,0.0,0.038433999999999996,0.00042251970440330624,0.17687999999999998,0.0,0.222,305.7,0.000726,0.5840850000000001,0.07956249719051765,242544992,54277000,0.223781,45,524616192,22185028782,1206155.555556,713.765,0.7900699999999999,6.687261,0.7900699999999999,6.687261,0.7900699999999999,536.995565,231.981648,1.0,0.7900699999999999,9.138587,0.024186591063043213,0.007673,0.007673,7.820236981106101e-08,-115931266.666667,-12019000.0,2209.8301239999996,436489.05307200004,436489.05307200004,0.026863831084546156,4.17621,4.009421,4.009421,2.0033540000000003,0.2985631115419781,USD,ILS,1.0,0.30591199999999996,0,0,0,0,1.7005299999999999,106.9,348.3,277.28812,10.246339,185.968195,-12.230835,1.647059,19.964326,0.2833975001097644,1.24146,1.250645,1.074703,1.360951,0.0,0.0,1.1303370000000001,1.1387120000000002,1.260645,1.370951,0.01,1.1487120000000002,1.2046780000000001,0.001973760858103018,1668654200.0,1828430533.3333328,1828430533.3333328,0.049684,0.07171219283368815,162694933.33333302,189945733.33333302,189945733.33333302,1344090000.0,1462228133.333333,1462228133.333333,3.0950330000000004,0.06320950637966032,None
TLV:KLIL,KLIL INDUSTRIES,Basic Materials,Israel,6.8785110000000005,-0.4559944711926509,114216262.844267,15308183.180267,66207820.365333,117935806.064,17338480.336,297139055.66400003,17338480.336,297139055.66400003,117935806.064,114216262.844267,15308183.180267,117935806.064,17338480.336,17338480.336,117935806.064,0.45764399999999994,0.45764399999999994,0.0014121869751181427,3.7772900000000003,3.7772900000000003,3.7772900000000003,0.556905,0.013673993175046925,3.7772900000000003,0.0009887587789332165,2.137101,2.118775,2.1187749999999997e-05,83971823.074721,85412000.0,80477533.333333,85412000.0,0.14702,0.33514499999999997,2.5,0.914226,6.25,0.649174,0.007136618790297965,0.18707000000000001,0.0,24.612,30420.0,0.0008089999999999999,0.6223,0.0847680423254477,2309420,56678000,24.542092999999998,343,176378482,21469905241,165241.98250699998,1.103,-0.034354,-0.050029000000000004,-0.034354,-0.050029000000000004,-0.034354,0.814743,9.27631,0.03998725795757775,-0.034354,0.246565,0.0006525699022681789,4.636175,4.636175,4.725138431627731e-05,21036079.468267,18847544.232,8.38457,9.358168,9.358168,5.759508575151749e-07,0.290718,0.282455,0.282455,0.532465,0.07935412672308506,ILS,ILS,0.30591199999999996,0.30591199999999996,0,0,0,0,30420.0,21800.0,35050.0,31226.783,-2.583625,39.541284000000005,-13.2097,1.301132,4.852084,0.06887627841393623,4.491598000000001,4.590132,0.509257,0.6453399999999999,0.130204,0.146534,3.916689,4.129205000000001,4.600132,0.6553399999999999,0.15653399999999998,4.1392050000000005,4.369668,0.007159323621171216,123495532.32853301,133107736.03946699,133107736.03946699,0.150259,0.2168787211777866,215633333.33333302,237727466.66666698,237727466.66666698,27543541.502933003,29148253.884267,29148253.884267,21.217489999999998,0.43332238122029026,None
