Symbol,Name
TLV:AFHL,AFCON HOLD
TLV:AFRE,AFRICA RESIDENC
TLV:AMOT,AMOT
TLV:ARGO,ARGO PROP.
TLV:ARPT,AIRPORT CITY
TLV:ARYT,ARYT
TLV:ASHG,ASHTROM GROUP
TLV:AVGD,AVGAD
TLV:AZRM,AZORIM
TLV:BCNV,BRACK CAPIT N V
TLV:BCOM,B COMMUNICATION
TLV:BEZQ,BEZEQ
TLV:BLSR,BLUE SQ REAL ES
TLV:CDEV,COHEN DEV
TLV:CMER,MER
TLV:CRSO,CARASSO
TLV:DANE,DANEL
TLV:DIMRI,DIMRI
TLV:DLEKG,DELEK GROUP
TLV:DRSL,DORSEL
TLV:ECP,ELECTRA CO  PR
TLV:ELCO,ELCO
TLV:ELCRE,ELECTRA REAL E.
TLV:ELMR,ELMOR
TLV:ELTR,ELECTRA
TLV:ENDY,ENDYMED
TLV:ENOG,ENERGEAN
TLV:EQTL,EQUITAL
TLV:EXPO,EXPORT INV
TLV:GAGR,GAON GROUP
TLV:GOLD,GOLD
TLV:GVYM,GAV YAM
TLV:HAMAT,HAMAT
TLV:HARL,HAREL
TLV:HNMR,HANAN MOR
TLV:HRON,HIRON
TLV:IBI,IBI INV HOUSE
TLV:IES,IES
TLV:ILCO,ISRAEL CORP
TLV:ILDR,ILD RENEWAL
TLV:ISCD,ISRACARD
TLV:ISHI,ISRAEL SHIPYARD
TLV:ISRA-L,ISRAMCO       L
TLV:ISTA,ISSTA
TLV:KARE,KARDAN REAL ES
TLV:KRDI,KARDEN ISRAEL
TLV:LAPD,LAPIDOTH   CAP.
TLV:LEVI,LEVINSTEIN ENG
TLV:LODZ,LODZIA
TLV:LUZN,LUZON GROUP
TLV:LVPR,LEVINSTEIN PROP
TLV:MDPR,MEDIPOWER 0.1$
TLV:MGDL,MIGDAL INSUR.
TLV:MSHR,MISHORIM
TLV:MVNE,MIVNE
TLV:NAWI,NAWI
TLV:NSTR,NORSTAR
TLV:NTML,NETO MALINDA
TLV:NTO,NETO
TLV:NVLG,NOVOLOG
TLV:OBAS,OPTIBASE
TLV:ORIN,ORIAN
TLV:ORL,BAZAN
TLV:PRSK,PRASHKOVSKY
TLV:PZOL,PAZ OIL
TLV:RATI-L,RATIO       L
TLV:RAVD,RAVAD
TLV:RIMO,RIMONI
TLV:ROTS,ROTSHTEIN
TLV:RTSN,ROTEM SHANI
TLV:SMT,SUMMIT
TLV:SPEN,SHAPIR      ENG
TLV:SRFT,SARFATI
TLV:STRS,STRAUSS GROUP
TLV:TAYA,TAYA INV
TLV:TDRN,TADIRAN GROUP
TLV:UTRN,UTRON
TLV:VILR,VILLAR
TLV:VISN,VISION SIGMA
TLV:ZNKL,ZANLAKOL
