pi,ev,pe,evr / pm,0.202,3.53877,5.98459,10.30555,21.65623,42.72318,109.92754
0.000012,2.000000,30628.071494,3846.345403,319.000000,260.000000,218.000000,175.000000,132.000000,89.000000,45.000000
0.000012,2.000000,30628.071494,8.234477,274.000000,230.000000,189.000000,149.000000,109.000000,70.000000,29.000000
0.000012,2.000000,30628.071494,3.051652,220.000000,180.000000,140.000000,106.000000,70.000000,42.000000,10.000000
0.000012,2.000000,30628.071494,1.177167,166.000000,129.000000,95.000000,68.000000,38.000000,20.000000,0.000000
0.000012,2.000000,30628.071494,0.560131,113.000000,81.000000,56.000000,41.000000,22.000000,14.000000,0.000000
0.000012,2.000000,30628.071494,0.308518,57.000000,35.000000,22.000000,19.000000,8.000000,0.000000,0.000000
0.000012,2.000000,18.855832,3846.345403,279.000000,243.000000,209.000000,168.000000,127.000000,85.000000,43.000000
0.000012,2.000000,18.855832,8.234477,246.000000,215.000000,182.000000,144.000000,106.000000,67.000000,28.000000
0.000012,2.000000,18.855832,3.051652,194.000000,166.000000,134.000000,101.000000,67.000000,39.000000,9.000000
0.000012,2.000000,18.855832,1.177167,149.000000,123.000000,93.000000,66.000000,38.000000,20.000000,0.000000
0.000012,2.000000,18.855832,0.560131,103.000000,79.000000,56.000000,41.000000,22.000000,14.000000,0.000000
0.000012,2.000000,18.855832,0.308518,54.000000,35.000000,22.000000,19.000000,8.000000,0.000000,0.000000
0.000012,2.000000,9.617059,3846.345403,233.000000,210.000000,181.000000,147.000000,108.000000,72.000000,38.000000
0.000012,2.000000,9.617059,8.234477,210.000000,190.000000,162.000000,131.000000,95.000000,60.000000,27.000000
0.000012,2.000000,9.617059,3.051652,168.000000,151.000000,123.000000,94.000000,61.000000,35.000000,9.000000
0.000012,2.000000,9.617059,1.177167,130.000000,114.000000,87.000000,63.000000,36.000000,19.000000,0.000000
0.000012,2.000000,9.617059,0.560131,91.000000,75.000000,54.000000,40.000000,22.000000,14.000000,0.000000
0.000012,2.000000,9.617059,0.308518,48.000000,35.000000,22.000000,19.000000,8.000000,0.000000,0.000000
0.000012,2.000000,5.883332,3846.345403,187.000000,169.000000,146.000000,120.000000,89.000000,60.000000,32.000000
0.000012,2.000000,5.883332,8.234477,165.000000,150.000000,128.000000,105.000000,77.000000,49.000000,22.000000
0.000012,2.000000,5.883332,3.051652,136.000000,124.000000,102.000000,80.000000,52.000000,30.000000,9.000000
0.000012,2.000000,5.883332,1.177167,104.000000,93.000000,72.000000,55.000000,31.000000,18.000000,0.000000
0.000012,2.000000,5.883332,0.560131,78.000000,67.000000,48.000000,37.000000,20.000000,13.000000,0.000000
0.000012,2.000000,5.883332,0.308518,44.000000,34.000000,22.000000,19.000000,8.000000,0.000000,0.000000
0.000012,2.000000,4.374140,3846.345403,139.000000,127.000000,109.000000,88.000000,64.000000,42.000000,21.000000
0.000012,2.000000,4.374140,8.234477,121.000000,112.000000,95.000000,77.000000,56.000000,35.000000,14.000000
0.000012,2.000000,4.374140,3.051652,99.000000,92.000000,75.000000,58.000000,37.000000,21.000000,0.000000
0.000012,2.000000,4.374140,1.177167,81.000000,74.000000,57.000000,43.000000,25.000000,14.000000,0.000000
0.000012,2.000000,4.374140,0.560131,60.000000,53.000000,37.000000,27.000000,16.000000,10.000000,0.000000
0.000012,2.000000,4.374140,0.308518,36.000000,30.000000,19.000000,16.000000,8.000000,0.000000,0.000000
0.000012,2.000000,3.412237,3846.345403,93.000000,86.000000,76.000000,63.000000,43.000000,25.000000,9.000000
0.000012,2.000000,3.412237,8.234477,82.000000,77.000000,68.000000,57.000000,40.000000,23.000000,7.000000
0.000012,2.000000,3.412237,3.051652,73.000000,70.000000,61.000000,50.000000,33.000000,18.000000,0.000000
0.000012,2.000000,3.412237,1.177167,58.000000,55.000000,46.000000,37.000000,22.000000,11.000000,0.000000
0.000012,2.000000,3.412237,0.560131,40.000000,37.000000,28.000000,22.000000,13.000000,7.000000,0.000000
0.000012,2.000000,3.412237,0.308518,23.000000,21.000000,16.000000,13.000000,7.000000,0.000000,0.000000
0.000012,2.000000,2.200506,3846.345403,47.000000,41.000000,39.000000,33.000000,21.000000,12.000000,0.000000
0.000012,2.000000,2.200506,8.234477,38.000000,34.000000,33.000000,29.000000,19.000000,11.000000,0.000000
0.000012,2.000000,2.200506,3.051652,34.000000,32.000000,31.000000,27.000000,17.000000,10.000000,0.000000
0.000012,2.000000,2.200506,1.177167,30.000000,28.000000,27.000000,24.000000,15.000000,8.000000,0.000000
0.000012,2.000000,2.200506,0.560131,22.000000,20.000000,19.000000,17.000000,10.000000,0.000000,0.000000
0.000012,2.000000,2.200506,0.308518,15.000000,13.000000,12.000000,11.000000,7.000000,0.000000,0.000000
0.000012,78.000000,30628.071494,3846.345403,248.000000,219.000000,185.000000,147.000000,114.000000,76.000000,40.000000
0.000012,78.000000,30628.071494,8.234477,215.000000,192.000000,159.000000,124.000000,94.000000,60.000000,27.000000
0.000012,78.000000,30628.071494,3.051652,168.000000,146.000000,114.000000,83.000000,57.000000,34.000000,10.000000
0.000012,78.000000,30628.071494,1.177167,122.000000,103.000000,77.000000,53.000000,31.000000,15.000000,0.000000
0.000012,78.000000,30628.071494,0.560131,79.000000,63.000000,43.000000,30.000000,18.000000,10.000000,0.000000
0.000012,78.000000,30628.071494,0.308518,32.000000,23.000000,15.000000,12.000000,0.000000,0.000000,0.000000
0.000012,78.000000,18.855832,3846.345403,224.000000,205.000000,178.000000,142.000000,110.000000,73.000000,38.000000
0.000012,78.000000,18.855832,8.234477,196.000000,180.000000,154.000000,121.000000,92.000000,58.000000,26.000000
0.000012,78.000000,18.855832,3.051652,150.000000,135.000000,110.000000,80.000000,55.000000,32.000000,9.000000
0.000012,78.000000,18.855832,1.177167,112.000000,99.000000,76.000000,52.000000,31.000000,15.000000,0.000000
0.000012,78.000000,18.855832,0.560131,73.000000,61.000000,43.000000,30.000000,18.000000,10.000000,0.000000
0.000012,78.000000,18.855832,0.308518,31.000000,23.000000,15.000000,12.000000,0.000000,0.000000,0.000000
0.000012,78.000000,9.617059,3846.345403,186.000000,174.000000,151.000000,122.000000,92.000000,61.000000,34.000000
0.000012,78.000000,9.617059,8.234477,166.000000,156.000000,134.000000,108.000000,81.000000,51.000000,25.000000
0.000012,78.000000,9.617059,3.051652,130.000000,121.000000,99.000000,73.000000,49.000000,28.000000,9.000000
0.000012,78.000000,9.617059,1.177167,99.000000,91.000000,70.000000,49.000000,29.000000,14.000000,0.000000
0.000012,78.000000,9.617059,0.560131,65.000000,57.000000,41.000000,29.000000,18.000000,10.000000,0.000000
0.000012,78.000000,9.617059,0.308518,29.000000,23.000000,15.000000,12.000000,0.000000,0.000000,0.000000
0.000012,78.000000,5.883332,3846.345403,148.000000,138.000000,120.000000,97.000000,74.000000,50.000000,28.000000
0.000012,78.000000,5.883332,8.234477,129.000000,121.000000,104.000000,84.000000,64.000000,41.000000,20.000000
0.000012,78.000000,5.883332,3.051652,105.000000,98.000000,81.000000,61.000000,41.000000,24.000000,9.000000
0.000012,78.000000,5.883332,1.177167,78.000000,72.000000,56.000000,41.000000,24.000000,13.000000,0.000000
0.000012,78.000000,5.883332,0.560131,56.000000,50.000000,35.000000,26.000000,16.000000,9.000000,0.000000
0.000012,78.000000,5.883332,0.308518,28.000000,23.000000,15.000000,12.000000,0.000000,0.000000,0.000000
0.000012,78.000000,4.374140,3846.345403,110.000000,103.000000,90.000000,71.000000,54.000000,35.000000,18.000000
0.000012,78.000000,4.374140,8.234477,94.000000,89.000000,77.000000,61.000000,47.000000,29.000000,12.000000
0.000012,78.000000,4.374140,3.051652,77.000000,72.000000,60.000000,44.000000,30.000000,17.000000,0.000000
0.000012,78.000000,4.374140,1.177167,61.000000,56.000000,44.000000,31.000000,19.000000,10.000000,0.000000
0.000012,78.000000,4.374140,0.560131,44.000000,39.000000,27.000000,18.000000,13.000000,7.000000,0.000000
0.000012,78.000000,4.374140,0.308518,23.000000,19.000000,12.000000,9.000000,0.000000,0.000000,0.000000
0.000012,78.000000,3.412237,3846.345403,74.000000,70.000000,62.000000,49.000000,34.000000,19.000000,7.000000
0.000012,78.000000,3.412237,8.234477,64.000000,62.000000,55.000000,44.000000,32.000000,18.000000,0.000000
0.000012,78.000000,3.412237,3.051652,58.000000,56.000000,49.000000,38.000000,26.000000,14.000000,0.000000
0.000012,78.000000,3.412237,1.177167,44.000000,42.000000,35.000000,26.000000,16.000000,7.000000,0.000000
0.000012,78.000000,3.412237,0.560131,29.000000,27.000000,20.000000,14.000000,10.000000,0.000000,0.000000
0.000012,78.000000,3.412237,0.308518,14.000000,13.000000,10.000000,7.000000,0.000000,0.000000,0.000000
0.000012,78.000000,2.200506,3846.345403,32.000000,29.000000,28.000000,22.000000,14.000000,0.000000,0.000000
0.000012,78.000000,2.200506,8.234477,24.000000,23.000000,23.000000,19.000000,13.000000,0.000000,0.000000
0.000012,78.000000,2.200506,3.051652,23.000000,22.000000,22.000000,18.000000,12.000000,0.000000,0.000000
0.000012,78.000000,2.200506,1.177167,19.000000,18.000000,18.000000,15.000000,10.000000,0.000000,0.000000
0.000012,78.000000,2.200506,0.560131,13.000000,12.000000,12.000000,10.000000,7.000000,0.000000,0.000000
0.000012,78.000000,2.200506,0.308518,8.000000,7.000000,7.000000,0.000000,0.000000,0.000000,0.000000
0.000012,280.000000,30628.071494,3846.345403,165.000000,149.000000,130.000000,100.000000,79.000000,58.000000,32.000000
0.000012,280.000000,30628.071494,8.234477,135.000000,124.000000,106.000000,79.000000,61.000000,44.000000,21.000000
