pi,ev,pe,evr / pm,0.202,3.10678,5.84257,10.06229,21.7079,40.43192,98.35934
0.000012,2.000000,29057.399685,3846.345403,315.000000,256.000000,214.000000,171.000000,129.000000,86.000000,44.000000
0.000012,2.000000,29057.399685,7.964255,269.000000,226.000000,185.000000,145.000000,106.000000,66.000000,29.000000
0.000012,2.000000,29057.399685,3.065801,216.000000,178.000000,138.000000,105.000000,69.000000,38.000000,12.000000
0.000012,2.000000,29057.399685,1.143331,164.000000,130.000000,94.000000,67.000000,38.000000,21.000000,0.000000
0.000012,2.000000,29057.399685,0.556747,111.000000,81.000000,52.000000,38.000000,19.000000,12.000000,0.000000
0.000012,2.000000,29057.399685,0.308826,57.000000,36.000000,23.000000,18.000000,8.000000,0.000000,0.000000
0.000012,2.000000,18.253251,3846.345403,273.000000,241.000000,205.000000,164.000000,124.000000,82.000000,42.000000
0.000012,2.000000,18.253251,7.964255,240.000000,213.000000,178.000000,140.000000,103.000000,63.000000,28.000000
0.000012,2.000000,18.253251,3.065801,190.000000,167.000000,133.000000,101.000000,67.000000,36.000000,11.000000
0.000012,2.000000,18.253251,1.143331,145.000000,124.000000,92.000000,65.000000,38.000000,21.000000,0.000000
0.000012,2.000000,18.253251,0.556747,99.000000,79.000000,52.000000,38.000000,19.000000,12.000000,0.000000
0.000012,2.000000,18.253251,0.308826,52.000000,36.000000,23.000000,18.000000,8.000000,0.000000,0.000000
0.000012,2.000000,8.844922,3846.345403,228.000000,203.000000,174.000000,139.000000,102.000000,67.000000,35.000000
0.000012,2.000000,8.844922,7.964255,205.000000,184.000000,156.000000,124.000000,90.000000,56.000000,26.000000
0.000012,2.000000,8.844922,3.065801,166.000000,149.000000,121.000000,92.000000,59.000000,31.000000,10.000000
0.000012,2.000000,8.844922,1.143331,129.000000,113.000000,86.000000,62.000000,36.000000,20.000000,0.000000
0.000012,2.000000,8.844922,0.556747,89.000000,74.000000,50.000000,37.000000,19.000000,12.000000,0.000000
0.000012,2.000000,8.844922,0.308826,47.000000,35.000000,22.000000,18.000000,8.000000,0.000000,0.000000
0.000012,2.000000,5.657926,3846.345403,183.000000,164.000000,140.000000,117.000000,86.000000,57.000000,31.000000
