Symbol,Name,Sector,sss_value,close,appearance_counter
HCA,HCA Healthcare  Inc.,Healthcare,604027995.09724,207.21,13.612
ATH,Athene Holding Ltd.,Financial Services,453.3887,63.44,13.5429
EBAY,eBay Inc.,Consumer Cyclical,118699930.29562,65.33,13.541
CNC,Centene Corporation,Healthcare,3989.63839,74.31,13.4242
KEY,KeyCorp,Financial Services,620186.58409,20.51,13.4076
RJF,Raymond James Financial  Inc.,Financial Services,53118.86721,127.38,13.2939
GD,General Dynamics Corporation,Industrials,24442902.39483,187.68,13.2385
UHS,Universal Health Services  Inc.,Healthcare,121946.33996,151.88,13.1955
PHM,PulteGroup  Inc.,Consumer Cyclical,2150.69844,53.72,13.0857
ABT,Abbott Laboratories,Healthcare,837560.95496,111.63,13.0692
CMS,CMS Energy Corporation,Utilities,555197.44103,59.51,12.7219
CAG,ConAgra Brands  Inc.,Consumer Defensive,169216.56263,36.38,12.6334
SCI,Service Corporation Internation,Consumer Cyclical,916917.16234,52.54,12.395
ANAT,American National Group  Inc.,Financial Services,18014.13622,150.31,12.2792
ES,Eversource Energy (D/B/A),Utilities,2191352.03301,82.69,12.261
CMI,Cummins Inc.,Industrials,495542.77391,237.33,12.0128
HPQ,HP Inc.,Technology,5520997.69534,28.64,12.0004
PH,Parker-Hannifin Corporation,Industrials,3191086.00629,285.25,11.9521
BAH,Booz Allen Hamilton Holding Cor,Industrials,904594.10161,87.67,11.9124
SSNC,SS&C Technologies Holdings  Inc,Technology,12976437.09971,72.34,11.7927
HUM,Humana Inc.,Healthcare,181427.20514,428.94,11.7099
GM,General Motors Company,Consumer Cyclical,87650.36395,60.08,11.7045
XEL,Xcel Energy Inc.,Utilities,8501947.04454,68.35,11.5996
LITE,Lumentum Holdings Inc.,Technology,351.09115,81.14,11.5069
KR,Kroger Company (The),Consumer Defensive,203303.49579,39.18,11.4773
DTE,DTE Energy Company,Utilities,5894541.83012,133.425,11.3339
CAT,Caterpillar  Inc.,Industrials,14067985.28688,209.45,11.3301
SC,Santander Consumer USA Holdings,Financial Services,1461473.87805,36.24,11.214
ORI,Old Republic International Corp,Financial Services,57171.24886,25.36,11.2098
DELL,Dell Technologies Inc.,Technology,4745325.38364,99.65,11.1814
G,Genpact Limited,Technology,1410996.46813,44.95,11.1323
SAIC,SCIENCE APPLICATIONS INTERNATIO,Technology,70055.67827,93.42,10.9471
AAPL,Apple Inc.,Technology,98706267.36765,131.79,10.7329
NXST,Nexstar Media Group  Inc.,Communication Services,17691.59659,143.8,10.6666
CTSH,Cognizant Technology Solutions ,Technology,74733.19792,69.17,10.6169
CCK,Crown Holdings  Inc.,Consumer Cyclical,1652921.45316,99.65,10.6086
FTV,Fortive Corporation,Technology,1813552.06664,69.5,10.5499
CVS,CVS Health Corporation,Healthcare,897228.95074,84.23,10.5481
GHC,Graham Holdings Company,Consumer Defensive,107827.62478,639.77,10.4687
KEYS,Keysight Technologies Inc.,Technology,9539164.1009,149.35,10.455
BPOP,Popular  Inc.,Financial Services,45723.7447,74.33,10.3409
NTES,NetEase  Inc.,Communication Services,93.75096,110.85,9.906
AMCR,Amcor plc,Consumer Cyclical,630520.94019,11.54,9.7574
K,Kellogg Company,Consumer Defensive,5242214.02994,64.53,9.6827
MKL,Markel Corporation,Financial Services,20340.29152,1186.0,9.3994
COST,Costco Wholesale Corporation,Consumer Defensive,103638384.45415,384.75,9.362
GOOGL,Alphabet Inc.,Communication Services,7655143.51049,2434.87,9.2328
FNF,FNF Group of Fidelity National ,Financial Services,50934.84849,45.13,8.9465
AMD,Advanced Micro Devices  Inc.,Technology,19394421.48823,84.56,8.9459
GOOG,Alphabet Inc.,Communication Services,9998993.51013,2527.42,8.9087
JNJ,Johnson & Johnson,Healthcare,92890197.53894,165.22,8.7059
ADI,Analog Devices  Inc.,Technology,40088228.84604,166.22,8.6478
COO,The Cooper Companies  Inc.,Healthcare,109066.98455,381.88,8.5949
WHR,Whirlpool Corporation,Consumer Cyclical,34211.99881,211.26,8.5401
OLLI,Ollie's Bargain Outlet Holdings,Consumer Defensive,46129.29715,88.55,8.5367
VIRT,Virtu Financial  Inc.,Financial Services,77149.98909,29.39,8.4933
NSC,Norfolk Southern Corporation,Industrials,12054520.62427,266.92,8.4905
THO,Thor Industries  Inc.,Consumer Cyclical,87.07795,104.84,8.4781
LOW,Lowe's Companies  Inc.,Consumer Cyclical,131677129.41636,186.84,8.4608
RE,Everest Re Group  Ltd.,Financial Services,44.16199,245.53,8.4531
VIAC,ViacomCBS Inc.,Communication Services,953271924.25353,40.19,8.4102
KKR,KKR & Co. Inc.,Financial Services,85096026679701.81,57.14,8.3528
BWXT,BWX Technologies  Inc.,Industrials,4431131.84677,60.44,8.3213
BIO,Bio-Rad Laboratories  Inc.,Healthcare,69839.58863,617.6,8.2914
F,Ford Motor Company,Consumer Cyclical,10114964.38997,14.77,8.2793
JEF,Jefferies Financial Group Inc.,Financial Services,32693262316.1857,30.16,8.2311
