ARVINDFASN.NS,62.754,-205.316,4.016477,3338,1.0723575,246.45,132452000,22011800000
ASAHIINDIA.NS,63.098,19.673,8.52325,13090,4.318335,487.4,243090000,24212100000
ASAHISONG.NS,198.562,12.524,1.3844543,330,0.86689234,272.9,12027300,2833517000
ASHAPURMIN.NS,59.065,8.231,1.6160163,873,0.6899575,93.45,91486096,11481124000
ASHIANA.NS,79.304,-51.911,1.5976495,1296,5.966413,120.3,102352000,2345100000
ASHIMASYN.NS,11.411,-33.87,1.0559986,230,1.1636534,11.5,191660000,1414700000
ASHOKA.NS,27.133,5.572,2.6517525,2019,0.35286057,71.05,280723008,49916961000
ASHOKLEY.NS,26.008,24.232,5.3829594,41097,1.6807187,139.65,2935529984,194541000000
ASIANHOTNR.NS,166.558,344.277,0.50432885,165,1.3036186,83.1,19453200,725830000
ASIANPAINT.NS,130.279,70,21.19221,264824,9.577476,2758.2,959198016,215035600000
ASIANTILES.NS,196.425,4.961,0.23469517,261,0.1721763,46.5,56751600,12922994000
ASTEC.NS,167.529,29.706,11.084051,3637,6.268941,1789.35,19591100,5586678000
ASTRAL.NS,104.24,54.561,16.001535,33513,8.212271,1660.7,200920000,31763000000
ASTRAMICRO.NS,65.123,17.794,2.9613194,1671,2.1774929,189.65,86611696,6467445000
ASTRAZEN.NS,182.468,77.884,14.989478,6906,8.811153,2751.2,25000000,8135600000
ATLANTA.NS,-71.243,6.528,,121,0.9445639,14.4,81500000,883263834
ATNINTER.NS,-1.635,-23.894,,0,10.103559,0.2,39450000,587913
ATULAUTO.NS,131.772,-24.516,1.2601311,364,1.1955078,162.6,21943200,2914200000
AURIONPRO.NS,158.554,8.785,1.6659939,602,1.2607378,260.75,22800200,3740177000
AUROPHARMA.NS,399.491,7.859,1.3179271,30849,1.3045584,517.5,585939008,247746200000
AUSOMENT.NS,86.673,8.49,0.7326388,89,4.789084,62.45,13623600,4725484615
AUTOAXLES.NS,372.235,20.691,4.2321386,2380,1.7454941,1541.75,15112000,9055740000
AUTOIND.NS,15.77,11.685,3.5351932,217,0.43705812,55.75,37963200,2846947722
AVANTIFEED.NS,129.86,16.952,3.2099955,5679,1.1827608,415.6,136246000,41005619000
AVTNPL.NS,22.106,19.992,4.1911697,1412,2.6299875,90.7,152284000,4851279000
AXISCADES.NS,80.645,13.227,1.488003,454,0.8017925,115.55,37759500,5238466000
AYMSYNTEX.NS,75.995,5.602,1.136259,433,0.30161244,85.05,50153600,9474103000
BAGFILMS.NS,4.375,12.944,1.2571429,115,0.94090575,5.25,197918000,1004692275
BAJAJELEC.NS,141.517,53.093,6.4783735,10526,2.22204,919.55,114814000,45846046000
BAJAJHIND.NS,19.231,26.023,0.69419163,1705,0.28648108,12.65,1277360000,66659700000
BALAJITELE.NS,49.537,-15.892,0.86097264,431,1.4740219,41.9,101130000,2937044000
BALAMINES.NS,324.493,19.067,8.8119,9279,4.7410817,2820.15,32401000,13132994937
BALKRISIND.NS,338.301,20.577,6.30208,41215,5.3705044,2132.6,193316992,57831900000
BALMLAWRIE.NS,87.946,9.83,1.2212039,1836,0.92814445,106.7,171004000,15289845000
BALPHARMA.NS,37.733,8.363,2.4050565,134,0.4839032,90.25,14822400,2505286000
BALRAMCHIN.NS,122.083,12.796,3.045469,7586,1.6542892,360.85,204040000,48116570000
BANARBEADS.NS,78.122,16.353,0.885154,45,1.9466182,71.05,6636220,204708067
BANARISUG.NS,1092.192,21.355,1.968793,2708,1.4209803,2124.05,12539700,15611766000
BANCOINDIA.NS,128.371,4.238,1.3274026,1218,0.6419959,165.7,71518600,15325728000
BANG.NS,69.293,15.264,0.5664353,53,0.642852,40.8,13560000,571165645
BANKBARODA.NS,166.26,,0.60116684,51687,1.6401309,96.45,5171359744,245713664000
BANKINDIA.NS,141.887,,0.32067773,18688,1.1842921,43.9,4103569920,132051382000
BANSWRAS.NS,216.188,6.262,0.85342383,316,0.29387313,180.7,17116000,7866247000
BARTRONICS.NS,23.109,209.022,0.1752564,13,0.21041733,3.9,34048900,634391000
BASF.NS,482.426,12.611,5.1146703,10680,0.8533652,2471.35,43285600,95583400000
BASML.NS,120.186,4.694,0.46178424,360,0.25627717,52.7,64841900,10185373000
BATAINDIA.NS,130.437,126.814,13.335557,22368,9.673503,1689.15,128528000,17084800000
