pb,pi,ev,pe,evr / pm,0.08906,128.96467,1273.39959
1000.000000,0.000012,497.000000,87506.234116,45.097000,740.000000,494.000000,249.000000
1000.000000,0.000012,497.000000,87506.234116,6.112333,499.000000,303.000000,130.000000
1000.000000,0.000012,497.000000,87506.234116,2.621667,254.000000,138.000000,61.000000
1000.000000,0.000012,497.000000,33.624388,45.097000,497.000000,338.000000,165.000000
1000.000000,0.000012,497.000000,33.624388,6.112333,398.000000,252.000000,110.000000
1000.000000,0.000012,497.000000,33.624388,2.621667,218.000000,126.000000,57.000000
1000.000000,0.000012,497.000000,15.483051,45.097000,247.000000,176.000000,92.000000
1000.000000,0.000012,497.000000,15.483051,6.112333,191.000000,124.000000,58.000000
1000.000000,0.000012,497.000000,15.483051,2.621667,114.000000,66.000000,32.000000
1000.000000,0.000012,13500.000000,87506.234116,45.097000,489.000000,345.000000,185.000000
1000.000000,0.000012,13500.000000,87506.234116,6.112333,290.000000,183.000000,81.000000
1000.000000,0.000012,13500.000000,87506.234116,2.621667,129.000000,71.000000,37.000000
1000.000000,0.000012,13500.000000,33.624388,45.097000,315.000000,226.000000,114.000000
1000.000000,0.000012,13500.000000,33.624388,6.112333,232.000000,153.000000,68.000000
1000.000000,0.000012,13500.000000,33.624388,2.621667,111.000000,65.000000,35.000000
1000.000000,0.000012,13500.000000,15.483051,45.097000,158.000000,122.000000,66.000000
1000.000000,0.000012,13500.000000,15.483051,6.112333,108.000000,76.000000,36.000000
1000.000000,0.000012,13500.000000,15.483051,2.621667,58.000000,35.000000,18.000000
1000.000000,0.000012,37740.000000,87506.234116,45.097000,242.000000,171.000000,95.000000
1000.000000,0.000012,37740.000000,87506.234116,6.112333,143.000000,92.000000,39.000000
1000.000000,0.000012,37740.000000,87506.234116,2.621667,51.000000,26.000000,13.000000
1000.000000,0.000012,37740.000000,33.624388,45.097000,148.000000,105.000000,55.000000
1000.000000,0.000012,37740.000000,33.624388,6.112333,109.000000,71.000000,31.000000
1000.000000,0.000012,37740.000000,33.624388,2.621667,41.000000,22.000000,11.000000
1000.000000,0.000012,37740.000000,15.483051,45.097000,74.000000,57.000000,33.000000
1000.000000,0.000012,37740.000000,15.483051,6.112333,50.000000,35.000000,17.000000
1000.000000,0.000012,37740.000000,15.483051,2.621667,25.000000,14.000000,7.000000
