pb,pi,ev,pe,evr / pm,0.08906,128.53521,1281.71865
1749.999900,0.000012,718.000000,13447.548711,53.451000,754.000000,504.000000,253.000000
1749.999900,0.000012,718.000000,13447.548711,5.941000,511.000000,302.000000,130.000000
1749.999900,0.000012,718.000000,13447.548711,2.663000,260.000000,143.000000,63.000000
1749.999900,0.000012,718.000000,26.718716,53.451000,505.000000,335.000000,163.000000
1749.999900,0.000012,718.000000,26.718716,5.941000,401.000000,242.000000,106.000000
1749.999900,0.000012,718.000000,26.718716,2.663000,225.000000,126.000000,56.000000
1749.999900,0.000012,718.000000,13.407307,53.451000,250.000000,168.000000,81.000000
1749.999900,0.000012,718.000000,13.407307,5.941000,195.000000,117.000000,51.000000
1749.999900,0.000012,718.000000,13.407307,2.663000,127.000000,66.000000,33.000000
1749.999900,0.000012,13257.000000,13447.548711,53.451000,498.000000,349.000000,185.000000
1749.999900,0.000012,13257.000000,13447.548711,5.941000,303.000000,183.000000,80.000000
1749.999900,0.000012,13257.000000,13447.548711,2.663000,142.000000,82.000000,40.000000
1749.999900,0.000012,13257.000000,26.718716,53.451000,316.000000,220.000000,109.000000
1749.999900,0.000012,13257.000000,26.718716,5.941000,234.000000,145.000000,62.000000
1749.999900,0.000012,13257.000000,26.718716,2.663000,122.000000,72.000000,34.000000
1749.999900,0.000012,13257.000000,13.407307,53.451000,154.000000,116.000000,61.000000
1749.999900,0.000012,13257.000000,13.407307,5.941000,109.000000,74.000000,35.000000
1749.999900,0.000012,13257.000000,13.407307,2.663000,65.000000,38.000000,21.000000
1749.999900,0.000012,36625.000000,13447.548711,53.451000,249.000000,174.000000,100.000000
1749.999900,0.000012,36625.000000,13447.548711,5.941000,147.000000,91.000000,45.000000
1749.999900,0.000012,36625.000000,13447.548711,2.663000,55.000000,32.000000,17.000000
1749.999900,0.000012,36625.000000,26.718716,53.451000,152.000000,108.000000,62.000000
1749.999900,0.000012,36625.000000,26.718716,5.941000,106.000000,66.000000,33.000000
1749.999900,0.000012,36625.000000,26.718716,2.663000,43.000000,26.000000,12.000000
1749.999900,0.000012,36625.000000,13.407307,53.451000,66.000000,53.000000,32.000000
1749.999900,0.000012,36625.000000,13.407307,5.941000,40.000000,29.000000,16.000000
1749.999900,0.000012,36625.000000,13.407307,2.663000,21.000000,13.000000,7.000000
