pi,ev,pe,evr / pm,0.01247,11.8604,20.9385,35.3421,59.17216,97.10906,172.20096,368.93309
0.000010,3.000000,29046.813085,9189326.337182,3256.000000,2509.000000,2159.000000,1807.000000,1440.000000,1085.000000,721.000000,359.000000
0.000010,3.000000,29046.813085,10.544250,2537.000000,1875.000000,1542.000000,1216.000000,913.000000,625.000000,383.000000,167.000000
0.000010,3.000000,29046.813085,5.741125,2162.000000,1555.000000,1247.000000,955.000000,702.000000,480.000000,292.000000,131.000000
0.000010,3.000000,29046.813085,3.698500,1769.000000,1220.000000,949.000000,710.000000,516.000000,359.000000,219.000000,94.000000
0.000010,3.000000,29046.813085,2.498594,1356.000000,879.000000,661.000000,465.000000,333.000000,230.000000,143.000000,59.000000
0.000010,3.000000,29046.813085,1.593250,926.000000,546.000000,389.000000,261.000000,191.000000,133.000000,87.000000,35.000000
0.000010,3.000000,29046.813085,0.887875,459.000000,249.000000,178.000000,123.000000,92.000000,58.000000,40.000000,18.000000
0.000010,3.000000,58.637311,9189326.337182,2563.000000,2132.000000,1838.000000,1533.000000,1223.000000,923.000000,605.000000,293.000000
0.000010,3.000000,58.637311,10.544250,2133.000000,1720.000000,1431.000000,1137.000000,862.000000,595.000000,364.000000,158.000000
0.000010,3.000000,58.637311,5.741125,1856.000000,1463.000000,1187.000000,913.000000,675.000000,465.000000,283.000000,125.000000
0.000010,3.000000,58.637311,3.698500,1526.000000,1160.000000,910.000000,682.000000,498.000000,350.000000,211.000000,88.000000
0.000010,3.000000,58.637311,2.498594,1168.000000,835.000000,629.000000,442.000000,318.000000,222.000000,136.000000,53.000000
0.000010,3.000000,58.637311,1.593250,803.000000,522.000000,372.000000,248.000000,183.000000,128.000000,83.000000,31.000000
0.000010,3.000000,58.637311,0.887875,393.000000,236.000000,168.000000,115.000000,86.000000,55.000000,37.000000,15.000000
0.000010,3.000000,38.376123,9189326.337182,2196.000000,1850.000000,1599.000000,1330.000000,1054.000000,802.000000,526.000000,265.000000
0.000010,3.000000,38.376123,10.544250,1876.000000,1544.000000,1294.000000,1030.000000,780.000000,550.000000,339.000000,150.000000
