pi,ev,pe,evr / pm,0.40178,22.65103,46.73422,110.59084
0.000012,9.000000,2015.182662,46.146409,126.000000,76.000000,50.000000,25.000000
0.000012,9.000000,2015.182662,0.419488,64.000000,27.000000,13.000000,0.000000
0.000012,9.000000,2015.182662,0.169437,31.000000,8.000000,0.000000,0.000000
0.000012,9.000000,24.006625,46.146409,42.000000,29.000000,19.000000,13.000000
0.000012,9.000000,24.006625,0.419488,29.000000,17.000000,8.000000,0.000000
0.000012,9.000000,24.006625,0.169437,19.000000,7.000000,0.000000,0.000000
0.000012,2058.000000,2015.182662,46.146409,42.000000,35.000000,25.000000,15.000000
0.000012,2058.000000,2015.182662,0.419488,11.000000,0.000000,0.000000,0.000000
0.000012,2058.000000,2015.182662,0.169437,0.000000,0.000000,0.000000,0.000000
0.000012,2058.000000,24.006625,46.146409,13.000000,12.000000,10.000000,9.000000
0.000012,2058.000000,24.006625,0.419488,0.000000,0.000000,0.000000,0.000000
0.000012,2058.000000,24.006625,0.169437,0.000000,0.000000,0.000000,0.000000
0.399060,9.000000,2015.182662,46.146409,40.000000,22.000000,13.000000,0.000000
0.399060,9.000000,2015.182662,0.419488,24.000000,11.000000,0.000000,0.000000
0.399060,9.000000,2015.182662,0.169437,13.000000,0.000000,0.000000,0.000000
0.399060,9.000000,24.006625,46.146409,16.000000,10.000000,0.000000,0.000000
0.399060,9.000000,24.006625,0.419488,14.000000,9.000000,0.000000,0.000000
0.399060,9.000000,24.006625,0.169437,8.000000,0.000000,0.000000,0.000000
0.399060,2058.000000,2015.182662,46.146409,7.000000,0.000000,0.000000,0.000000
0.399060,2058.000000,2015.182662,0.419488,0.000000,0.000000,0.000000,0.000000
0.399060,2058.000000,2015.182662,0.169437,0.000000,0.000000,0.000000,0.000000
0.399060,2058.000000,24.006625,46.146409,0.000000,0.000000,0.000000,0.000000
0.399060,2058.000000,24.006625,0.419488,0.000000,0.000000,0.000000,0.000000
0.399060,2058.000000,24.006625,0.169437,0.000000,0.000000,0.000000,0.000000
