Symbol,Name,Sector,Value,Close,MA,Grade
LOGI,Logitech International S.A. - R,Technology,-0.14638,82.51, ,14.3777
NYMT,New York Mortgage Trust  Inc.,Real Estate,-0.61058,3.81, ,14.297
CWBC,Community West Bancshares,Financial Services,0.10008,13.66, ,14.2175
VSAT,ViaSat  Inc.,Technology,-0.23625,45.74, ,14.2136
CHI,Calamos Convertible Opportuniti,Financial Services,-0.08511,14.69, ,14.0758
GNTY,Guaranty Bancshares  Inc.,Financial Services,-0.09037,37.41, ,14.0731
URBN,Urban Outfitters  Inc.,Consumer Cyclical,-0.3978,27.95, ,14.028
LGL,LGL Group  Inc. (The),Technology,-0.49288,10.55, ,13.9941
CBD,Companhia Brasileira de Distrib,Consumer Cyclical,-0.09661,3.4, ,13.9739
MET,MetLife  Inc.,Financial Services,0.63403,67.89, ,13.9722
NL,NL Industries  Inc.,Industrials,-0.6946,7.14, ,13.9241
CAMT,Camtek Ltd.,Technology,-0.39905,41.66, ,13.8857
RBCAA,Republic Bancorp  Inc.,Financial Services,-0.20092,51.77, ,13.8697
CHCI,Comstock Holding Companies  Inc,Real Estate,-0.70659,4.5, ,13.8415
NTES,NetEase  Inc.,Communication Services,-0.15836,101.17, ,13.806
NC,NACCO Industries  Inc.,Energy,-0.51805,34.76, ,13.7172
PATK,Patrick Industries  Inc.,Consumer Cyclical,-0.18476,77.57, ,13.6529
MEI,Methode Electronics  Inc.,Technology,0.20278,48.3, ,13.6326
CHW,Calamos Global Dynamic Income F,Financial Services,-0.10219,9.84, ,13.6077
FBK,FB Financial Corporation,Financial Services,-0.00065,46.23, ,13.5351
WES,Western Midstream Partners  LP,Energy,0.09026,23.44, ,13.52
BMA,Banco Macro S.A.,Financial Services,0.01867,13.99, ,13.5184
FBC,Flagstar Bancorp  Inc.,Financial Services,0.14489,52.13, ,13.4896
TRMK,Trustmark Corporation,Financial Services,-0.01536,34.85, ,13.4192
RDY,Dr. Reddy's Laboratories Ltd,Healthcare,-0.23666,63.39, ,13.3204
CET,11017,Financial Services,-0.83285,44.02, ,13.2385
AIZ,Assurant  Inc.,Financial Services,0.06856,158.74, ,13.1303
OPRA,Opera Limited,Communication Services,-0.15862,7.01, ,13.062
BSMX,Banco Santander Mexico  S.A.  I,Financial Services,0.05379,5.7, ,12.9577
HOLI,Hollysys Automation Technologie,Industrials,-0.19626,14.15, ,12.9207
CFBK,CF Bankshares Inc.,Financial Services,-0.06676,20.53, ,12.8575
DDS,Dillard's  Inc.,Consumer Cyclical,-0.48158,248.32, ,12.8328
BSIG,BrightSphere Investment Group I,Financial Services,-0.17124,24.29, ,12.7903
LIVE,Live Ventures Incorporated,Consumer Cyclical,-0.23538,28.98, ,12.7516
SLAB,Silicon Laboratories  Inc.,Technology,-0.84842,186.5, ,12.6074
MSBI,Midland States Bancorp  Inc.,Financial Services,-0.20505,27.2, ,12.5898
LPG,Dorian LPG Ltd.,Energy,-0.31591,13.37, ,12.3404
TCS,Container Store (The),Consumer Cyclical,-0.14607,10.72, ,12.285
APT,Alpha Pro Tech  Ltd.,Industrials,-0.25274,6.04, ,12.261
CCSI,Consensus Cloud Solutions  Inc.,Technology,-0.03614,56.8, ,12.2242
CNA,CNA Financial Corporation,Financial Services,-0.02058,46.74, ,12.2205
OBCI,Ocean Bio-Chem  Inc.,Industrials,-0.6675,9.49, ,12.1685
GAM,General American Investors  Inc,Financial Services,-0.04855,43.38, ,12.0918
SMG,Scotts Miracle-Gro Company (The,Basic Materials,-0.33205,164.92, ,12.0498
GM,General Motors Company,Consumer Cyclical,-0.00822,61.77, ,11.9879
LSEA,Landsea Homes Corporation,Real Estate,-0.68579,7.73, ,11.9601
MRTN,Marten Transport  Ltd.,Industrials,-0.31346,16.58, ,11.8701
DOW,Dow Inc.,Basic Materials,-0.16355,59.94, ,11.8632
DX,Dynex Capital  Inc.,Real Estate,-0.01115,16.99, ,11.813
HMY,Harmony Gold Mining Company Lim,Basic Materials,-0.16972,3.77, ,11.7705
ANAT,American National Group  Inc.,Financial Services,0.45897,188.94, ,11.6932
UBSI,United Bankshares  Inc.,Financial Services,-0.00123,39.26, ,11.6677
LDOS,Leidos Holdings  Inc.,Technology,-0.09991,92.48, ,11.6289
FRD,Friedman Industries Inc.,Basic Materials,-0.37106,11.83, ,11.5732
VCTR,Victory Capital Holdings  Inc. ,Financial Services,-0.0863,34.59, ,11.5673
LMFA,LM Funding America  Inc.,Financial Services,-0.36053,4.26, ,11.5062
LYLT,Loyalty Ventures Inc.,Technology,-0.19439,32.11, ,11.4665
EDU,New Oriental Education & Techno,Consumer Defensive,-0.08665,1.79, ,11.3429
RMT,Royce Micro-Cap Trust  Inc.,Financial Services,-0.15476,11.35, ,11.3285
STEP,StepStone Group Inc.,Financial Services,-0.27917,38.51, ,11.3238
IBOC,International Bancshares Corpor,Financial Services,-0.0796,45.15, ,11.3045
REX,REX American Resources Corporat,Basic Materials,-0.22076,100.95, ,11.2644
GS,Goldman Sachs Group  Inc. (The),Financial Services,0.19145,390.8, ,11.0641
LSBK,Lake Shore Bancorp  Inc.,Financial Services,-0.39512,15.08, ,11.0557
SHLX,Shell Midstream Partners  L.P.,Energy,-0.63151,12.82, ,11.0544
SATS,EchoStar Corporation,Technology,-0.13126,24.91, ,11.0524
JD,JD.com  Inc.,Consumer Cyclical,-0.18351,71.44, ,11.0243
QD,Qudian Inc.,Financial Services,-0.1573,1.05, ,10.9744
CMCL,Caledonia Mining Corporation Pl,Basic Materials,-0.19782,11.31, ,10.9425
CBNK,Capital Bancorp  Inc.,Financial Services,0.06234,26.01, ,10.9207
SYF,Synchrony Financial,Financial Services,0.29001,49.46, ,10.9124
DIOD,Diodes Incorporated,Technology,-0.15592,96.91, ,10.845
GSL,Global Ship Lease Inc New,Industrials,0.00362,23.58, ,10.8376
FRHC,Freedom Holding Corp.,Financial Services,-0.44397,66.84, ,10.8158
NOMD,Nomad Foods Limited,Consumer Defensive,-0.16434,26.12, ,10.74
OMAB,Grupo Aeroportuario del Centro ,Industrials,-0.2596,52.8163, ,10.7158
ACU,Acme,Consumer Defensive,-0.22366,33.025, ,10.6685
IHC,Independence Holding Company,Financial Services,0.16785,56.79, ,10.6413
KMPR,Kemper Corporation,Financial Services,-0.08871,62.91, ,10.5808
LEGH,Legacy Housing Corporation,Consumer Cyclical,-0.45353,25.36, ,10.4691
KBH,KB Home,Consumer Cyclical,0.05277,49.38, ,10.3875
ACGLO,Arch Capital Group Ltd. - Depos,Financial Services,-0.11462,25.71, ,10.3267
TCBX,Third Coast Bancshares  Inc.,Financial Services,-0.11648,25.04, ,10.2541
BIF,Boulder Growth & Income Fund  I,Financial Services,0.49588,14.95, ,10.2472
ANET,Arista Networks  Inc.,Technology,-0.16715,129.48, ,10.183
KOF,Coca Cola Femsa S.A.B. de C.V.,Consumer Defensive,0.01157,54.9, ,10.1385
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,-0.16933,148.74, ,9.9724
ACT,Enact Holdings  Inc.,Financial Services,-0.41807,22.24, ,9.9677
ECPG,Encore Capital Group Inc,Financial Services,0.40552,63.97, ,9.9302
EBTC,Enterprise Bancorp Inc,Financial Services,0.23175,43.41, ,9.9127
GAB,Gabelli Equity Trust  Inc. (The,Financial Services,-0.61976,7.06, ,9.9018
PAG,Penske Automotive Group  Inc.,Consumer Cyclical,0.08705,105.61, ,9.8858
SBS,Companhia de saneamento Basico ,Utilities,-0.08658,6.4, ,9.8754
COWN,Cowen Inc.,Financial Services,-0.03683,35.74, ,9.8565
IBA,Industrias Bachoco  S.A.B. de C,Consumer Defensive,-0.02112,42.92, ,9.8454
KNOP,KNOT Offshore Partners LP,Industrials,-0.21342,15.89, ,9.8443
