"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,skip_reason
ACC,American Campus Communities Inc,Real Estate,United States,3.15895E+12,886327133.3,81701866.67,225633666.7,11453200,46577533.33,555980400,886327133.3,81701866.67,225633666.7,11453200,46577533.33,555980400,12.783,12.783,1237.1794,84.64912,949.04683,7.79016,949.04683,28.053,0.00886,0.23033,2.5,0.04656,1,0.15618,0.98089,0.57,0.039,48.39,0.00081,2.16718,137866000,5352000,0.03882,2988,10915652608,6652034560,1791.16466,-0.807,-0.67559,-0.05261,-0.04794,-0.05261,-0.04794,-0.6184,0.4316,-0.55715,1.0441,10.36,10.36,357491400,72028733.33,30.53403,151.54581,91.03992,1.26737,1.4067,1.33703,1.1563,USD,USD,1,1,0.47,0.47,0.47,0.47,41.65458,31.07,48.89,43.34971,11.62706,55.74509,-2.52549,1.94388,53.95368,1.83757,1.72633,0,0,0.94214,1.20735,1.27934,1.19925,1.79195,0.01,1.08475,1.2493,1.52062,None
ACGL,Arch Capital Group Ltd.,Financial Services,Bermuda,10397.91342,7496234067,1328310933,2306019667,454421533.3,891366233.3,4901126867,7496234067,1328310933,2306019667,454421533.3,891366233.3,4901126867,1.878,1.878,9.77318,10.24289,9.8906,1.72673,19.78121,7.1,0.18342,0.44197,2.5,0.4918,2.5,0.44351,0.99418,3.87,4.056,39.48,0.10274,1.29276,403619008,1657948032,4.10771,4500,17398380544,15999457280,368432.896,2.04,0.09088,0.07584,0.09088,0.07584,0.09088,1.54896,8.7948,0.09088,1.5044,0.24,0.24,2366626533,736923066.7,7.35155,23.60949,15.48052,2.4247,2.44606,2.43538,1.56057,USD,USD,1,1,0,0,0,0,0.10743,26.22,41.28,36.67742,7.64114,50.57208,-4.36047,1.76096,29.81888,1.47831,1.4652,1.00176,0.92101,0.21541,0.19114,1.7247,1.96515,1.48176,0.97138,0.21327,1.85493,1.66834,None
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,United States,1.00E+50,2093244133,-339535266.7,599441000,-196125133.3,-267830200,1346342567,2093244133,-339535266.7,599441000,-196125133.3,-267830200,1346342567,3.342,3.342,-21.97991,23.42857,29140.70943,2.76132,29140.70943,15.875,-0.32641,-0.16467,0,-0.36711,0,-0.2298,1.03896,2.8,-7.911,65.01,-0.12169,2.53292,89739104,144242000,1.60735,20000,7125318144,5886884864,7212.1,-0.71,-0.00913,-0.42857,-0.00913,-0.42857,-0.00913,-0.63964,0.41036,-0.00913,1.04087,2,2,521987266.7,103095600,13.65037,69.1137,41.38203,2.055,1.48388,1.76944,1.3302,USD,USD,1,1,0,0,0,0,65.01,23.63,65.85,54.69338,18.86264,175.11638,-1.27563,1.96021,56.7301,1.5132,1.81206,1.44223,0.89495,1.41238,0.42671,1.5682,1.44481,1.67263,1.17859,0.92954,1.51651,1.59457,None
ACI,"Albertsons Companies, Inc.",Consumer Defensive,United States,197649490.5,65889146667,598380000,16138720000,33093333.33,315736666.7,41013933333,65889146667,598380000,16138720000,33093333.33,315736666.7,41013933333,0.329,0.329,29.80201,0,29.80201,0.13502,29.80201,5.934,0.0122,0.30761,34.80469,0.00139,1,0.18946,0.73627,0,0,20.05,0,1000,466513984,764200000,1.63811,300000,22951628800,9409587200,2547.33333,0.3952,-0.67135,0.3952,0.35933,0.3952,0.35933,0.3952,3.02599,0.35933,1.23236,-0.79,7.9,2882013333,780166666.7,7.96375,29.41888,18.69131,14.91276,17.4321,16.17243,4.0215,USD,USD,1,1,0.1,0.1,0,0,20.05,12.91,20.89,17.58059,14.04621,55.30596,-8.63092,1.78947,32.83612,1.10748,1.12555,0.2465,0.30231,0.21595,0.23885,1.04757,1.06704,1.12652,0.2844,0.2374,1.06731,1.09691,None
ACM,AECOM,Industrials,United States,1.00E+50,13763310800,-128188933.3,3360409000,-41278133.33,-84733533.33,8561859900,13763310800,-128188933.3,3360409000,-41278133.33,-84733533.33,8561859900,0.899,0.899,-112.78848,20.60509,724311.414,0.71762,724311.414,15.83,-0.01508,-0.01006,0,-0.01103,0,-0.00105,0.88162,3.14,-1.275,63.79,-0.01999,3.30541,147712000,222944992,1.50932,54000,11970503680,9556966400,4128.61096,-0.357,-0.03026,-0.25125,-0.03026,-0.25125,-0.03026,-0.33056,0.71944,-0.03026,1.01974,1.11,1.11,532880000,214195533.3,22.46379,55.88587,39.17483,2.83107,3.02016,2.92561,1.71044,USD,USD,1,1,0,0,0,0,63.79,34.71,70.04,58.1857,9.63174,83.77989,-8.92347,1.64619,19.90144,1.36998,1.34723,0.39905,0.35621,1.33662,1.06584,1.20526,1.19412,1.3686,0.38763,1.21123,1.20969,1.28915,None
ACN,Accenture plc,Technology,Ireland,23283726.31,43042551533,4769608200,11761039133,1422135733,3095871967,27401795333,43042551533,4769608200,11761039133,1422135733,3095871967,27401795333,3.945,3.945,33.51125,30.1887,32.68061,3.94064,10.89354,23.745,0.11947,3.84595,34.80469,0.30221,2.5,2.3111,0.73608,9.38,8.45,279.63,0.03022,9.83161,635646976,5457266176,8.58537,537000,1.80193E+11,1.79996E+11,10162.50685,0.167,0.02371,0.05395,0.02371,0.05395,0.02371,0.13874,1.74369,0.02371,1.16857,3.51,3.51,7283696600,2382858800,24.73928,75.62068,50.17998,1.16438,1.14229,1.15334,1.07393,USD,USD,1,1,0.88,0.88,0.88,0.8,279.63,194.83,294.5,265.48273,5.32889,43.52512,-5.04924,1.70162,24.27551,1.895,1.90127,0.33118,0.351,1.52142,1.5559,1.38059,1.40574,1.90814,0.35109,1.54866,1.40317,1.65565,None
ADBE,Adobe Inc.,Technology,United States,272068491.9,11532633667,4050663600,3634266667,1473200000,2761931800,7583450167,11532633667,4050663600,3634266667,1473200000,2761931800,7583450167,17.57,17.57,43.92303,36.90563,42.16868,17.62542,14.05623,45.077,0.40681,5.29305,15.46875,2.5649,6.25,3.82555,0.8592,13.67,11.486,493.14,0.02329,17.83946,478000000,5566000128,11.64435,22516,2.40398E+11,2.41151E+11,247201.9954,0.32,0.08574,0.20916,0.08574,0.20916,0.08574,0.29229,2.51145,0.08574,1.4787,2.48,2.48,4964990200,1690666667,48.4186,142.19117,95.30489,0.88407,0.85943,0.87175,0.93368,USD,USD,1,1,0.0065,0.0065,0.0065,0.0065,493.14,382,536.88,481.1448,2.49305,29.09424,-8.14707,1.43518,8.73837,2.1419,2.16614,0.04327,0.01965,1.39799,1.84766,1.28719,1.35022,2.16402,0.04146,1.63283,1.3287,1.74636,None
ADI,"Analog Devices, Inc.",Technology,United States,33406959.75,5765629333,1269164733,1520145067,376485466.7,822825100,3642887200,5765629333,1269164733,1520145067,376485466.7,822825100,3642887200,10.298,10.298,43.90878,24.63988,39.09156,10.42711,13.03052,23.447,0.23991,0.54845,2.5,4.24958,17.1875,2.62931,0.97255,6.72,3.771,162.07,0.02327,5.0531,368894016,1405405952,3.80978,15900,60322451456,61081473024,88390.31145,0.906,-0.0124,-0.00245,-0.0124,-0.00245,-0.0124,0.67889,4.44444,-0.0124,1.0376,1.82,1.82,2074625533,510490733.3,29.07631,118.16561,73.62096,0.82207,0.79047,0.80627,0.89792,USD,USD,1,1,0.69,0.69,0.62,0.62,162.07,110.47,166.32,151.81645,6.75391,46.70951,-2.55532,1.84781,39.80514,2.22364,2.2662,0.00816,0.03098,0.46959,0.60783,1.70057,1.6095,2.25492,0.02957,0.54871,1.66504,1.95998,None
ADM,Archer-Daniels-Midland Company,Consumer Defensive,United States,2.59783E+14,64198266667,1660466667,17972600000,611933333.3,1136200000,41085433333,64198266667,1660466667,17972600000,611933333.3,1136200000,41085433333,0.702,0.702,18.68242,15.66515,17.9281,0.56273,17.9281,14.402,0.03032,0.06468,2.5,0.08386,2.5,0.08073,0.81444,4.39,3.681,68.25,0.05393,1.84454,558702016,2070000000,3.70502,37575,47943507968,38421934080,55089.82036,0.762,-0.67466,0.04168,0.03785,0.04168,0.03785,0.58192,3.95959,0.52407,1.06687,1.78,1.78,-3762000000,-202466666.7,2118929.605,13294711556,6648415243,1.36469,1.43764,1.40117,1.18371,USD,USD,1,1,0.37,0.37,0.36,0.36,68.25,37.54,68.98,56.1957,21.45056,81.80607,-2.83151,1.95356,55.58577,1.74317,1.70064,0.93227,0.96337,0.38671,0.38964,1.55365,1.5767,1.7319,0.95782,0.39818,1.57517,1.65354,None
ADNT,Adient plc,Consumer Cyclical,Ireland,1.00E+50,14570333333,-588866666.7,3462333333,25800000,-281533333.3,9016333333,14570333333,-588866666.7,3462333333,25800000,-281533333.3,9016333333,0.601,0.601,-17.61424,9.87993,18110.91931,0.39413,18110.91931,16.559,-0.01828,-0.04023,0,-0.00889,0,-0.00605,0.91937,5.33,-2.453,52.93,-0.04634,3.41062,94170096,-230000000,-2.44239,77000,7567623168,4958996992,-2987.01299,-0.01691,-0.07795,-0.01691,-0.07795,-0.01691,-0.07795,-0.01691,1.03309,-0.07795,0.97205,0.35,0.35,353600000,196933333.3,21.40165,38.42733,29.91449,5.57593,6.33776,5.95685,2.44067,USD,USD,1,1,0.275,0.275,0.275,0.275,52.93,15,53.165,39.53244,33.89003,252.86667,-0.44202,1.98769,61.67163,1.25174,1.20267,0.31385,0.53362,1.27802,1.33328,1.11848,1.19911,1.2372,0.43373,1.31565,1.1688,1.203,None
