pb,pi,ev,pe,evr / pm,0.08906,119.56891,1279.46849
1000.000000,0.000012,497.000000,116667.931587,64.868000,733.000000,493.000000,247.000000
1000.000000,0.000012,497.000000,116667.931587,6.115667,499.000000,307.000000,134.000000
1000.000000,0.000012,497.000000,116667.931587,2.672333,258.000000,141.000000,62.000000
1000.000000,0.000012,497.000000,35.405884,64.868000,490.000000,337.000000,165.000000
1000.000000,0.000012,497.000000,35.405884,6.115667,406.000000,263.000000,117.000000
1000.000000,0.000012,497.000000,35.405884,2.672333,219.000000,128.000000,57.000000
1000.000000,0.000012,497.000000,18.109386,64.868000,246.000000,163.000000,77.000000
1000.000000,0.000012,497.000000,18.109386,6.115667,208.000000,129.000000,57.000000
1000.000000,0.000012,497.000000,18.109386,2.672333,133.000000,74.000000,33.000000
1000.000000,0.000012,13214.000000,116667.931587,64.868000,488.000000,346.000000,181.000000
1000.000000,0.000012,13214.000000,116667.931587,6.115667,296.000000,188.000000,83.000000
1000.000000,0.000012,13214.000000,116667.931587,2.672333,134.000000,76.000000,37.000000
1000.000000,0.000012,13214.000000,35.405884,64.868000,311.000000,222.000000,111.000000
1000.000000,0.000012,13214.000000,35.405884,6.115667,241.000000,160.000000,71.000000
1000.000000,0.000012,13214.000000,35.405884,2.672333,115.000000,72.000000,35.000000
1000.000000,0.000012,13214.000000,18.109386,64.868000,148.000000,107.000000,50.000000
1000.000000,0.000012,13214.000000,18.109386,6.115667,116.000000,79.000000,34.000000
1000.000000,0.000012,13214.000000,18.109386,2.672333,65.000000,40.000000,19.000000
1000.000000,0.000012,37455.000000,116667.931587,64.868000,243.000000,172.000000,93.000000
1000.000000,0.000012,37455.000000,116667.931587,6.115667,148.000000,94.000000,40.000000
1000.000000,0.000012,37455.000000,116667.931587,2.672333,50.000000,26.000000,13.000000
1000.000000,0.000012,37455.000000,35.405884,64.868000,152.000000,108.000000,57.000000
1000.000000,0.000012,37455.000000,35.405884,6.115667,118.000000,76.000000,34.000000
1000.000000,0.000012,37455.000000,35.405884,2.672333,41.000000,23.000000,11.000000
1000.000000,0.000012,37455.000000,18.109386,64.868000,64.000000,46.000000,23.000000
1000.000000,0.000012,37455.000000,18.109386,6.115667,50.000000,33.000000,15.000000
1000.000000,0.000012,37455.000000,18.109386,2.672333,22.000000,11.000000,0.000000
