ev,pe,evr / pm,0.00971,10.49167,18.43979,31.33887,53.28607,88.68207,160.42381,347.92282
0.000000,21778.494222,31721632.0,2861.000000,2214.000000,1910.000000,1600.000000,1281.000000,962.000000,641.000000,320.000000
0.000000,21778.494222,10.1447778,2316.000000,1740.000000,1447.000000,1161.000000,885.000000,620.000000,380.000000,174.000000
0.000000,21778.494222,6.1064237,2026.000000,1490.000000,1219.000000,955.000000,708.000000,499.000000,305.000000,142.000000
0.000000,21778.494222,4.2804444,1723.000000,1225.000000,977.000000,745.000000,544.000000,391.000000,242.000000,109.000000
0.000000,21778.494222,3.0988889,1395.000000,939.000000,716.000000,523.000000,385.000000,278.000000,169.000000,72.000000
0.000000,21778.494222,2.1673333,1063.000000,676.000000,493.000000,345.000000,250.000000,181.000000,112.000000,45.000000
0.000000,21778.494222,1.4384444,709.000000,401.000000,282.000000,189.000000,139.000000,104.000000,68.000000,26.000000
0.000000,21778.494222,0.8382222,351.000000,181.000000,125.000000,96.000000,72.000000,51.000000,32.000000,14.000000
0.000000,59.131735,31721632.0,2267.000000,1902.000000,1659.000000,1393.000000,1120.000000,838.000000,551.000000,267.000000
0.000000,59.131735,10.1447778,1950.000000,1599.000000,1357.000000,1101.000000,846.000000,596.000000,364.000000,165.000000
0.000000,59.131735,6.1064237,1739.000000,1402.000000,1171.000000,926.000000,692.000000,490.000000,298.000000,138.000000
0.000000,59.131735,4.2804444,1480.000000,1163.000000,944.000000,726.000000,534.000000,385.000000,236.000000,105.000000
0.000000,59.131735,3.0988889,1189.000000,891.000000,691.000000,508.000000,375.000000,272.000000,163.000000,68.000000
0.000000,59.131735,2.1673333,911.000000,646.000000,476.000000,336.000000,245.000000,177.000000,108.000000,41.000000
0.000000,59.131735,1.4384444,610.000000,388.000000,273.000000,184.000000,135.000000,101.000000,65.000000,23.000000
0.000000,59.131735,0.8382222,302.000000,174.000000,120.000000,92.000000,69.000000,49.000000,30.000000,12.000000
0.000000,37.807377,31721632.0,1944.000000,1662.000000,1448.000000,1220.000000,976.000000,740.000000,489.000000,246.000000
0.000000,37.807377,10.1447778,1710.000000,1438.000000,1225.000000,1001.000000,769.000000,551.000000,341.000000,156.000000
0.000000,37.807377,6.1064237,1551.000000,1289.000000,1083.000000,863.000000,647.000000,464.000000,288.000000,133.000000
0.000000,37.807377,4.2804444,1337.000000,1084.000000,885.000000,684.000000,504.000000,366.000000,228.000000,101.000000
0.000000,37.807377,3.0988889,1083.000000,843.000000,661.000000,488.000000,360.000000,264.000000,162.000000,67.000000
0.000000,37.807377,2.1673333,839.000000,620.000000,459.000000,325.000000,237.000000,173.000000,108.000000,41.000000
0.000000,37.807377,1.4384444,565.000000,375.000000,263.000000,178.000000,131.000000,98.000000,65.000000,23.000000
0.000000,37.807377,0.8382222,281.000000,168.000000,115.000000,88.000000,66.000000,46.000000,30.000000,12.000000
0.000000,28.682062,31721632.0,1621.000000,1386.000000,1206.000000,1015.000000,824.000000,629.000000,423.000000,211.000000
0.000000,28.682062,10.1447778,1422.000000,1195.000000,1015.000000,827.000000,645.000000,462.000000,291.000000,130.000000
0.000000,28.682062,6.1064237,1299.000000,1080.000000,903.000000,718.000000,542.000000,390.000000,245.000000,110.000000
0.000000,28.682062,4.2804444,1138.000000,927.000000,754.000000,580.000000,432.000000,316.000000,199.000000,87.000000
0.000000,28.682062,3.0988889,938.000000,735.000000,577.000000,428.000000,317.000000,232.000000,144.000000,59.000000
0.000000,28.682062,2.1673333,746.000000,556.000000,414.000000,290.000000,210.000000,151.000000,96.000000,35.000000
0.000000,28.682062,1.4384444,511.000000,343.000000,241.000000,158.000000,116.000000,86.000000,57.000000,20.000000
0.000000,28.682062,0.8382222,251.000000,145.000000,98.000000,72.000000,53.000000,35.000000,23.000000,9.000000
0.000000,23.397299,31721632.0,1293.000000,1102.000000,945.000000,790.000000,640.000000,494.000000,331.000000,168.000000
0.000000,23.397299,10.1447778,1123.000000,940.000000,783.000000,631.000000,487.000000,351.000000,218.000000,97.000000
0.000000,23.397299,6.1064237,1019.000000,843.000000,689.000000,540.000000,402.000000,290.000000,179.000000,78.000000
0.000000,23.397299,4.2804444,910.000000,738.000000,587.000000,446.000000,329.000000,241.000000,151.000000,66.000000
0.000000,23.397299,3.0988889,779.000000,612.000000,474.000000,349.000000,256.000000,187.000000,117.000000,48.000000
0.000000,23.397299,2.1673333,636.000000,482.000000,357.000000,252.000000,177.000000,126.000000,79.000000,28.000000
0.000000,23.397299,1.4384444,445.000000,308.000000,216.000000,139.000000,98.000000,73.000000,48.000000,16.000000
0.000000,23.397299,0.8382222,220.000000,132.000000,89.000000,65.000000,47.000000,31.000000,22.000000,8.000000
0.000000,19.075695,31721632.0,969.000000,814.000000,691.000000,579.000000,464.000000,358.000000,237.000000,117.000000
0.000000,19.075695,10.1447778,835.000000,686.000000,563.000000,453.000000,342.000000,244.000000,146.000000,58.000000
0.000000,19.075695,6.1064237,753.000000,609.000000,487.000000,380.000000,272.000000,192.000000,114.000000,44.000000
0.000000,19.075695,4.2804444,691.000000,548.000000,429.000000,326.000000,231.000000,165.000000,101.000000,40.000000
0.000000,19.075695,3.0988889,608.000000,468.000000,358.000000,264.000000,187.000000,132.000000,81.000000,29.000000
0.000000,19.075695,2.1673333,504.000000,375.000000,276.000000,193.000000,130.000000,90.000000,54.000000,17.000000
0.000000,19.075695,1.4384444,372.000000,254.000000,177.000000,113.000000,77.000000,56.000000,35.000000,11.000000
0.000000,19.075695,0.8382222,195.000000,114.000000,75.000000,53.000000,36.000000,22.000000,15.000000,0.000000
0.000000,13.884756,31721632.0,642.000000,535.000000,456.000000,384.000000,311.000000,239.000000,163.000000,75.000000
0.000000,13.884756,10.1447778,542.000000,440.000000,361.000000,291.000000,220.000000,154.000000,93.000000,32.000000
0.000000,13.884756,6.1064237,484.000000,387.000000,308.000000,241.000000,171.000000,118.000000,71.000000,23.000000
0.000000,13.884756,4.2804444,446.000000,350.000000,272.000000,208.000000,148.000000,103.000000,62.000000,20.000000
0.000000,13.884756,3.0988889,402.000000,308.000000,236.000000,175.000000,126.000000,85.000000,49.000000,13.000000
0.000000,13.884756,2.1673333,335.000000,250.000000,183.000000,130.000000,89.000000,60.000000,33.000000,8.000000
0.000000,13.884756,1.4384444,260.000000,182.000000,128.000000,81.000000,54.000000,38.000000,23.000000,0.000000
0.000000,13.884756,0.8382222,144.000000,84.000000,56.000000,41.000000,27.000000,16.000000,10.000000,0.000000
0.000000,8.829982,31721632.0,318.000000,261.000000,221.000000,186.000000,149.000000,114.000000,81.000000,45.000000
0.000000,8.829982,10.1447778,269.000000,213.000000,173.000000,140.000000,103.000000,69.000000,42.000000,17.000000
0.000000,8.829982,6.1064237,243.000000,192.000000,152.000000,121.000000,84.000000,56.000000,33.000000,13.000000
0.000000,8.829982,4.2804444,222.000000,171.000000,132.000000,102.000000,71.000000,48.000000,28.000000,12.000000
0.000000,8.829982,3.0988889,204.000000,155.000000,117.000000,87.000000,61.000000,40.000000,22.000000,7.000000
0.000000,8.829982,2.1673333,163.000000,120.000000,85.000000,60.000000,41.000000,28.000000,15.000000,0.000000
0.000000,8.829982,1.4384444,134.000000,94.000000,66.000000,43.000000,30.000000,24.000000,14.000000,0.000000
0.000000,8.829982,0.8382222,74.000000,42.000000,28.000000,20.000000,14.000000,9.000000,0.000000,0.000000
1447.000000,21778.494222,31721632.0,1726.000000,1401.000000,1211.000000,988.000000,758.000000,535.000000,328.000000,141.000000
1447.000000,21778.494222,10.1447778,1409.000000,1120.000000,939.000000,734.000000,532.000000,346.000000,195.000000,75.000000
1447.000000,21778.494222,6.1064237,1189.000000,924.000000,758.000000,570.000000,391.000000,256.000000,141.000000,52.000000
1447.000000,21778.494222,4.2804444,958.000000,718.000000,566.000000,405.000000,262.000000,171.000000,93.000000,29.000000
1447.000000,21778.494222,3.0988889,744.000000,528.000000,394.000000,268.000000,169.000000,108.000000,57.000000,17.000000
1447.000000,21778.494222,2.1673333,537.000000,362.000000,258.000000,165.000000,95.000000,61.000000,35.000000,8.000000
1447.000000,21778.494222,1.4384444,317.000000,190.000000,126.000000,78.000000,43.000000,30.000000,19.000000,0.000000
1447.000000,21778.494222,0.8382222,134.000000,75.000000,51.000000,37.000000,22.000000,15.000000,8.000000,0.000000
1447.000000,59.131735,31721632.0,1381.000000,1199.000000,1052.000000,863.000000,660.000000,461.000000,277.000000,110.000000
1447.000000,59.131735,10.1447778,1192.000000,1021.000000,875.000000,692.000000,503.000000,329.000000,185.000000,69.000000
1447.000000,59.131735,6.1064237,1027.000000,864.000000,725.000000,551.000000,380.000000,250.000000,137.000000,49.000000
1447.000000,59.131735,4.2804444,829.000000,679.000000,546.000000,394.000000,257.000000,168.000000,90.000000,26.000000
1447.000000,59.131735,3.0988889,640.000000,501.000000,381.000000,261.000000,164.000000,105.000000,54.000000,14.000000
1447.000000,59.131735,2.1673333,467.000000,346.000000,249.000000,161.000000,92.000000,58.000000,32.000000,0.000000
1447.000000,59.131735,1.4384444,281.000000,185.000000,123.000000,76.000000,41.000000,28.000000,17.000000,0.000000
1447.000000,59.131735,0.8382222,120.000000,73.000000,50.000000,36.000000,21.000000,14.000000,7.000000,0.000000
1447.000000,37.807377,31721632.0,1160.000000,1021.000000,892.000000,731.000000,553.000000,393.000000,233.000000,97.000000
1447.000000,37.807377,10.1447778,1029.000000,897.000000,769.000000,610.000000,441.000000,294.000000,166.000000,64.000000
1447.000000,37.807377,6.1064237,908.000000,781.000000,657.000000,502.000000,346.000000,232.000000,130.000000,47.000000
1447.000000,37.807377,4.2804444,749.000000,626.000000,505.000000,364.000000,237.000000,156.000000,85.000000,25.000000
1447.000000,37.807377,3.0988889,587.000000,472.000000,363.000000,248.000000,155.000000,101.000000,54.000000,14.000000
1447.000000,37.807377,2.1673333,435.000000,334.000000,241.000000,156.000000,89.000000,57.000000,32.000000,0.000000
1447.000000,37.807377,1.4384444,261.000000,178.000000,118.000000,73.000000,40.000000,27.000000,17.000000,0.000000
1447.000000,37.807377,0.8382222,111.000000,70.000000,47.000000,34.000000,20.000000,13.000000,7.000000,0.000000
1447.000000,28.682062,31721632.0,940.000000,833.000000,730.000000,597.000000,462.000000,330.000000,198.000000,82.000000
1447.000000,28.682062,10.1447778,830.000000,729.000000,626.000000,495.000000,366.000000,242.000000,137.000000,52.000000
1447.000000,28.682062,6.1064237,739.000000,641.000000,539.000000,411.000000,286.000000,192.000000,106.000000,38.000000
1447.000000,28.682062,4.2804444,620.000000,525.000000,424.000000,304.000000,200.000000,133.000000,72.000000,22.000000
1447.000000,28.682062,3.0988889,491.000000,402.000000,312.000000,216.000000,134.000000,87.000000,46.000000,12.000000
1447.000000,28.682062,2.1673333,375.000000,293.000000,214.000000,137.000000,77.000000,48.000000,27.000000,0.000000
