Symbol,Name,Sector,Value,Close,MA,Grade
IX,Orix Corp,Financial Services,0.16248,104.44, ,0.0414
CINT,CI&T Inc,Technology,0.01023,14.27,r+,0.0411
EDU,New Oriental Education & Techno,Consumer Defensive,0.00061,1.6,r+,0.0399
BLDR,Builders FirstSource  Inc.,Industrials,0.05927,69.03, ,0.039
TRV,The Travelers Companies  Inc.,Financial Services,0.60631,172.43,r+,0.0375
SIGI,Selective Insurance Group  Inc.,Financial Services,0.01411,78.04, ,0.0374
MLI,Mueller Industries  Inc.,Industrials,0.19913,57.05, ,0.0366
UFPI,UFP Industries  Inc.,Basic Materials,0.01463,76.84, ,0.0359
SF,Stifel Financial Corporation,Financial Services,0.44159,80.15, ,0.0355
FOR,Forestar Group Inc,Real Estate,0.0045,19.17, ,0.0346
BSIG,BrightSphere Investment Group I,Financial Services,0.01413,24.26, ,0.0345
MS,Morgan Stanley,Financial Services,0.64513,107.57, ,0.0342
UCTT,Ultra Clean Holdings  Inc.,Technology,0.0134,51.0,r+,0.0321
CO,Global Cord Blood Corporation,Healthcare,0.00272,4.04, ,0.0313
JOUT,Johnson Outdoors Inc.,Consumer Cyclical,0.0011,84.11, ,0.0311
ZUMZ,Zumiez Inc.,Consumer Cyclical,0.01441,45.53, ,0.0311
BCH,Banco De Chile Banco De Chile,Financial Services,0.02735,20.88, ,0.0304
COLB,Columbia Banking System  Inc.,Financial Services,0.0082,35.83, ,0.0298
VRTS,Virtus Investment Partners  Inc,Financial Services,0.0085,258.88, ,0.0294
RUSHB,Rush Enterprises  Inc.,Consumer Cyclical,0.01312,45.93, ,0.0294
LZB,La-Z-Boy Incorporated,Consumer Cyclical,0.00709,35.49, ,0.0291
RUSHA,Rush Enterprises  Inc.,Consumer Cyclical,0.01327,49.0, ,0.0289
HTH,Hilltop Holdings Inc.,Financial Services,0.00771,33.18, ,0.0278
UHAL,Amerco,Industrials,0.01056,596.2, ,0.0276
LH,Laboratory Corporation of Ameri,Healthcare,0.04151,282.19, ,0.0273
SB,Safe Bulkers  Inc,Industrials,0.04357,4.11, ,0.0257
BDC,Belden Inc,Technology,0.02575,56.15,r+,0.025
VCTR,Victory Capital Holdings  Inc. ,Financial Services,0.04543,35.13, ,0.0244
NOA,North American Construction Gro,Energy,0.05128,14.79, ,0.0244
UBSI,United Bankshares  Inc.,Financial Services,0.0118,36.06, ,0.0237
CNA,CNA Financial Corporation,Financial Services,0.26067,47.61, ,0.0233
BEN,Franklin Resources  Inc.,Financial Services,0.01426,31.39, ,0.0219
UNM,Unum Group,Financial Services,0.08664,28.79, ,0.0218
PLAB,Photronics  Inc.,Technology,0.30274,18.43, ,0.0213
NX,Quanex Building Products Corpor,Industrials,0.00504,21.81, ,0.0208
LNC,Lincoln National Corporation,Financial Services,0.4092,74.39,r+,0.0189
TSEM,Tower Semiconductor Ltd.,Technology,0.05994,35.24, ,0.0188
TRST,TrustCo Bank Corp NY,Financial Services,0.01069,34.03, ,0.0182
ACLS,Axcelis Technologies  Inc.,Technology,0.37085,71.25, ,0.018
MUFG,Mitsubishi UFJ Financial Group ,Financial Services,0.6997,6.54, ,0.0173
BTG,B2Gold Corp,Basic Materials,0.00583,3.71, ,0.0172
MBIN,Merchants Bancorp,Financial Services,0.17426,30.48,r+,0.0172
ABCB,Ameris Bancorp,Financial Services,0.01138,50.7, ,0.017
CC,Chemours Company (The),Basic Materials,0.21427,35.47, ,0.0168
HUN,Huntsman Corporation,Basic Materials,0.44872,36.84, ,0.0165
AOSL,Alpha and Omega Semiconductor L,Technology,0.1909,54.59, ,0.0162
THRY,Thryv Holdings  Inc.,Communication Services,0.03042,31.62, ,0.0161
ZIM,ZIM Integrated Shipping Service,Industrials,0.76947,73.35, ,0.0157
FBP,First BanCorp. New,Financial Services,0.15717,14.95, ,0.0156
CASH,Meta Financial Group  Inc.,Financial Services,0.05905,57.3, ,0.0154
BRDG,Bridge Investment Group Holding,Real Estate,0.20509,23.02,r+,0.015
BRK.A,Berkshire Hathaway Inc.,Financial Services,0.62347,480105.0, ,0.0149
UBS,UBS Group AG Registered,Financial Services,0.72102,21.18, ,0.0146
MEI,Methode Electronics  Inc.,Technology,0.04144,45.28, ,0.0145
HWC,Hancock Whitney Corporation,Financial Services,0.23669,55.01, ,0.0142
IIIN,Insteel Industries  Inc.,Industrials,0.01429,37.33, ,0.0141
GTN.A,Gray Television  Inc.,Communication Services,0.0213,20.31, ,0.0139
SVA,None,None,0.01468,6.47, ,0.0129
CCSI,Consensus Cloud Solutions  Inc.,Technology,0.13474,59.77, ,0.0122
SAFT,Safety Insurance Group  Inc.,Financial Services,0.24846,85.53, ,0.012
SHEN,Shenandoah Telecommunications C,Communication Services,0.0006,22.4, ,0.0114
PANL,Pangaea Logistics Solutions Ltd,Industrials,0.02211,4.62, ,0.0112
HSII,Heidrick & Struggles Internatio,Industrials,0.04253,43.07, ,0.011
DRD,DRDGOLD Limited,Basic Materials,0.00193,7.88, ,0.0107
