ev,pe,evr / pm,0.03398,18.95367,31.45462,49.58172,73.63321,121.55972,239.48943
448.000000,8177.231789,4966.11,845.000000,632.000000,532.000000,424.000000,319.000000,211.000000,103.000000
448.000000,8177.231789,8.154,644.000000,459.000000,366.000000,273.000000,193.000000,125.000000,58.000000
448.000000,8177.231789,5.5695,541.000000,369.000000,285.000000,199.000000,143.000000,91.000000,37.000000
448.000000,8177.231789,4.107,439.000000,277.000000,203.000000,136.000000,104.000000,67.000000,27.000000
448.000000,8177.231789,3.0573356,334.000000,193.000000,134.000000,85.000000,63.000000,42.000000,17.000000
448.000000,8177.231789,2.065,222.000000,116.000000,75.000000,43.000000,33.000000,23.000000,9.000000
448.000000,8177.231789,1.2955,110.000000,48.000000,30.000000,15.000000,12.000000,7.000000,0.000000
448.000000,50.130387,4966.11,639.000000,513.000000,432.000000,337.000000,251.000000,170.000000,81.000000
448.000000,50.130387,8.154,537.000000,420.000000,339.000000,250.000000,178.000000,120.000000,56.000000
448.000000,50.130387,5.5695,460.000000,347.000000,271.000000,189.000000,138.000000,90.000000,37.000000
448.000000,50.130387,4.107,377.000000,267.000000,196.000000,132.000000,102.000000,66.000000,27.000000
448.000000,50.130387,3.0573356,285.000000,187.000000,130.000000,82.000000,62.000000,42.000000,17.000000
448.000000,50.130387,2.065,194.000000,114.000000,75.000000,43.000000,33.000000,23.000000,9.000000
448.000000,50.130387,1.2955,93.000000,47.000000,30.000000,15.000000,12.000000,7.000000,0.000000
448.000000,35.123537,4966.11,534.000000,430.000000,356.000000,279.000000,208.000000,145.000000,71.000000
448.000000,35.123537,8.154,467.000000,369.000000,295.000000,220.000000,156.000000,107.000000,54.000000
448.000000,35.123537,5.5695,407.000000,311.000000,240.000000,169.000000,121.000000,81.000000,36.000000
448.000000,35.123537,4.107,343.000000,248.000000,180.000000,122.000000,94.000000,62.000000,27.000000
448.000000,35.123537,3.0573356,263.000000,178.000000,123.000000,76.000000,58.000000,40.000000,17.000000
448.000000,35.123537,2.065,182.000000,111.000000,72.000000,41.000000,33.000000,23.000000,9.000000
448.000000,35.123537,1.2955,90.000000,46.000000,29.000000,14.000000,12.000000,7.000000,0.000000
448.000000,27.262072,4966.11,428.000000,349.000000,289.000000,227.000000,170.000000,117.000000,56.000000
448.000000,27.262072,8.154,376.000000,300.000000,240.000000,179.000000,126.000000,85.000000,41.000000
448.000000,27.262072,5.5695,331.000000,256.000000,197.000000,139.000000,100.000000,67.000000,30.000000
448.000000,27.262072,4.107,282.000000,207.000000,150.000000,102.000000,78.000000,51.000000,23.000000
