Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,calculated_roa_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
TLV:XENA,XENIA VENTURE,Financial Services,Israel,8.9823039,-2.5763730907461286,39834066.6666667,30590533.3333333,2463533.3333333,72390000.0,62165000.0,161824000.0,62165000.0,161824000.0,72390000.0,39834066.6666667,30590533.3333333,72390000.0,62165000.0,62165000.0,72390000.0,0.6278402,0.6278402,0.00016473978221487285,0.7475518,0.7475518,0.7475518,0.649081,0.00010367962668483255,0.7475518,2.7533548611166494e-05,0.6442982,0.9664472,9.664471999999999e-06,35270111.6367077,0.0,762428.5714286,0.0,0.85875,0.0,0.0,0.0,0.0,0.5007143,0.004494461361105689,0.0462,0.71661,0.7813358628810676,0.0,1.239,303.9,0.004077,0.3913041,3.913041e-05,50730000,62165000,1.225409,1,45448935,4698697092,62165000.0,0.3738957,1425.7188003,0.3738957,1425.7188003,0.3738957,1425.7188003,0.3738957,6.3647015,0.0274362285254171,1425.7188003,377.8369172,1.0,1.9993591,1.9993591,5.158256319592711e-06,-1397200.0,-1361000.0,307.4219402,333937.8083943,333937.8083943,0.021337640570180894,0.0749346,0.0884855,0.0884855,0.2984652,5.437243905850085e-06,USD,ILS,1.0,0.3047768,0.0,0.0,0.0,0.0,303.9,151.6031,335.0,294.00595,3.365255,100.4576424,-9.2835821,1.6608449,20.9881622,0.2731047742155609,14.6978228,12.4256798,0.6504065,0.1626016,0.0826999,0.07577,4.5120618,1.3083078,12.4356798,0.1726016,0.08577,1.3183078,6.8769938,0.01126736039143508,98557200.0,134583600.0,134583600.0,0.5619062,0.7270804928358323,2949333.3333333,699600.0,699600.0,7126333.3333333,11024200.0,11024200.0,16.0879543,0.31955644287674895,None
TLV:CDEV,COHEN DEV&IND BLDG,Energy,Israel,8101847.5477337,-2.232727090693205,11127800.0,6299600.0,11512600.0,13864000.0,13093000.0,36113000.0,13093000.0,36113000.0,13864000.0,11127800.0,6299600.0,13864000.0,13093000.0,13093000.0,13864000.0,9.7306089,9.7306089,0.0025532267462390966,9.4294147,9.4294147,9.4294147,8.7080891,0.0013909688113290322,9.4294147,0.0003473006793874323,10.5858126,11.3650631,0.00011365063100000001,11108445.9879653,9473000.0,10349400.0,9473000.0,0.9443901,1.1653117,2.5,2.498945,2.5,1.9058277,0.017106899001236683,0.51054,0.24634,0.2685899952025819,0.0,1.992,6321.0,0.0003151,6.9336996,0.00069336996,6427430,13093000,2.0370506,10000000,134904452,12072895454,1.3093,-0.2415517,0.3384045,-0.2415517,0.3384045,-0.2415517,0.3384045,-0.2415517,0.2258448,0.000973545977620022,0.3384045,6.0672545,0.01605786577172507,-39.0368367,2561.6829771,0.006609026565272414,8039400.0,9579000.0,16.780413,14.0833544,14.0833544,8.99884788891143e-07,0.1751469,0.1987538,0.1987538,0.4468181,8.139840059238109e-06,USD,ILS,1.0,0.3047768,83.579,106.373,75.981,113.971,6321.0,5572.0,7400.0,6629.4966,-4.653394,13.4422111,-14.5810811,0.8194748,0.8204748,0.010676284224807327,7.1680968,6.0558592,1.5495847,0.525,2.0462828,0.5115707,3.7034161,2.6126399,6.0658592,0.535,0.5215707,2.6226399,4.3442496,0.007117677766925962,20658733.3333333,19459733.3333333,19459733.3333333,0.7728253,1.0,3738666.6666667,5199066.6666667,5199066.6666667,2927533.3333333,3206266.6666667,3206266.6666667,47.5894786,0.945273974315999,None
TLV:RMN,RAM-ON INVESTMENTS,Basic Materials,Israel,0.7572882,-2.1772458204736505,924448.98976,18356645.70864,39175501.9106667,927435.8024,30279879.8568,152375294.5976,30279879.8568,152375294.5976,927435.8024,924448.98976,18356645.70864,927435.8024,30279879.8568,30279879.8568,927435.8024,14.2812313,14.2812313,0.003747270299229367,0.6594839,0.6594839,0.6594839,22.8392998,0.003648188865499022,0.6594839,2.4289864620661286e-05,-4345.8062957,1.4352124,1.4352124e-05,-9999.9997195,-10000.0,413066.6666667,-10000.0,34.29149,147.0497125,5.625,78.644208,2.5,111.4069651,1.0,0.22525,0.2072,0.22591478040908894,0.0,6.336,1370.0,0.0046248,0.4233526,4.2335260000000005e-05,16632800,104349000,6.2736881,308,43458060,6949998678,338795.4545455,0.264,0.006388,5.8813939,0.006388,5.8813939,0.006388,1.6683485,13.1664565,0.05675645737729623,0.006388,1.0492507,0.002776993597596503,0.3952915,0.3952915,1.0198342448619071e-06,5985470.9382933,948770.1784,7.2605917,45.8046232,45.8046232,2.926780261850852e-06,0.3526728,0.3908282,0.3908282,0.6261625,1.1407019100373692e-05,ILS,ILS,0.3047768,0.3047768,31.3007,361.163,30.0968,84.271,1370.0,611.4,1854.0,1497.4685,-8.5122659,124.0758914,-26.1057174,1.2209883,3.3133622,0.04311454366049134,4.6135278,4.0494831,0.0,0.0,18.3041524,4.4735544,1.7002319,1.527527,4.0594831,0.01,4.4835544,1.537527,2.798505,0.004585108742170601,73327896.10672,75114639.9374933,75114639.9374933,0.5031156,0.6510081903374539,21519533.3333333,25546400.0,25546400.0,17544740.6318933,20318107.9196267,20318107.9196267,14.4393778,0.2868106237174914,None
TLV:IDIN,I.D.I. INSURANCE,Financial Services,Israel,0.0002082,-1.8735417578332423,679898828.4312,62001638.4359467,104339849.83712,660940492.3640001,74163167.4048,515516547.0208001,74163167.4048,515516547.0208001,660940492.3640001,679898828.4312,62001638.4359467,660940492.3640001,74163167.4048,74163167.4048,660940492.3640001,0.0716225,0.0716225,1.8793118140069292e-05,2.0086684,2.0086684,2.0086684,0.225216,3.597441737387359e-05,2.0086684,7.398252406738104e-05,0.3791423,0.3766944,3.766944e-06,414202355.3054662,419551000.0,350845600.0,419551000.0,0.11221,0.2365531,2.5,0.2486491,2.5,0.2357018,0.0021156828012362755,0.09093,0.49347,0.5380413450215884,0.0,16.569,10950.0,0.0015132,0.5677618,5.677618e-05,14674900,243336000,16.5817825,1500,155013752,48840453292,162224.0,5.464,-0.0539569,0.0240596,-0.0539569,0.0240596,-0.0539569,4.1040149,20.5083684,0.08840513292034867,-0.0539569,0.2446043,0.0006473806260454,0.4894398,0.4894398,1.262732613371051e-06,39939983.7173333,61053193.3528,3.8811671,2.538995,2.538995,1.6223428841431892e-07,7.2762064,6.3186602,6.3186602,2.5146945,4.581106053636983e-05,ILS,ILS,0.3047768,0.3047768,749.578,272.574,477.004,170.359,10950.0,7686.0,13400.0,11633.679,-5.8767222,42.4668228,-18.2835821,1.1424571,2.2235119,0.028933058055703075,1.1396471,1.1589506,1.1527758,437.2980456,0.821587,0.3112482,0.861513,1219.5140176,1.1689506,437.3080456,0.3212482,1219.5240176,610.3464841,1.0,1762935926.90144,1838368469.3597867,1838368469.3597867,0.1403418,0.181595762975151,-491576733.3333333,2207547000.0,2207547000.0,1546141585.5641067,1586390552.00128,1586390552.00128,4.6269766,0.09190604075559526,None
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,Israel,1.9e-05,-1.8473690790915516,149267323.0203733,8679860.39792,50362070.2147733,162213794.4784,16834346.548,212327634.1488,16834346.548,212327634.1488,162213794.4784,149267323.0203733,8679860.39792,162213794.4784,16834346.548,16834346.548,162213794.4784,0.2596698,0.2596698,6.813508644361988e-05,1.7599158,1.7599158,1.7599158,0.1826221,2.9170767827744396e-05,1.7599158,6.482056123851212e-05,1.996288,1.9038758,1.9038758e-05,76333714.0458015,83401000.0,52658333.3333333,83401000.0,0.10378,0.3716865,5.625,1.3425573,12.03125,0.8981975,0.008062310100573775,0.12635,0.67767,0.738878712547429,0.0,5.462,3124.0,0.0017484,0.4051018,4.051018e-05,10111500,55235000,5.4625921,344,138275741,9719841446,160566.8604651,360.511,0.0458304,0.8811927,0.0458304,0.8811927,0.0458304,270.6035482,164.7503186,0.7101868627688,0.0458304,2.3908024,0.006327604030112492,0.0065037,0.0065037,1.6779252724403096e-08,15630559.4618133,21740338.6976,8.8464999,6.3603306,6.3603306,4.064063572282806e-07,1.1660566,1.0736591,1.0736591,1.0371752,1.8894579788527588e-05,ILS,ILS,0.3047768,0.3047768,395.589,148.346,79.1177,98.8971,3124.0,1330.0,3970.0,2830.3777,10.3739618,134.887218,-21.3098237,1.3590909,6.3021835,0.08200605586288699,1.8865636,1.9345765,0.2054785,0.1769313,1.1575854,0.801833,1.8011516,1.877262,1.9445765,0.1869313,0.811833,1.887262,1.9159193,0.0031390682995825914,136955295.26768,144199088.0209067,144199088.0209067,0.2167438,0.2804563981018737,140049533.3333333,156114466.6666667,156114466.6666667,73352826.84896,74533593.12752,74533593.12752,9.191178,0.1825651722249753,None
TLV:FBRT,FMS ENTERPR. MIGUN,Industrials,Israel,349143.2194871,-1.594008954651625,70074866.6666667,19401800.0,80217200.0,63915000.0,17283000.0,347458000.0,17283000.0,347458000.0,63915000.0,70074866.6666667,19401800.0,63915000.0,17283000.0,17283000.0,63915000.0,3.6180054,3.6180054,0.0009493330016909302,14.941181,14.941181,14.941181,4.0495983,0.0006468543062692216,14.941181,0.0005503079965451721,10.1649158,10.1649054,0.000101649054,22748953.3461262,22749000.0,24680200.0,22749000.0,0.27041,0.6924182,2.5,1.6988209,6.25,1.2172186,0.01092587522609033,0.05953,0.6778,0.7390204544463344,0.0,1.884,9180.0,0.0002052,2.6151232,0.00026151232,9194940,17283000,1.8796207,123,231240721,25883006730,140512.195122,0.144,-0.1129413,-0.0387371,-0.1129413,-0.0387371,-0.1129413,0.0983157,3.3855339,0.014593972986941588,-0.1129413,0.2387059,0.0006317696581079346,151.9714197,151.9714197,0.0003920794098793965,24874600.0,28084000.0,9.2962589,8.2338955,8.2338955,5.261216258087797e-07,0.1613008,0.2002803,0.2002803,0.4485269,8.170969860589546e-06,USD,ILS,1.0,0.3047768,108.756,108.756,108.756,108.756,9180.0,7215.0,10300.0,9113.721,0.7272441,27.2349272,-10.8737864,1.273906,4.2738994,0.05561336526439752,7.4464376,6.7053375,0.1411602,0.2109943,0.1934734,0.1640315,11.9726237,10.7780971,6.7153375,0.2209943,0.1740315,10.7880971,8.7517173,0.014338932930702531,106452600.0,119638000.0,119638000.0,0.2444608,0.316320907195973,78373333.3333333,87185066.6666667,87185066.6666667,14487000.0,19925200.0,19925200.0,28.0269038,0.5567008406517439,None
TLV:RIMO,RIMONI INDUSTRIES,Basic Materials,Israel,177.7665132,-1.5930754489484726,53051176.8765333,11751035.25616,34619901.4888,56146896.4264,13209940.8424,136746035.5168,13209940.8424,136746035.5168,56146896.4264,53051176.8765333,11751035.25616,56146896.4264,13209940.8424,13209940.8424,56146896.4264,0.9512084,0.9512084,0.00024958877220184,4.0311858,4.0311858,4.0311858,0.9483576,0.00015148396260516601,4.0311858,0.00014847512932875568,3.0755027,3.0566088,3.0566088e-05,57689188.8811813,58398000.0,50243933.3333333,58398000.0,0.23527,0.566835,2.5,1.4352046,6.25,1.0256798,0.009206603905593691,0.05612,0.7506,0.8183959178333116,0.0,5.157,6768.0,0.000762,1.1231738,0.00011231738,8404000,43342000,5.157306,362,175243305,17470928924,119729.281768,0.18,0.024451,0.1281393,0.024451,0.1281393,0.024451,0.1670348,4.3369896,0.01869539958440428,0.024451,1.8136806,0.004800167790486091,24.133803,24.133803,6.226412345864009e-05,13992160.6588267,12839332.2536,12.524392,13.6489423,13.6489423,8.721271375676587e-07,0.4096014,0.471018,0.471018,0.6873075,1.2520918739672356e-05,ILS,ILS,0.3047768,0.3047768,149.0,111.0,108.0,232.0,6768.0,5100.0,7610.0,6597.7134,2.5809942,32.7058824,-11.064389,1.3290837,5.5120598,0.07172470999588852,3.5165291,3.1506719,0.1017016,0.1611964,0.1107032,0.0706759,1.4260492,1.3804601,3.1606719,0.1711964,0.0806759,1.3904601,2.275566,0.0037283183556885502,66907244.5349333,69323555.64224,69323555.64224,0.2905549,0.37596452911155986,23683000.0,25059733.3333333,25059733.3333333,19356110.4281067,22191692.8199467,22191692.8199467,21.8887075,0.4347773108647888,None
TLV:MRHL,MERCHAVIA HOLD,Healthcare,Israel,22313.2762414,-1.5731061538864481,6673400.0,2891266.6666667,-7113400.0,7426000.0,2988000.0,-23200000.0,2988000.0,-23200000.0,7426000.0,6673400.0,2891266.6666667,7426000.0,2988000.0,2988000.0,7426000.0,1.9819635,1.9819635,0.0005200499033795974,5.2095565,5.2095565,5.2095565,2.0520622,0.00032778196069528485,5.2095565,0.0001918764387101581,3.2955515,3.2955657,3.2955657e-05,4466038.3797281,4466000.0,4006133.3333333,4466000.0,0.40237,0.0,0.0,0.0,0.0,0.2399257,0.002153596947772882,0.06782,0.66142,0.7211609751842645,0.0,0.043,74.5,0.0005772,0.4453498,4.4534980000000005e-05,68026200,2988000,0.0439243,1,14718186,1523861373,2988000.0,-0.157,0.3238612,1.1457228,0.3238612,1.1457228,0.3238612,0.1686807,4.3570756,0.01878198401985055,0.3238612,5.9408802,0.015723397925288807,30.8841297,30.8841297,7.967966194774413e-05,-2214800.0,-2212000.0,1504.8049941,66537.9120038,66537.9120038,0.004251576236467997,0.0330906,0.031343,0.031343,0.1780396,3.2434090476879276e-06,USD,ILS,1.0,0.3047768,0.0,0.0,0.0,0.0,74.5,45.1,113.9,81.67342,-8.7830533,65.1884701,-34.5917471,0.8546512,0.8556512,0.011134010951338737,31.7330232,33.1090684,1.1015682,0.7736239,14.0516388,13.5555556,9.1779586,8.2800299,33.1190684,0.7836239,13.5655556,8.2900299,20.7045492,0.03392261566072647,33325733.3333333,37086400.0,37086400.0,0.1805686,0.2336473715340323,7714200.0,7797200.0,7797200.0,1053466.6666667,1132800.0,1132800.0,28.4095775,0.5643019218130998,None
TLV:SPRG,SPRING VENTURES,Financial Services,Israel,39349.649307,-1.5600175396845106,4245479.86864,1376534.5764267,1247654.6269333,5735899.376,2593650.568,7056802.0272,2593650.568,7056802.0272,5735899.376,4245479.86864,1376534.5764267,5735899.376,2593650.568,2593650.568,5735899.376,1.0837863,1.0837863,0.0002843760546544533,4.2125585,4.2125585,4.2125585,1.9035032,0.0003040521925143151,4.2125585,0.00015515538085405267,1.4507376,1.4403733,1.4403733000000001e-05,14263204.2016807,14467000.0,9508200.0,14467000.0,0.45218,0.2963019,1.0,1.1299374,2.5,0.8272016,0.007425043840459128,0.01,0.77556,0.8456103624231324,0.0,1.01,1367.0,0.0007388,0.484809,4.84809e-05,8419880,8510000,1.0107032,5,20396511,3582393125,1702000.0,-0.131,1.1409514,1.2863332,1.1409514,1.2863332,1.1409514,0.2233333,4.9758154,0.021449176904005586,1.1409514,10.9315327,0.028931880931617974,18.8622041,18.8622041,4.8663636012296416e-05,-1043535.4447467,-1046908.308,511.6244616,194826.154294,194826.154294,0.012448816364894534,0.0831781,0.0994673,0.0994673,0.3163844,5.763684177606086e-06,ILS,ILS,0.3047768,0.3047768,0.0,0.0,0.0,0.0,1367.0,705.6,1519.0,1039.2524,31.5368625,93.7358277,-10.0065833,1.6262601,18.4986531,0.240710474315254,16.5607022,11.2699107,2.5812438,3.4666667,10.3833095,8.2125533,24.0584187,18.2708695,11.2799107,3.4766667,8.2225533,18.2808695,14.7803901,0.024216392631137628,23053235.8781867,24434321.78816,24434321.78816,0.2061478,0.2667456668408759,36352800.0,29103000.0,29103000.0,1807651.5192533,2217677.90752,2217677.90752,31.1965199,0.6196592023746432,None
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,Israel,5.01e-05,-1.5518597260148181,126055765.7538133,8385588.2382933,48632969.8361067,134619912.56,12708887.7832,215624709.5712,12708887.7832,215624709.5712,134619912.56,126055765.7538133,8385588.2382933,134619912.56,12708887.7832,12708887.7832,134619912.56,0.247174,0.247174,6.485629771585028e-05,3.4626271,3.4626271,3.4626271,0.3266492,5.217664222631567e-05,3.4626271,0.00012753418770470817,1.9322849,1.9162061,1.9162061e-05,57447938.170347,58404000.0,53583866.6666667,58404000.0,0.09441,1.0557683,15.46875,0.237126,2.5,0.6945336,0.0062342026764357125,0.15652,0.63369,0.6909263378254612,0.0,3.159,3515.0,0.0008987,0.4037218,4.0372180000000005e-05,13190300,41699000,3.1613383,181,109158400,14428129732,230381.2154696,12.405,0.1448205,0.3119792,0.1448205,0.3119792,0.1448205,9.3817448,30.879634,0.13311240051167203,0.1448205,4.0555292,0.010733544064603117,0.3690814,0.3690814,9.522133687710854e-07,11366488.2083733,18131476.6088,9.6035291,6.0203812,6.0203812,3.846845936935455e-07,0.128163,0.1374306,0.1374306,0.3717163,6.771684561148643e-06,ILS,ILS,0.3047768,0.3047768,30.0551,60.1101,37.5688,105.219,3515.0,3057.0,4150.0,3608.6294,-2.5945973,14.9820085,-15.3012048,0.8380604,0.8390604,0.010918126080387267,14.2612156,13.290927,0.8586403,1.3369176,1.3621106,1.3059399,14.1139177,13.5174381,13.300927,1.3469176,1.3159399,13.5274381,13.4141825,0.021977979474691628,173838469.27328,193812626.41488,193812626.41488,0.1655731,0.21424389186016554,483274066.6666667,535994600.0,535994600.0,12572469.68752,14628819.0755733,14628819.0755733,24.460533,0.48586170563334663,None
