pi,ev,pe,evr / pm,0.202,3.15331,5.8275,9.94825,21.08482,39.5317,93.65682
0.000012,85.000000,19.094729,3811.102525,222.000000,205.000000,173.000000,138.000000,108.000000,72.000000,38.000000
0.000012,85.000000,19.094729,9.633864,200.000000,186.000000,155.000000,123.000000,96.000000,61.000000,29.000000
0.000012,85.000000,19.094729,3.917775,164.000000,151.000000,121.000000,92.000000,65.000000,37.000000,14.000000
0.000012,85.000000,19.094729,1.810113,131.000000,119.000000,90.000000,65.000000,40.000000,21.000000,7.000000
0.000012,85.000000,19.094729,0.766252,92.000000,81.000000,59.000000,43.000000,26.000000,14.000000,0.000000
0.000012,85.000000,19.094729,0.454205,59.000000,49.000000,33.000000,25.000000,12.000000,0.000000,0.000000
0.000012,85.000000,19.094729,0.259234,25.000000,18.000000,11.000000,11.000000,0.000000,0.000000,0.000000
0.000012,85.000000,9.266744,3811.102525,184.000000,170.000000,147.000000,119.000000,91.000000,58.000000,32.000000
0.000012,85.000000,9.266744,9.633864,166.000000,155.000000,133.000000,108.000000,83.000000,51.000000,25.000000
0.000012,85.000000,9.266744,3.917775,139.000000,129.000000,107.000000,83.000000,58.000000,32.000000,13.000000
0.000012,85.000000,9.266744,1.810113,113.000000,104.000000,82.000000,61.000000,37.000000,19.000000,7.000000
0.000012,85.000000,9.266744,0.766252,81.000000,72.000000,53.000000,41.000000,25.000000,13.000000,0.000000
0.000012,85.000000,9.266744,0.454205,52.000000,43.000000,30.000000,24.000000,12.000000,0.000000,0.000000
0.000012,85.000000,9.266744,0.259234,24.000000,18.000000,11.000000,11.000000,0.000000,0.000000,0.000000
0.000012,85.000000,5.685544,3811.102525,149.000000,138.000000,120.000000,98.000000,74.000000,47.000000,27.000000
0.000012,85.000000,5.685544,9.633864,131.000000,123.000000,106.000000,87.000000,66.000000,40.000000,20.000000
0.000012,85.000000,5.685544,3.917775,113.000000,106.000000,89.000000,71.000000,50.000000,28.000000,13.000000
0.000012,85.000000,5.685544,1.810113,90.000000,84.000000,67.000000,52.000000,31.000000,17.000000,7.000000
0.000012,85.000000,5.685544,0.766252,68.000000,62.000000,47.000000,38.000000,22.000000,12.000000,0.000000
0.000012,85.000000,5.685544,0.454205,48.000000,42.000000,30.000000,24.000000,12.000000,0.000000,0.000000
0.000012,85.000000,5.685544,0.259234,22.000000,18.000000,11.000000,11.000000,0.000000,0.000000,0.000000
0.000012,85.000000,4.414572,3811.102525,111.000000,106.000000,94.000000,76.000000,58.000000,38.000000,21.000000
0.000012,85.000000,4.414572,9.633864,96.000000,93.000000,82.000000,67.000000,52.000000,33.000000,16.000000
0.000012,85.000000,4.414572,3.917775,83.000000,80.000000,69.000000,55.000000,40.000000,24.000000,10.000000
0.000012,85.000000,4.414572,1.810113,67.000000,64.000000,53.000000,41.000000,26.000000,15.000000,0.000000
0.000012,85.000000,4.414572,0.766252,50.000000,47.000000,37.000000,30.000000,18.000000,10.000000,0.000000
0.000012,85.000000,4.414572,0.454205,38.000000,35.000000,26.000000,20.000000,12.000000,0.000000,0.000000
0.000012,85.000000,4.414572,0.259234,16.000000,14.000000,8.000000,8.000000,0.000000,0.000000,0.000000
0.000012,85.000000,3.175803,3811.102525,74.000000,70.000000,63.000000,49.000000,36.000000,20.000000,9.000000
