Symbol,Name
AAC,Ares Acquisition Corp
AAQC,Accelerate Acquisitio
ACBA,Ace Global Business A
ACBAU,Ace Global Business A
ACC,American Campus Commu
ACII,Atlas Crest Investmen
ACKIT,Ackrell SPAC Partners
ACQR,Independence Holdings
ACT,Enact Holdings_ Inc. 
ADER,26 Capital Acquisitio
ADRA,Adara Acquisition Cor
AEAC,Authentic Equity Acqu
AFAQ,AF Acquisition Corp. 
AGAC,African Gold Acquisit
AGBA,AGBA Acquisition Limi
AGGR,Agile Growth Corp. - 
AIT,Applied Industrial Te
ALCO,Alico_ Inc. - Common 
ALTU,Altitude Acquisition 
AMAL,Amalgamated Financial
AMCI,AMCI Acquisition Corp
AMPI,Advanced Merger Partn
AMPY,Amplify Energy Corp. 
AMR,Alpha Metallurgical R
ANAC,Arctos NorthStar Acqu
APAC,StoneBridge Acquisiti
APGB,Apollo Strategic Grow
AR,Antero Resources Corp
ARBG,Aequi Acquisition Cor
ARCH,Arch Resources_ Inc. 
ARL,American Realty Inves
ARLP,Alliance Resource Par
ARRW,Arrowroot Acquisition
ARTA,Artisan Acquisition C
ASAQ,Atlantic Street Acqui
ASC,Ardmore Shipping Corp
ASPA,Abri SPAC I_ Inc. - C
ATA,Americas Technology A
ATRS,Antares Pharma_ Inc. 
ATVC,Tribe Capital Growth 
AVAN,Avanti Acquisition Co
AVD,American Vanguard Cor
BAL,iPathA Series B Bloom
BBAI,BigBear.ai_ Inc. Comm
BCAC,Brookline Capital Acq
BCBP,BCB Bancorp_ Inc. (NJ
BDL,Flanigan's Enterprise
BECN,Beacon Roofing Supply
BHSE,Bull Horn Holdings Co
BKEP,Blueknight Energy Par
BKEPP,Blueknight Energy Par
BLNG,Belong Acquisition Co
BLU,BELLUS Health Inc. - 
BLUA,BlueRiver Acquisition
BOAC,Bluescape Opportuniti
BOX,Box_ Inc. Class A Com
BREZ,Breeze Holdings Acqui
BRLI,Brilliant Acquisition
BSBK,Bogota Financial Corp
BSGA,Blue Safari Group Acq
BSM,Black Stone Minerals_
BWAC,Better World Acquisit
BYTS,BYTE Acquisition Corp
CAAP,Corporacion America A
CAR,Avis Budget Group_ In
CDK,CDK Global_ Inc. - Co
CDR,Cedar Realty Trust_ I
CEIX,CONSOL Energy Inc. Co
CELU,Celularity Inc. - Cla
CERN,Cerner Corporation - 
CFFE,CF Acquisition Corp. 
CHAA,Catcha Investment Cor
CHNG,Change Healthcare Inc
CHNGU,Change Healthcare Inc
CHRW,C.H. Robinson Worldwi
CHWA,CHW Acquisition Corpo
CLAA,Colonnade Acquisition
CLAS,Class Acceleration Co
CLAY,Chavant Capital Acqui
CLBR,Colombier Acquisition
CLOE,Clover Leaf Capital C
CLRM,Clarim Acquisition Co
CMPI,Checkmate Pharmaceuti
CNR,Cornerstone Building 
COHR,Coherent_ Inc. - Comm
COLI,Colicity Inc. - Class
COOL,Corner Growth Acquisi
COVA,COVA Acquisition Corp
CPB,Campbell Soup Company
CPHC,Canterbury Park Holdi
CPSS,Consumer Portfolio Se
CPUH,Compute Health Acquis
CRK,Comstock Resources_ I
CRT,Cross Timbers Royalty
CRU,Crucible Acquisition 
CSL,Carlisle Companies In
CTAQ,Carney Technology Acq
CTIC,CTI BioPharma Corp. -
CTRA,Coterra Energy Inc. C
CVE,Cenovus Energy Inc Co
CVEO,Civeo Corporation (Ca
CVLY,Codorus Valley Bancor
CXW,CoreCivic_ Inc. Commo
DDS,Dillard's_ Inc. Commo
DHBC,DHB Capital Corp. - C
DHCA,DHC Acquisition Corp.
DHHC,DiamondHead Holdings 
DILA,DILA Capital Acquisit
DINO,HF Sinclair Corporati
DISA,Disruptive Acquisitio
DJP,iPath Bloomberg Commo
DK,Delek US Holdings_ In
DKDCA,Data Knights Acquisit
DKL,Delek Logistics Partn
DNZ,D and Z Media Acquisi
DOW,Dow Inc. Common Stock
DRAY,Macondray Capital Acq
DRH,Diamondrock Hospitali
DTOC,Digital Transformatio
DUNE,Dune Acquisition Corp
DWIN,Delwinds Insurance Ac
EAC,Edify Acquisition Cor
EBAC,European Biotech Acqu
EDRY,EuroDry Ltd. - Common
EDTX,EdtechX Holdings Acqu
EGGF,EG Acquisition Corp. 
ENPC,Executive Network Par
EOLS,Evolus_ Inc. - Common
EP,El Paso Corporation P
EPHY,Epiphany Technology A
EPSN,Epsilon Energy Ltd. -
EPWR,Empowerment & Inclusi
EQD,Equity Distribution A
EQHA,EQ Health Acquisition
EQT,EQT Corporation Commo
ERES,East Resources Acquis
ESBK,Elmira Savings Bank N
ESQ,Esquire Financial Hol
ET,Energy Transfer L.P. 
ETAC,E.Merge Technology Ac
EUCR,Eucrates Biomedical A
EVA,Enviva Inc. Common St
EWCZ,European Wax Center_ 
EXEL,Exelixis_ Inc. - Comm
FBIZ,First Business Financ
FCUV,Focus Universal Inc. 
FF,FutureFuel Corp.  Com
FGBI,First Guaranty Bancsh
